OTT;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
15700;格拉克船厂 ;T3500;4;1930;1999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15701;伊斯坦布尔瓦尔德船厂 ;T3501;5;1930;1999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15702;KTF ;T3502;4;1930;1999;aeronautics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15703;MKEK ;T3503;5;1930;1999;chemistry;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15704;奥斯曼帝国石油公司 ;T3505;3;1930;1999;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15705;土耳其空军  ;T3504;4;1930;1999;aeronautics;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15706;穆斯塔法·凯末尔·帕夏 ;T15706;6;1930;1938;large_unit_tactics;small_unit_tactics;centralized_execution;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15707;伊斯坦布尔军事工业 ;T1103;4;1930;1999;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15708;伊斯坦布尔大学 ;T3513;4;1930;1999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15709;阿里·奥伦加特 ;T3506;4;1930;1999;fighter_tactics;bomber_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15710;埃尔坎·加塔利 ;T3507;3;1939;1999;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15711;法维兹·卡克马克 ;T3508;4;1930;1945;large_unit_tactics;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15712;伊尔姆·克亚 ;T3509;4;1940;1999;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15713;穆罕默德·阿里·乌尔根 ;T3510;5;1930;1999;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15714;穆罕默德·努里·雅努特 ;T3511;4;1930;1999;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
