RSI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7700;菲亚特公司 ;T1808;5;1930;1999;mechanics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7701;马基航空 ;T1810;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7702;里诺·福吉艾尔 ;T1818;3;1940;1999;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7703;鲁道夫·格拉齐亚尼 ;T1819;3;1930;1955;training;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7704;加斯托尼·甘巴拉 ;T7704;3;1930;1999;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7705;卡尔罗·迪·科萨托 ;T7705;4;1930;1999;submarine_tactics;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7706;皮埃尔·安吉洛·布兰迪马尔特 ;T7706;3;1930;1999;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7707;贝雷塔枪械公司 ;T1801;4;1930;1999;training;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7708;坎蒂耶里·安萨尔多船舶工业 ;T1804;6;1930;1999;naval_engineering;naval_artillery;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7709;蓝其亚公司 ;T1812;4;1930;1999;mechanics;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7710;蒙特卡蒂尼 ;T1820;4;1930;1999;chemistry;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
