CSA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10500;贝尔航空公司 ;T10500;6;1940;1999;aeronautics;technical_efficiency;electronics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10501;杜克大学 ;T10501;6;1930;1999;mathematics;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10502;艾姆伯里-利德尔航空大学 ;T10502;5;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10503;通用汽车 ;T10503;7;1930;1999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10504;海湾石油公司 ;T10504;8;1930;1999;industrial_engineering;chemistry;technical_efficiency;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10505;希金斯工业集团 ;T105;7;1941;1946;general_equipment;naval_engineering;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10506;兰利研究中心 ;T10506;7;1930;1999;aeronautics;technical_efficiency;rocketry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10507;纽波特纽斯造船公司 ;T109;7;1930;1999;naval_engineering;technical_efficiency;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10508;诺福克海军造船厂 ;T112;9;1930;1999;naval_engineering;technical_efficiency;electronics;naval_artillery;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10509;橡树岭国家实验室 ;T10509;5;1943;1999;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10510;红石军工厂 ;T10510;6;1942;1999;chemistry;artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10511;南方铁路公司 ;T10511;5;1930;1999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10512;奔宁堡军事基地 ;T10512;7;1930;1999;small_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10513;奎安提克海军陆战队基地 ;T10513;8;1930;1999;small_unit_tactics;large_unit_tactics;combined_arms_focus;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10514;陆军本部 ;T10514;6;1930;1999;small_unit_tactics;decentralized_execution;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10515;弗吉尼亚军事学院 ;T10515;8;1930;1999;small_unit_tactics;large_unit_tactics;centralized_execution;decentralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10516;诺福克海军基地 ;T10516;7;1930;1999;large_taskforce_tactics;submarine_tactics;carrier_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10517;兰利军事基地 ;T10517;7;1930;1999;centralized_execution;aircraft_testing;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10518;彭沙科拉海军航空局 ;T10518;5;1930;1999;aeronautics;aircraft_testing;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
