U77;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
97700;IFI ;T5200;3;1930;1999;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97701;SCADTA ;T5201;3;1930;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97702;FNC ;T5202;3;1930;1999;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97703;哥伦比亚铁路公司 ;T5203;4;1930;1999;industrial_engineering;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97704;ANDI ;T5204;3;1944;1999;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97705;古斯塔沃·羅哈斯·皮尼利亞 ;T5205;3;1944;1999;small_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97706;国防陆军 ;T5206;4;1930;1999;large_unit_tactics;decentralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97707;国防海军 ;T5207;4;1930;1999;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97708;国家空军 ;T5208;3;1930;1999;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97709;联合水果公司 ;T5209;2;1930;1999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97710;IDEAL ;T5300;3;1930;1999;industrial_engineering;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97711;Guyaquil Puerto Maritimo ;T5301;3;1930;1999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97712;英属厄瓜多尔油田 ;T5302;3;1930;1999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97713;JFPN ;T5500;4;1930;1999;industrial_engineering;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97714;委内瑞拉石油公司 ;T5501;4;1930;1999;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97715;Instituto Aut髇omo Ferrocarriles del Estado ;T5502;3;1930;1999;industrial_engineering;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97716;加拉加斯军用兵工厂 ;T9800;3;1930;1999;artillery;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97717;哥伦比亚国立大学 ;T5210;2;1930;1999;mathematics;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
