USN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
199;波音飞机公司 ;T100;7;1930;1999;aeronautics;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
198;克里斯蒂 ;T101;5;1930;1999;mechanics;artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
197;柯蒂斯-怀特飞机公司 ;T102;6;1930;1999;large_taskforce_tactics;infantry_focus;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
196;福特汽车公司 ;T104;7;1930;1999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
195;纽约海军造船厂 ;T110;7;1930;1999;naval_engineering;technical_efficiency;electronics;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
194;诺福克海军船厂 ;T112;9;1930;1999;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
193;雷神公司 ;T113;7;1930;1999;electronics;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
192;罗伯特·欧本海默 ;T114;8;1930;1999;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
191;斯普林菲尔德兵工厂 ;T116;6;1930;1999;chemistry;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
190;加利福利亚标准石油公司 ;T117;7;1930;1999;industrial_engineering;chemistry;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
189;奥马尔·布雷德利 ;T127;7;1930;1999;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
188;温彻斯特速射武器公司 ;T119;5;1930;1999;general_equipment;mechanics;artillery;small_unit_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
187;欧内斯特·金 ;T124;8;1930;1999;large_taskforce_tactics;carrier_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
186;亨利·阿诺德 ;T125;6;1930;1999;decentralized_execution;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185;通用电气 ;T128;6;1930;1999;electronics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
