UPR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
99;布洛姆-福斯 ;T1;6;1930;1999;naval_engineering;electronics;naval_artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
98;亨克尔飞机公司 ;T2;8;1930;1999;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97;I·G·法本化工公司 ;T3;9;1930;1999;chemistry;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
96;容克飞机 ;T4;7;1930;1999;aeronautics;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95;毛瑟制造厂 ;T9;7;1930;1999;general_equipment;mechanics;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
94;梅塞施密特 ;T10;8;1930;1999;aeronautics;rocketry;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
93;保时捷汽车 ;T12;7;1930;1999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
92;莱茵金属 ;T13;7;1930;1999;artillery;mechanics;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
91;沃纳·海森堡 ;T16;6;1927;1999;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90;埃里希·雷德尔 ;T19;7;1930;1999;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
89;埃里希·冯·曼施坦因 ;T20;6;1930;1999;combined_arms_focus;large_unit_tactics;centralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
88;恩斯特·乌德特 ;T21;6;1930;1999;combined_arms_focus;piloting;aircraft_testing;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
87;胡戈·斯佩尔 ;T24;6;1930;1999;bomber_tactics;aircraft_testing;centralized_execution;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
86;卡尔·邓尼茨 ;T25;5;1930;1999;submarine_tactics;small_taskforce_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
85;福克-沃尔夫 ;T26;5;1930;1999;aeronautics;electronics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
