AST;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
504;新南威尔士铁路公司 ;T504;6;1930;1999;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
514;联邦科学与工业研究组织 ;T514;5;1930;1999;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
500;军队发明者协会 ;T500;5;1930;1999;INFANTRY_FOCUS;ARTILLERY;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
501;切罗纳坦克装配工厂 ;T501;4;1930;1999;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
503;福特汽车 ;T503;7;1940;1999;mechanics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
502;德·哈维兰公司 ;T502;7;1930;1999;aeronautics;AIRCRAFT_TESTING;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
505;维克斯-阿姆斯特朗有限公司 ;T505;8;1938;1999;mechanics;aeronautics;technical_efficiency;artillery;NAVAL_ARTILLERY;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
513;鹦鹉岛造船厂 ;T513;6;1930;1999;naval_engineering;naval_artillery;NAVAL_TRAINING;SEAMANSHIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
511;托马斯·布拉梅 ;T511;4;1930;1999;INFANTRY_FOCUS;DECENTRALIZED_EXECUTION;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
506;达德利·拉瓦拉克 ;T506;6;1938;1999;small_unit_tactics;CENTRALIZED_EXECUTION;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
516;悉尼·费尔贝恩·罗威尔爵士 ;T516;6;1941;1999;combined_arms_focus;ARTILLERY;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
509;拉格纳·科尔文 ;T509;4;1930;1999;NAVAL_ARTILLERY;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
507;盖伊·罗伊尔 ;T507;5;1930;1999;submarine_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
508;约翰·柯林斯 ;T508;6;1940;1999;SMALL_TASKFORCE_TACTICS;carrier_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
510;理查德·威廉姆斯 ;T510;6;1930;1999;fighter_tactics;decentralized_execution;SMALL_TASKFORCE_TACTICS;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
512;威廉姆·博斯托克 ;T512;5;1930;1999;bomber_tactics;TRAINING;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x




