VIC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6601;阿米奥航空 ;T1401;4;1930;1938;aeronautics;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6603;德瓦蒂纳 ;T1403;5;1999;1999;aeronautics;artillery;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6604;法国海军冶金公司 ;T1404;6;1930;1999;mechanics;electronics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6607;库尔曼 ;T1407;3;1930;1999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6608;圣-埃蒂安兵工厂 ;T1408;5;1930;1999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6611;罗纳普朗克 ;T1411;3;1930;1999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6613;施耐德 ;T1413;4;1930;1999;artillery;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6614;阿奎坦国家石油公司 ;T1414;4;1941;1999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6615;索玛 ;T1415;5;1930;1999;mechanics;industrial_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6617;弗朗西斯·达尔朗 ;T1418;5;1930;1999;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6619;马塞尔·甘索尔 ;T1420;4;1930;1942;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6621;莫里斯·甘末林 ;T1422;1;1930;1940;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6622;马克西姆·魏刚 ;T1423;3;1940;1942;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6623;西南航空制造公司 ;T1403;6;1939;1999;aeronautics;electronics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6624;东南飞机制造公司 ;T1427;5;1938;1999;aeronautics;artillery;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
