KOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13500;大宇造船厂 ;T13500;5;1930;1999;naval_engineering;naval_artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13501;建筑防务所 ;T9800;6;1930;1999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13502;现代重工 ;T13502;6;1930;1999;mechanics;technical_efficiency;rocketry;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13503;韩国海事大学 ;T13503;4;1930;1999;naval_training;naval_engineering;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13504;韩国航空队 ;T13504;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13505;景祥精密仪器 ;T13505;4;1930;1999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13506;陆军研究发展部实验室 ;T9800;5;1930;1999;mathematics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13507;三星 ;T13507;6;1930;1999;electronics;management;artillery;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13508;国立汉城大学 ;T13508;4;1930;1999;management;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13509;汉城陆军军官学校 ;T10401;4;1930;1999;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
