CZE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1100;阿尔诺航空 ;T1100;5;1930;1999;aeronautics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1101;阿维亚公司 ;T1101;5;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1102;捷克斯洛伐克兵工厂;T1102;5;1930;1999;mechanics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1103;C-K-D公司 ;T1103;7;1930;1999;mechanics;training;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1104;莱托夫公司 ;T1104;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1105;斯柯达公司 ;T1105;8;1930;1999;mechanics;industrial_engineering;management;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1106;艾米尔·杨奥斯卡 ;T1106;4;1930;1939;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1108;谢尔盖·沃杰卡夫斯基 ;T1108;4;1930;1945;training;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1109;加洛斯拉夫·海罗夫斯基 ;T1109;6;1930;1999;mathematics;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1110;布拉格-查尔斯大学 ;T1110;5;1930;1999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1112;路德维克·斯沃博达 ;T4101;5;1945;1999;small_unit_tactics;decentralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
