U78;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
97800;哥斯达黎加石油公司 ;T5900;2;1930;1999;industrial_engineering;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97801;IDC ;T5901;3;1930;1999;general_equipment;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97802;Minas d'Oro de CDC ;T5902;3;1930;1999;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97804;联合水果公司 ;T5209;3;1930;1999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97805;Caucho Semillero S·A· ;T7900;2;1930;1999;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97806;Mahler Fruta S·A· ;T7901;1;1930;1999;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97807;危地马拉圣卡洛斯大学 ;T7903;2;1930;1999;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97808;洪都拉斯银行 ;T7800;2;1930;1999;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97809;Penitenciaria Central S·A· ;T7801;2;1930;1999;chemistry;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97810;Escuela de Aviaci髇 Militar ;T7803;5;1930;1999;piloting;aircraft_testing;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97811;尼加拉瓜石油公司 ;T5800;2;1930;1999;industrial_engineering;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97812;NSSL ;T5801;3;1930;1999;general_equipment;training;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97813;Compa耥a d'Oro de Divisadero ;T8000;3;1930;1999;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97814;Compa耥a Imberton ;T8001;3;1930;1999;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97815;Ferreter韆 Ferrominera ;T8002;4;1930;1999;industrial_engineering;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97816;Lido Industrias ;T8003;5;1930;1999;general_equipment;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97817;Puerto de Acajutla ;T8004;3;1930;1999;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97818;国防陆军 ;T97818;3;1930;1999;infantry_focus;training;large_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97819;国防海军 ;T97819;3;1930;1999;small_taskforce_tactics;naval_training;seamanship;centralized_execution;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;x
97820;科技部 ;T97820;5;1930;1999;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
