DEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
200;阿布萨隆 ;T200;3;1930;1999;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
201;阿特拉斯公司 ;T201;4;1930;1999;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
202;B&W公司 ;T202;6;1930;1999;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
203;尼尔斯·波尔 ;T111;8;1930;1943;nuclear_physics;nuclear_engineering;mathematics;electronics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
204;F·L·施密特 ;T204;6;1930;1999;mechanics;industrial_engineering;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
205;HF 沃克斯塔德 ;T205;3;1930;1999;aeronautics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
206;丹麦辛迪卡特工业公司 ;T206;4;1930;1999;mechanics;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
207;萨多林-霍尔姆布拉德公司 ;T207;3;1930;1999;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
208;瓦伦德 ;T208;4;1930;1999;mechanics;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
209;丹麦皇家陆军 ;T209;4;1930;1999;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
210;丹麦皇家空军 ;T210;3;1945;1999;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
211;卡尔·W·埃塞曼 ;T211;3;1930;1999;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
212;E·V·格朗让 ;T212;3;1930;1948;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
213;奥格·威泽尔 ;T213;4;1941;1958;seamanship;large_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
214;亚尔马·雷希尼策 ;T214;4;1930;1942;submarine_tactics;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
215;诺沃·诺尔迪斯克 ;T215;5;1930;1999;chemistry;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
216;斯文德·蓬托皮丹 ;T216;4;1958;1999;seamanship;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
