ARG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
402;布宜诺斯艾利斯铁路公司 ;T402;4;1930;1999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
407;阿根廷石油公司 ;T420;6;1947;1999;CHEMISTRY;INDUSTRIAL_ENGINEERING;GENERAL_EQUIPMENT;MECHANICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
404;埃斯特班·德·卢卡 ;T405;5;1941;1999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
405;阿根廷兵工厂 ;T404;5;1930;1999;mechanics;artillery;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
408;安东尼奥·帕罗蒂 ;T419;6;1943;1999;artillery;mechanics;GENERAL_EQUIPMENT;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
421;科尔多巴国立大学 ;T418;4;1937;1999;mechanics;chemistry;MATHEMATICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
401;阿斯蒂列罗斯·阿利安萨 ;T421;5;1930;1999;mathematics;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
403;康斯提托延特原子研究中心(CAC) ;T416;6;1947;1999;NUCLEAR_ENGINEERING;NUCLEAR_PHYSICS;CHEMISTRY;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
406;阿根廷军用航空(FMA) ;T417;5;1937;1999;AERONAUTICS;TECHNICAL_EFFICIENCY;ELECTRONICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
420;库尔特·塔克 ;T415;9;1943;1990;AERONAUTICS;general_equipment;AIRCRAFT_TESTING;ELECTRONICS;TECHNICAL_EFFICIENCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
411;弗朗西斯科·维勒兹 ;T403;3;1930;1999;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
400;阿根廷海军机械制造厂 ;T407;5;1930;1999;NAVAL_ENGINEERING;NAVAL_ARTILLERY;NAVAL_TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
409;奥古斯特·朱斯托 ;T400;3;1930;1999;naval_engineering;NAVAL_ARTILLERY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
410;以利亚撒·瓦迪拉 ;T401;3;1930;1999;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
414;佩德罗·卡塞尔 ;T409;3;1930;1999;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
418;曼努埃尔·萨维奥 ;T413;4;1940;1999;combined_arms_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
413;胡安·庇隆 ;T408;4;1930;1999;training;fighter_tactics;INDIVIDUAL_COURAGE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
412;赫克托·德尔·里瓦 ;T406;4;1930;1999;BOMBER_TACTICS;SMALL_TASKFORCE_TACTICS;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
419;阿尔弗雷德·拜斯 ;T414;4;1930;1999;large_taskforce_tactics;centralized_execution;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415;路易斯·F·雷勒尔 ;T410;5;1940;1999;SMALL_TASKFORCE_TACTICS;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
