SWE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
3200;阿恩 伯尔林 ;T3200;7;1930;1999;mathematics;electronics;management;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3201;伯福斯有限公司 ;T3201;7;1930;1999;mechanics;artillery;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3202;古塔菲尔肯船舶 ;T3202;5;1930;1999;naval_engineering;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3203;哈斯库法纳兵工厂 ;T3203;5;1930;1999;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3204;卡尔斯克鲁纳海军船厂 ;T3204;6;1930;1999;naval_engineering;naval_artillery;naval_training;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3205;卡米维工业 ;T3205;5;1930;1999;mechanics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3206;兰德斯菲尔克工厂 ;T3206;6;1930;1999;mechanics;technical_efficiency;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3207;LM 爱立信电子 ;T3207;7;1930;1999;electronics;mechanics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3208;萨伯-斯堪尼亚公司 ;T3208;6;1930;1999;aeronautics;industrial_engineering;mechanics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3209;斯堪尼亚-瓦比斯汽车公司 ;T3209;5;1930;1999;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3210;沃尔沃汽车 ;T3210;6;1930;1999;mechanics;industrial_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3211;本内特·诺登斯吕德 ;T3211;5;1930;1999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3212;海尔格·荣 ;T3212;5;1944;1951;combined_arms_focus;decentralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3213;斯韦德贝里 ;T3213;6;1930;1999;nuclear_physics;mathematics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3214;奥罗夫 斯耐尔 ;T3214;5;1930;1944;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3215;查尔斯·德·查普斯 ;T3215;5;1930;1939;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3216;格塔·艾尔恩斯福德 ;T3216;5;1939;1999;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3217;曼内·西格巴恩 ;T3217;6;1930;1999;nuclear_physics;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3218;尼尔斯·史威鲁德 ;T3218;5;1951;1999;decentralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3219;托斯滕·拉普 ;T3219;5;1930;1999;bomber_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
