TEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13800;统一航空器公司 ;T13800;5;1943;1999;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13801;布利斯堡空防中心 ;T13801;5;1942;1999;artillery;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13802;统一钢铁公司 ;T13802;5;1941;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13803;休斯敦船舶制造公司 ;T13803;6;1930;1999;naval_engineering;naval_artillery;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13804;哈穆尔石油精炼公司 ;T13804;7;1930;1999;industrial_engineering;chemistry;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13805;孤星航空公司 ;T13805;6;1930;1999;aeronautics;technical_efficiency;electronics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13806;南太平洋铁路公司 ;T13806;5;1930;1999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13807;德克萨斯太平洋铁路公司 ;T13807;5;1930;1999;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13808;德克萨斯A&M大学 ;T13808;5;1930;1999;mechanics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13809;德克萨斯石油公司 ;T118;8;1930;1999;industrial_engineering;chemistry;technical_efficiency;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13810;德克萨斯大学 ;T13810;4;1930;1999;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13811;白沙试验场 ;T13811;5;1930;1999;rocketry;management;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13812;胡德堡 ;T13812;7;1930;1999;infantry_focus;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13813;休斯敦海军基地 ;T13803;6;1930;1999;submarine_tactics;carrier_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13814;海航海岸警卫队 ;T13814;5;1930;1999;aircraft_testing;piloting;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13815;圣安东尼奥飞行员训练中心 ;T13815;5;1940;1999;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
