MEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2200;TNCA航空 ;T2200;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2201;克莫萨矿业 ;T2201;3;1930;1999;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2202;潘麦克斯石油 ;T2202;4;1930;1999;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2203;曼努尔·阿维拉·卡马乔 ;T2203;5;1930;1999;large_unit_tactics;individual_courage;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2204;墨西哥金属公司 ;T2204;5;1930;1999;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2205;阿尔贝托·萨利纳斯·卡拉扎 ;T2205;4;1940;1999;bomber_tactics;aircraft_testing;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2206;恩里克·埃斯特拉达·雷诺索 ;T2206;3;1930;1999;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2207;古斯塔夫·萨利纳斯·卡米纳 ;T2207;4;1930;1999;fighter_tactics;piloting;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2208;赫尔贝托·加纳·克罗纳 ;T2208;4;1930;1943;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2209;刘易斯·西兰姆·托莱多 ;T2209;2;1930;1943;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2210;米歇尔·埃勒曼·冈萨雷斯 ;T2210;3;1930;1999;centralized_execution;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2211;墨西哥民族独立大学 ;T2211;3;1930;1999;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
