UKR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
14000;尼古拉耶夫六十一个公社社员造船厂 ;T3700;4;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14001;安东诺夫设计局 ;T14001;5;1946;1999;aeronautics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14002;别里耶夫设计局 ;T14002;5;1939;1999;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14003;哈尔科夫工业设计局 ;T3702;7;1930;1999;mechanics;artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14004;切尔诺莫尔斯克造船厂 ;T14004;5;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14005;哈尔科夫航空学院 ;T14005;6;1930;1999;aeronautics;management;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14006;基辅大学 ;T14006;3;1930;1999;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14007;莫罗佐夫设计局 ;T14007;5;1930;1999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14008;斯奇发动机公司 ;T14008;5;1930;1999;mechanics;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14009;图波列夫设计局 ;T3714;6;1930;1999;aeronautics;electronics;rocketry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14010;基辅陆军军官学校 ;T10401;4;1930;1999;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14011;敖德萨国家海事学院 ;T14011;4;1930;1999;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14012;哈尔科夫空军司令部 ;T10402;4;1930;1999;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
