UCH;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1099;中央飞机制造厂 ;T1000;5;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1098;大定航空发动机厂 ;T1001;6;1930;1999;aeronautics;electronics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1097;汉阳兵工厂 ;T1002;6;1930;1999;mechanics;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1096;中兴煤业 ;T1004;6;1930;1999;industrial_engineering;management;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1095;亚历山大·冯·法肯豪森 ;T1005;6;1930;1999;large_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1094;陈纳德 ;T1007;6;1999;1999;fighter_tactics;bomber_tactics;piloting;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1093;黄镇球 ;T1008;6;1930;1999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1092;陈绍宽 ;T1009;7;1930;1999;small_taskforce_tactics;naval_training;seamanship;carrier_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1091;江南造船厂 ;T1010;7;1930;1999;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1090;陈省身 ;T1011;7;1930;1999;mathematics;nuclear_physics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1089;中央研究院 ;T1012;7;1930;1999;mechanics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1088;黄埔军校 ;T1013;8;1930;1999;large_unit_tactics;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1087;中国国航公司 ;T1014;8;1930;1999;aeronautics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1086;长安公司 ;T1015;9;1930;1999;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1085;国立机械制造总局 ;T8500;5;1930;1999;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1084;中国发展金融公司 ;T1018;5;1930;1999;industrial_engineering;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
