UAU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
599;军队发明者协会 ;T500;6;1930;1999;technical_efficiency;general_equipment;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
598;切罗纳坦克装配工厂 ;T501;7;1930;1999;mechanics;electronics;artillery;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
597;福特汽车 ;T503;5;1930;1999;mechanics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
596;维克斯-阿姆斯特朗有限公司 ;T505;5;1930;1999;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
595;达德利·拉瓦拉克 ;T506;6;1930;1999;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
594;盖伊·罗伊尔 ;T507;6;1930;1999;submarine_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
593;理查德·威廉姆斯 ;T510;6;1930;1999;fighter_tactics;decentralized_execution;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
592;威廉姆·博斯托克 ;T512;6;1930;1999;bomber_tactics;aircraft_testing;centralized_execution;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
591;鹦鹉岛造船厂 ;T513;8;1930;1999;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
590;威廉·辛克莱尔-伯吉斯 ;T9001;7;1930;1999;centralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
589;弗朗西斯·塔克尔 ;T9002;7;1930;1999;training;combined_arms_focus;small_unit_tactics;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
588;W·H·斯特拉顿 ;T9003;7;1930;1999;small_taskforce_tactics;centralized_execution;naval_training;seamanship;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
587;惠灵顿兵工厂 ;T313;7;1930;1999;artillery;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
586;新西兰造船厂 ;T6;8;1930;1999;naval_engineering;naval_artillery;electronics;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
585;惠灵顿通用汽车 ;T9008;9;1930;1999;artillery;technical_efficiency;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
