CHC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
8300;邓小平 ;T8300;5;1930;1999;management;industrial_engineering;MECHANICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8301;林彪 ;TC_CHC_8320;6;1930;1999;large_unit_tactics;centralized_execution;LARGE_UNIT_FOCUS;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8302;毛泽东 ;T8302;8;1930;1999;DECENTRALIZED_EXECUTION;infantry_focus;individual_courage;MANAGEMENT;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8303;东北航校 ;T8303;2;1941;1999;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8304;边区工业 ;T8304;3;1999;1999;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8306;边区兵工厂 ;T8306;3;1999;1999;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8307;常乾坤 ;T8307;2;1940;1999;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8308;中国抗日军政大学 ;T8805;2;1938;1999;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8309;根据地兵工厂 ;T13507;2;1930;1960;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8333;北京大学 ;T8333;7;1941;1999;MANAGEMENT;chemistry;electronics;MATHEMATICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8336;陈云 ;TC_CHC_8336;5;1938;1999;mathematics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
83370;毛泽民 ;TC_SIK_14903;3;1939;1999;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8344;东北炮兵学校 ;T8327;4;1941;1999;mechanics;artillery;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
