WLL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
4300;考克维尔 ;T700;6;1930;1999;naval_engineering;technical_efficiency;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4301;FN 赫斯塔尔 ;T702;5;1930;1999;mechanics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4302;雷纳德 ;T704;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4303;雷诺 ;T705;5;1930;1999;mechanics;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4304;索尔维制碱 ;T706;7;1930;1999;chemistry;industrial_engineering;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4305;皇家铸炮厂 ;T711;5;1930;1999;artillery;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4306;克拉贝科铸钢厂 ;T712;6;1930;1999;industrial_engineering;chemistry;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4307;联合矿业 ;T714;7;1930;1999;industrial_engineering;management;chemistry;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4308;吉恩·韦梅尔 ;T4308;3;1930;1999;combined_arms_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4309;卢西恩·利珀特 ;T4309;4;1940;1999;combined_arms_focus;centralized_execution;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4310;卢西恩·利珀特 ;T4309;4;1930;1999;aircraft_testing;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
