URO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1899;布雷达航空 ;T1802;3;1930;1999;aeronautics;general_equipment;artillery;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;x
1898;坎蒂耶里·纳瓦利·瑞尼提船厂 ;T1805;7;1930;1999;naval_engineering;technical_efficiency;naval_artillery;electronics;;4;28;;;;;;;;;;;;;;;;;;;;;;;;;;x
1897;蓝其亚公司 ;T1812;6;1930;1999;mechanics;industrial_engineering;general_equipment;management;;4;24;;;;;;;;;;;;;;;;;;;;;;;;;;x
1896;阿图罗·里卡蒂 ;T1813;8;1930;1999;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;4;32;;;;;;;;;;;;;;;;;;;;;;;;;;x
1895;伊塔诺·巴尔博 ;T1815;7;1930;1999;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;5;35;;;;;;;;;;;;;;;;;;;;;;;;;;x
1894;彼得罗·巴多格里奥 ;T1817;6;1930;1999;training;centralized_execution;infantry_focus;individual_courage;large_unit_tactics;5;30;;;;;;;;;;;;;;;;;;;;;;;;;;x
1893;朱利奥·纳塔 ;T1821;4;1930;1999;chemistry;management;training;;;3;12;;;;;;;;;;;;;;;;;;;;;;;;;;x
1892;戴姆勒汽车厂 ;T600;8;1930;1999;mechanics;industrial_engineering;general_equipment;management;chemistry;5;40;;;;;;;;;;;;;;;;;;;;;;;;;;x
1891;希尔腾贝格公司 ;T601;6;1930;1999;aeronautics;technical_efficiency;artillery;general_equipment;electronics;5;30;;;;;;;;;;;;;;;;;;;;;;;;;;x
1890;奔驰有限公司 ;T602;4;1930;1999;aeronautics;electronics;technical_efficiency;;;3;12;;;;;;;;;;;;;;;;;;;;;;;;;;x
1889;斯泰尔兵工厂 ;T603;7;1930;1999;mechanics;general_equipment;training;artillery;electronics;5;35;;;;;;;;;;;;;;;;;;;;;;;;;;x
1888;亚历山大·吕赫 ;T604;8;1930;1999;bomber_tactics;combined_arms_focus;aircraft_testing;;;3;24;;;;;;;;;;;;;;;;;;;;;;;;;;x
1887;约翰·库伯纳 ;T605;3;1930;1999;large_unit_tactics;centralized_execution;individual_courage;;;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;x
1886;尤利乌斯·亚姆 ;T606;5;1930;1999;fighter_tactics;aircraft_testing;piloting;;;3;15;;;;;;;;;;;;;;;;;;;;;;;;;;x
1885;洛塔尔·瑞德里克 ;T607;7;1930;1999;small_unit_tactics;decentralized_execution;combined_arms_focus;training;management;5;35;;;;;;;;;;;;;;;;;;;;;;;;;;x
1884;埃尔文·薛丁格 ;T608;9;1930;1999;nuclear_physics;mathematics;mechanics;electronics;nuclear_engineering;5;45;;;;;;;;;;;;;;;;;;;;;;;;;;x
;;;;;;;;;;;;415;;;;;;;;;;;;;;;;;;;;;;;;;;
