UIC;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9199;銮披汶 颂堪 ;T9100;5;1930;1999;aeronautics;general_equipment;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9198;普里迪 帕侬荣 ;T9101;7;1930;1999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9197;銮卡吉 颂堪 ;T9102;6;1930;1999;mechanics;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9196;銮辛萨 颂堪察 ;T9103;3;1930;1999;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9195;曼谷造船厂 ;T6;7;1930;1999;bomber_tactics;centralized_execution;piloting;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9194;曼谷兵工厂 ;T13;6;1930;1999;training;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9193;皇家航空服务队 ;T6401;4;1930;1999;chemistry;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9192;河内航空公司 ;T11403;8;1930;1999;mechanics;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9191;河内兵工厂 ;T9800;6;1930;1999;aeronautics;technical_efficiency;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9190;河内科技大学 ;T14302;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9189;越南海事大学 ;T14403;7;1930;1999;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9188;越南陆军军官学校 ;T10401;8;1930;1999;bomber_tactics;combined_arms_focus;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9187;仰光大学 ;T10000;3;1930;1999;large_unit_tactics;centralized_execution;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9186;波 米亚 ;T10003;5;1930;1999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9185;阿奇博尔德·科克伦 ;T10002;7;1930;1999;small_unit_tactics;decentralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
9184;缅甸铁道协会 ;T10001;9;1930;1999;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
