POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2700;COP ;T2700;4;1930;1999;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2701;斯特凡·巴纳赫 ;T2701;8;1930;1945;mathematics;electronics;chemistry;management;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2702;斯坦尼斯拉夫·乌兰 ;T2702;7;1930;1938;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2703;布罗尼-兰杜姆武器工业 ;T2703;5;1930;1999;general_equipment;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2704;施特拉赫维斯工业 ;T2704;5;1930;1999;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2705;波兰民用航空 ;T2705;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2706;波兰工业集团公司 ;T2706;5;1930;1999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2707;波兰军事航空研究所 ;T2707;5;1930;1999;aeronautics;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2708;施托克里亚船业 ;T2708;4;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2709;塔道斯·库特雷巴 ;T2709;4;1930;1944;centralized_execution;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2710;马里安·雷居斯基 ;T2710;7;1930;1939;mathematics;electronics;individual_courage;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2711;鲁多米尔·拉伊斯基 ;T2711;4;1930;1944;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2712;杰瑞斯·斯韦尔斯基 ;T2712;4;1930;1944;naval_training;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2713;国防部 ;T2713;4;1945;1999;small_taskforce_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
