HOL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
2300;英里希廷根-汉堡炮兵学校 ;T2300;4;1930;1999;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2301;荷蘭達夫卡車 ;T2301;5;1930;1999;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2302;福克公司 ;T2302;6;1930;1999;aeronautics;technical_efficiency;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2303;HIH 赛德瑞斯 ;T2303;5;1930;1999;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2304;孔尼科里亚克造船厂 ;T2304;5;1930;1999;naval_engineering;electronics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2305;库尔豪芬 ;T2305;5;1930;1999;aeronautics;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2306;NSM 阿姆斯特丹 ;T2306;6;1930;1999;naval_engineering;naval_artillery;technical_efficiency;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2307;壳牌石油 ;T2307;7;1930;1999;industrial_engineering;chemistry;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2308;威尔顿-费耶诺德 ;T2308;6;1930;1999;naval_engineering;electronics;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2309;荷兰皇家陆军 ;T2309;4;1930;1999;infantry_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2310;约翰尼斯·福斯勒 ;T2310;4;1930;1999;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2311;荷兰皇家空军 ;T2311;4;1930;1999;fighter_tactics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2312;佩特罗斯·贝斯特 ;T2312;3;1937;1999;bomber_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2313;亨利·温克尔曼 ;T2313;4;1934;1999;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2314;飞利浦公司 ;T2314;7;1936;1999;electronics;mathematics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2316;弗里茨·泽尔尼克 ;T2316;6;1930;1999;electronics;chemistry;mathematics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
