DFR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
7000;布洛姆-福斯 ;T1;7;1930;1999;naval_engineering;electronics;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7001;康纳德·楚泽 ;T5;7;1930;1999;mathematics;electronics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7002;克虏伯 ;T7;9;1930;1999;industrial_engineering;mechanics;technical_efficiency;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7003;奥格斯堡-纽伦堡机械制造厂 ;T8;8;1930;1999;mechanics;chemistry;artillery;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7004;毛瑟制造厂 ;T9;8;1930;1999;general_equipment;mechanics;training;artillery;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7005;梅塞施密特 ;T10;9;1930;1999;aeronautics;rocketry;electronics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7006;欧宝 ;T11;7;1930;1999;mechanics;management;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7007;保时捷汽车 ;T12;9;1930;1999;mechanics;artillery;technical_efficiency;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7008;莱茵金属 ;T13;7;1930;1999;artillery;mechanics;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7009;西门子 ;T14;8;1930;1999;electronics;industrial_engineering;technical_efficiency;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7010;大众汽车 ;T15;7;1930;1999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7011;沃纳·海森堡 ;T16;7;1927;1999;nuclear_physics;nuclear_engineering;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7012;埃里希·冯·曼施坦因 ;T20;9;1930;1999;combined_arms_focus;small_unit_tactics;decentralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7013;海因茨·古德里安 ;T22;9;1930;1999;combined_arms_focus;small_unit_tactics;decentralized_execution;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7014;康纳德·帕茨希 ;T7014;6;1930;1999;seamanship;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7015;阿尔佛雷德·保卢斯 ;T7015;6;1930;1999;piloting;aircraft_testing;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7016;约瑟夫·卡姆胡伯 ;T7016;6;1930;1999;aircraft_testing;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
