U00;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
102700;COP ;T2700;4;1930;1999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102701;斯特凡·巴纳赫 ;T2701;6;1930;1945;mathematics;individual_courage;chemistry;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102702;斯坦尼斯拉夫·乌兰 ;T2702;7;1930;1938;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102703;布罗尼-兰杜姆武器工业 ;T2703;5;1930;1999;general_equipment;artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102704;施特拉赫维斯工业 ;T2704;5;1930;1999;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102705;波兰民用航空 ;T2705;4;1930;1999;aeronautics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102706;波兰工业集团公司 ;T2706;5;1930;1999;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102707;波兰军事航空研究所 ;T2707;5;1930;1999;aeronautics;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102708;施托克里亚船业 ;T2708;4;1930;1999;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102709;塔道斯·库特雷巴 ;T2709;4;1930;1999;centralized_execution;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102710;马里安·雷居斯基 ;T2710;7;1930;1939;mathematics;electronics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102711;鲁多米尔·拉伊斯基 ;T2711;4;1930;1999;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
102712;杰瑞斯·斯韦尔斯基 ;T2712;4;1930;1999;naval_training;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
