TIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
73001;Head of State;达赖喇嘛;36;PA;Benevolent Gentleman;High;M73023_Dalai Lama jeune;x
73002;Head of Government;热振仁切波;36;PA;Pig-headed Isolationist;High;M73002;x
73003;Foreign Minister;那陈仁切波;36;PA;Ideological Crusader;High;M73040_Ngagchen Rinpoche;x
73004;Minister of Armament;蒙多;36;PA;Theoretical Scientist;High;M73039_Mondo;x
73005;Minister of Security;拉鲁赛;36;PA;Back Stabber;Medium;M73035_Lhalu Se;x
73006;Head of Military Intelligence;晋美图灵 ;36;PA;Technical Specialist;High;M73029_Jigme Taring tradi;x
73007;Chief of Staff;炯拉;36;PA;School of Defence;High;M73022_Changra Depon;x
73008;Chief of Army;炯拉;36;PA;Static Defence Doctrine;High;M73022_Changra Depon;x
73009;Chief of Navy;炯拉;36;PA;Decisive Naval Battle Doctrine;High;M73022_Changra Depon;x
73010;Chief of Air Force;炯拉;36;PA;Army Aviation Doctrine;High;M73022_Changra Depon;x
73011;Head of State;达赖喇嘛;46;PA;Autocratic Charmer;High;M73071_Dalai Lama adulte;x
73012;Head of State;达赖喇嘛;36;SD;Benevolent Gentleman;High;M73071_Dalai Lama adulte;x
73013;Head of State;班禅;44;ST;Popular Figurehead;High;M73058_Panchen Lama;x
73014;Head of Government;朗顿;38;FA;Political Protege;Medium;M73034_Langdun;x
73015;Minister of Security;多闻;37;SC;Compassionate Gentleman;High;M73033_Kyibu;x
73016;Head of Government;坤普拉;36;SL;Die-hard Reformer;High;M73032_Kunphela;x
73017;Head of Government;铺旺;36;LWR;Naive Optimist;High;M73055_Phunwang;x
73018;Head of Government;阿旺晋美 ;36;ST;Silent Workhorse;High;M73051_Ngapoi Ngawang Jigme;x
73019;Foreign Minister;拉旺多普拉索康;36;SC;General Staffer;Medium;M73036_Lhawang Tobgyal;x
73020;Foreign Minister;哥顿群培;36;SD;Ideological Crusader;High;M73026_Gedun Choephel;x
73021;Foreign Minister;阿旺晋美 ;36;LE;Great Compromiser;High;M73051_Ngapoi Ngawang Jigme;x
73022;Foreign Minister;扎西多杰彭康;38;PA;Iron Fisted Brute;Medium;;x
73023;Foreign Minister;阿旺坚赞;38;PA;Great Compromiser;Medium;M73057_Ngawang Gyaltsen;x
73024;Foreign Minister;流沙;46;PA;Apologetic Clerk;Medium;M73037_Liushar;x
73025;Foreign Minister;强隆钦;38;SC;Biased Intellectual;Medium;M73021_Changlochen;x
73026;Foreign Minister;嘉乐顿杜普;46;PA;Ideological Crusader;Medium;M73028_Gyalo Dhondup;x
73027;Minister of Armament;亚普庞达辛;36;SL;Laissez Faires Capitalist;High;M73069_Yarphel Pangdatsang;x
73028;Minister of Armament;昆普勒;37;SL;Administrative Genius;High;M73032_Kunphela;x
73029;Minister of Armament;塔荣 札西 ;36;SC;Infantry Proponent;High;M73068_Tsarong;x
73030;Minister of Armament;多的瓦;40;LE;Infantry Proponent;Medium;M73025_Dodewa;x
73031;Minister of Armament;任光;37;PA;Resource Industrialist;High;M73063_Ringang;x
73032;Head of Military Intelligence;罗噶庞大辛;36;SD;Political Specialist;High;M73056_Rabga Pangdatsang;x
73033;Head of Military Intelligence;雷金纳德 福克斯;38;PA;Logistics Specialist;Medium;M73062_Reginald Fox;x
73034;Head of Military Intelligence;普尔哈;40;PA;Dismal Enigma;High;M73059_Phalha;x
73035;Head of Military Intelligence;乔治擦绒;42;SC;Industrial Specialist;High;M73027_George Tsarong;x
73036;Head of Military Intelligence;昌罗辰;36;SD;Logistics Specialist;High;M73021_Changlochen;x
73037;Head of Military Intelligence;兰帕;36;LE;Political Specialist;High;M73061_Rampa;x
73038;Minister of Security;罗噶庞大辛;36;SD;Crime Fighter;High;M73056_Rabga Pangdatsang;x
73039;Minister of Security;瑟辛;36;PA;Crooked Kleptocrat;Medium;M73065_Seksing;x
73040;Minister of Security;陆航噶;38;PA;Silent Lawyer;High;M73038_Lukangnga;x
73041;Head of Government;塔克洛活佛;41;SC;Backroom Backstabber;Medium;M73066_Taktra;x
73042;Minister of Security;卡瑟帕;37;SC;Prince of Terror;Medium;M73031_Kapshoba;x
73043;Minister of Security;昌罗辰;38;SD;Man of the People;High;M73021_Changlochen;x
73044;Minister of Security;丁亚;41;LE;Man of the People;Medium;M73024_Dingja;x
73045;Chief of Staff;塔荣 札西 ;36;SC;School of Defence;High;M73068_Tsarong;x
73046;Chief of Staff;宇妥 ;38;SD;School of Manoeuvre;High;M73070_Yuthok;x
73047;Chief of Staff;晋美图灵 ;38;SC;School of Fire Support;Medium;M73030_Jigme Taring uniforme;x
73048;Chief of Staff;拿嘎斯卡 ;40;PA;School of Mass Combat;Medium;M73060_Ragashar;x
73049;Chief of Staff;伽罗 顿杜普;44;PA;School of Manoeuvre;Medium;M73028_Gyalo Dhondup;x
73050;Chief of Staff;多布加 潘大善 ;36;SD;School of Fire Support;High;;x
73051;Chief of Staff;阿旺晋美 ;36;LE;School of Psychology;High;M73051_Ngapoi Ngawang Jigme;x
73052;Chief of Staff;安得克 昆布扎西 ;46;SC;School of Psychology;High;M73072_Gompo Tashi Andrugtsang;x
73053;Chief of Staff;古亚托 旺堆;46;PA;School of Psychology;High;M73029_Gyato Wangdu;x
73054;Chief of Army;多布加 潘大善 ;38;SD;Guns and Butter Doctrine;High;;x
73055;Chief of Army;宇妥 ;36;SD;Decisive Battle Doctrine;High;M73070_Yuthok;x
73056;Chief of Army;塔荣 札西 ;36;SC;Static Defence Doctrine;High;M73068_Tsarong;x
73057;Chief of Army;塔东 萨佩 ;38;PA;Decisive Battle Doctrine;Medium;M73067_Tendong Shappe;x
73058;Chief of Army;拿嘎斯卡 ;40;PA;Guns and Butter Doctrine;Medium;M73060_Ragashar;x
73059;Chief of Army;晋美图灵 ;38;SC;Elastic Defence Doctrine;High;M73030_Jigme Taring uniforme;x
