UIR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;;Personality;;;x
65701;Head of State;苏巴斯 钱德拉 鲍斯 ;36;NS;Stern Imperialist;High;M59011;x
65702;Head of Government;圣雄 莫汉达斯 甘地 ;36;NS;Silent Workhorse;High;M59037;x
65703;Foreign Minister;萨拉特 钱德拉 鲍斯 ;36;NS;Biased Intellectual;Very High;M59045;x
65704;Foreign Minister;贾瓦哈尔 拉尔 尼赫鲁 ;36;NS;Ideological Crusader;High;M59046;x
65705;Foreign Minister;比姆拉奥 拉姆吉 安贝德卡 ;36;NS;Apologetic Clerk;Low;M59025;x
65706;Foreign Minister;阿萨杜拉赫 萨拉杰 汗 ;36;NS;Iron Fisted Brute;High;M54031;x
65707;Foreign Minister;阿南塔萨亚南 阿扬加尔 ;36;NS;Great Compromiser;Low;M59044;x
65708;Foreign Minister;穆罕默德 阿尤布 汗 ;36;NS;General Staffer;High;M59049;x
65709;Foreign Minister;穆罕默德 埃特马迪 汗 ;36;NS;The Cloak N Dagger Schemer;Medium;M54016;x
65710;Minister of Armament;拉尔 巴哈杜尔 夏斯特里 ;36;NS;Administrative Genius;High;M59024;x
65711;Minister of Armament;帕托迪的 纳瓦卜 贾戈尔 ;36;NS;Resource Industrialist;Medium;M59062;x
65712;Minister of Armament;迪尔 拉纳 ;36;NS;Theoretical Scientist;Medium;M75014;x
65713;Minister of Armament;哈吉 法伊兹 穆罕默德 齐克里亚 ;36;NS;Laissez Faires Capitalist;High;M54003;x
65714;Minister of Armament;萨达尔 瓦拉布巴伊 帕特尔 ;36;NS;Military Entrepreneur;High;M59056;x
65715;Minister of Armament;霍奇 巴胡尔的 巴哈杜尔 贾拉 ;36;NS;Battle Fleet Proponent;Medium;M59048;x
65716;Minister of Armament;穆罕默德 埃特马迪 汗 ;36;NS;Submarine Proponent;Medium;M54016;x
65717;Minister of Armament;伊塔洛 塞尔让 ;36;NS;Tank Proponent;Low;M54033;x
65718;Minister of Armament;伊斯坎德尔 米尔扎 ;36;NS;Infantry Proponent;Medium;M59014;x
65719;Minister of Armament;乔图 拉姆 ;36;NS;Air Superiority Proponent;High;M59026;x
65720;Minister of Armament;阿马努拉 ;36;NS;Corrupt Kleptocrat;Low;M54011;x
65721;Minister of Armament;基兰 拉纳 ;36;NS;Air to Ground Proponent;Medium;M75010;x
65722;Minister of Armament;穆罕默德 阿里 博格拉 ;36;NS;Air to Sea Proponent;Medium;M59067;x
65723;Minister of Armament;沙阿 瓦利 汗 ;36;NS;Strategic Air Proponent;Medium;M54042;x
65724;Minister of Security;哈里拉尔 J 卡尼亚 ;36;NS;Silent Lawyer;Low;M59070;x
65725;Minister of Security;帕德马 拉纳 ;36;NS;Compassionate Gentleman;Medium;M75008;x
65726;Minister of Security;拉菲 艾哈迈德 基德瓦伊 ;36;NS;Crime Fighter;Medium;M59068;x
65727;Minister of Security;海德拉巴的 尼扎姆 奥斯曼 ;36;NS;Prince of Terror;Very High;M59015;x
65728;Minister of Security;穆罕默德 穆希布 ;36;NS;Back Stabber;Very High;M59073;x
65729;Minister of Security;穆罕默德 查希尔 ;36;NS;Man of the People;Medium;M54009;x
65730;Minister of Security;阿乔伊 库马尔 高希 ;36;NS;Efficient Sociopath;Very High;M59023;x
