SOV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
4001;Head of State;米哈伊 加里宁 ;36;ST;Weary Stiffneck;High;M4001;x
4002;Head of Government;约瑟夫 斯大林 ;36;ST;Backroom Backstabber;High;M4002;x
4003;Foreign Minister;马克西姆 李维诺夫 ;36;ST;Biased Intellectual;Medium;M4003;x
4004;Minister of Armament;拉扎尔 卡冈诺维奇 ;36;ST;Resource Industrialist;High;M4004;x
4005;Minister of Security;根里克 雅戈达 ;36;ST;Back Stabber;Low;M4005;x
4006;Head of Military Intelligence;杨 贝尔辛 ;36;ST;Technical Specialist;Medium;M4006;x
4007;Chief of Staff;米哈伊尔 尼 图哈切夫斯基 ;36;LE;School of Manoeuvre;Low;M4007;x
4008;Chief of Army;克利门特 叶 伏罗希洛夫 ;36;ST;Guns and Butter Doctrine;Very High;M4008;x
4009;Chief of Navy;弗拉基米尔 M 奥洛夫 ;36;LE;Indirect Approach Doctrine;Very Low;M4009;x
4010;Chief of Air Force;雅可夫 伊 阿列克谢尼斯 ;36;LE;Air Superiority Doctrine;High;M4010;x
4074;Head of State;约瑟夫 斯大林 ;36;ST;Ruthless Powermonger;High;M4002;x
4076;Head of State;维亚切斯拉夫 莫洛托夫 ;36;ST;Autocratic Charmer;High;M4034;x
4070;Head of State;尼古拉 什维尔尼克 ;46;ST;Insignificant Layman;High;M4070;x
4021;Head of State;亚历山大 克伦斯基 ;36;SL;Die-hard Reformer;High;M4021;x
4072;Head of Government;维亚切斯拉夫 莫洛托夫 ;36;ST;Silent Workhorse;Very High;M4034;x
4075;Head of Government;拉夫连季 贝利亚 ;38;ST;Backroom Backstabber;High;M4041;x
4022;Head of Government;亚历山大 克伦斯基 ;36;SL;Happy Amateur;High;M4021;x
4033;Foreign Minister;安德烈 维辛斯基 ;36;ST;The Cloak N Dagger Schemer;High;M4033;x
4034;Foreign Minister;维亚切斯拉夫 莫洛托夫 ;38;ST;Iron Fisted Brute;High;M4034;x
4035;Foreign Minister;伊万 M 马伊斯基 ;43;ST;Apologetic Clerk;Medium;M4035;x
4036;Minister of Armament;格奥尔基 D 瓦西列维奇 ;38;ST;Infantry Proponent;Medium;M4036;x
4037;Minister of Armament;迪米特里 F 乌斯季诺夫 ;41;ST;Theoretical Scientist;Medium;M4037;x
4038;Minister of Armament;鲍里斯 L 瓦尼科夫 ;42;ST;Military Entrepreneur;Medium;M4038;x
4040;Minister of Security;塞尔吉耶 乌里茨基 ;37;ST;Crime Fighter;High;M4040;x
4041;Minister of Security;拉夫连季 贝利亚 ;38;ST;Prince of Terror;High;M4041;x
4042;Minister of Security;安德列 G 奥洛夫 ;38;ST;Silent Lawyer;Medium;M4042;x
4043;Minister of Security;谢尔盖 G 甘丁 ;38;ST;Efficient Sociopath;Medium;M4043;x
4044;Minister of Security;安德列 P 潘非洛夫 ;41;ST;Man of the People;Medium;M4044;x
4046;Head of Military Intelligence;伊万 I 普罗斯库罗夫 ;37;ST;Dismal Enigma;Medium;M4046;x
4047;Head of Military Intelligence;菲利普 I 戈利科夫 ;40;ST;Political Specialist;Medium;M4047;x
4048;Head of Military Intelligence;安德列 P 潘非洛夫 ;41;ST;Logistics Specialist;Medium;M4044;x
4049;Head of Military Intelligence;伊格尔 I 伊利契夫 ;42;ST;Industrial Specialist;Medium;M4049;x
4050;Head of Military Intelligence;费多尔 F 库兹涅佐夫 ;45;ST;Technical Specialist;Medium;M4050;x
4051;Chief of Staff;鲍里斯 M 沙波什尼科夫 ;37;ST;School of Mass Combat;High;M4051;x
4052;Chief of Staff;基里尔 A 梅列茨科夫 ;40;ST;School of Psychology;Medium;M4052;x
4053;Chief of Staff;格奥尔基 K 朱可夫 ;41;ST;School of Fire Support;High;M4028;x
4054;Chief of Staff;亚历山大 M 华西列夫斯基 ;42;ST;School of Defence;Medium;M4054;x
4055;Chief of Staff;尼古拉 布尔加宁 ;44;ST;School of Mass Combat;Medium;M4055;x
4056;Chief of Staff;阿列克谢 I 安东诺夫 ;45;ST;School of Psychology;High;M4056;x
4057;Chief of Staff;谢尔盖 M 什捷缅科 ;46;ST;School of Manoeuvre;High;M4057;x
4058;Chief of Army;西蒙 K 铁木辛哥 ;41;ST;Guns and Butter Doctrine;High;M4058;x
4059;Chief of Army;约瑟夫 斯大林 ;41;ST;Guns and Butter Doctrine;High;M4002;x
4060;Chief of Army;罗迪安 马林诺夫斯基 ;43;ST;Armoured Spearhead Doctrine;High;L10102;x
4061;Chief of Navy;米哈伊 V 维克多诺夫 ;38;ST;Power Projection Doctrine;High;M4061;x
