AFG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
54001;Head of State;穆罕默德 查希尔 ;36;FA;Autocratic Charmer;Very High;M54001;x
54002;Head of Government;穆罕默德 哈希姆 ;36;FA;Happy Amateur;High;M54002;x
54003;Foreign Minister;哈吉 法伊兹 穆罕默德 齐克里亚 ;36;FA;Ideological Crusader;High;M54003;x
54004;Minister of Armament;阿卜杜勒 马吉德 扎布利 ;36;FA;Laissez-Faire Capitalist;High;M54004;x
54005;Minister of Security;穆罕默德 哈希姆 ;36;FA;Crooked Kleptocrat;Medium;M54002;x
54006;Head of Military Intelligence;沙阿 马哈茂德 加齐 ;36;FA;Dismal Enigma;Medium;M54006;x
54007;Chief of Staff;穆罕默德 达乌德 ;36;FA;School of Psychology;High;M54007;x
54008;Chief of Army;穆罕默德 达乌德 ;36;FA;Elastic Defence Doctrine;Medium;M54007;x
54009;Chief of Navy;穆罕默德 查希尔 ;36;FA;Indirect Approach Doctrine;Medium;M54009;x
54010;Chief of Air Force;穆罕默德 达乌德 ;36;FA;Army Aviation Doctrine;Medium;M54007;x
54021;Head of State;穆罕默德 查希尔 ;39;SC;Benevolent Gentleman;High;M54001;x
54022;Head of State;穆罕默德 查希尔 ;46;PA;Autocratic Charmer;Very High;M54001;x
54023;Head of Government;穆罕默德 哈希姆 ;39;SC;Happy Amateur;High;M54002;x
54024;Head of Government;沙阿 马哈茂德 加齐 ;46;PA;Old General;High;M54006;x
54025;Foreign Minister;阿卜杜勒 哈迪 达外 ;37;FA;Apologetic Clerk;High;M54013;x
54026;Foreign Minister;阿马努拉 ;36;FA;Ideological Crusader;Low;M54011;x
54027;Foreign Minister;穆罕默德 达乌德 ;39;SC;Great Compromiser;Medium;M54007;x
54028;Foreign Minister;瓦齐尔 阿克巴尔 汗 ;42;SC;General Staffer;Medium;M54018;x
54029;Foreign Minister;阿里 穆罕默德 汗 ;39;SC;Biased Intellectual;Medium;M54020;x
54030;Foreign Minister;穆罕默德 埃特马迪 汗 ;44;SC;The Cloak N Dagger Schemer;Medium;M54016;x
54031;Foreign Minister;阿萨杜拉赫 萨拉杰 汗 ;45;PA;Iron Fisted Brute;High;M54031;x
54032;Minister of Armament;穆罕默德 达乌德 ;37;FA;Air to Ground Proponent;Medium;M54007;x
54033;Minister of Armament;伊塔洛 塞尔让 ;38;FA;Tank Proponent;Low;M54033;x
54034;Minister of Armament;博尔托洛 贝洛蒂 ;39;FA;Administrative Genius;Low;M54034;x
54035;Minister of Armament;阿萨杜拉赫 萨拉杰 汗 ;39;SC;Infantry Proponent;Medium;M54031;x
54036;Minister of Armament;哈吉 法伊兹 穆罕默德 齐克里亚 ;40;SC;Laissez Faires Capitalist;High;M54003;x
54037;Minister of Armament;纳西鲁拉 侯赛因 ;40;SC;Battle Fleet Proponent;Medium;M54019;x
