ALB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
32001;Head of State;索古一世 ;30;PA;Insignificant Layman;High;M32001;x
32002;Head of Government;迈扎特 弗拉谢里 ;30;PA;Corporate Suit;High;M32002;x
32003;Foreign Minister;福阿德 阿斯拉姆 ;30;PA;Apologetic Clerk;Medium;M32003;x
32004;Minister of Armament;罗克 格拉 ;30;PA;Corrupt Kleptocrat;Medium;M32004;x
32005;Minister of Security;乔斯林 佩尔西 ;30;PA;Prince of Terror;High;M32005;x
32006;Head of Military Intelligence;索古一世 ;30;PA;Logistics Specialist;Medium;M32006;x
32007;Chief of Staff;切马尔 科马尼 ;30;PA;School of Defence;Medium;M32007;x
32008;Chief of Army;斯特夫希 沙图恩 ;30;PA;Static Defence Doctrine;Medium;M32008;x
32009;Chief of Navy;夸马尔 帕卡济 ;30;PA;Indirect Approach Doctrine;Medium;M32009;x
32010;Chief of Air Force;乔斯林 佩尔西 ;30;PA;Army Aviation Doctrine;Medium;M32005;x
32041;Head of State;陶菲克 姆博亚 ;39;PA;Pig-headed Isolationist;High;M32021;x
32042;Head of State;易卜拉欣 比卡库 ;42;PA;Stern Imperialist;High;M32042;x
32043;Head of State;菲契里 戴恩 ;44;PA;Die-hard Reformer;High;M32043;x
32044;Head of State;泰奥凡 诺利 ;30;SC;Weary Stiffneck;High;M32011;x
32045;Head of State;利亚萨 丰杜阿 ;41;SC;Popular Figurehead;High;M32013;x
32046;Head of State;雷杰普 米特罗维卡 ;44;SC;Insignificant Layman;High;M32046;x
32047;Head of State;谢夫克特 韦拉奇 ;39;FA;Autocratic Charmer;High;M32047;x
32048;Head of State;埃克雷姆 利博霍瓦 ;42;FA;Powerhungry Demagogue;High;M32048;x
32049;Head of State;奥梅 尼沙尼 ;30;ST;Resigned Generalissimo;High;M32032;x
32050;Head of State;塞富拉 马勒斯霍瓦 ;45;ST;Popular Figurehead;High;M32050;x
32051;Head of State;恩维尔 霍查 ;47;ST;Ruthless Powermonger;High;M32051;x
32052;Head of Government;科斯塔克 科塔 ;39;PA;Smiling Oilman;High;M32052;x
32053;Head of Government;尤普 卡扎齐 ;41;PA;Happy Amateur;High;M32015;x
32054;Head of Government;迈赫迪 弗拉谢里 ;44;PA;Corporate Suit;High;M32054;x
32055;Head of Government;泰奥凡 诺利 ;39;SC;Naive Optimist;High;M32011;x
32056;Head of Government;查费尔 伊皮 ;41;SC;Political Protege;High;M32056;x
32057;Head of Government;穆斯塔法 梅利卡 ;44;SL;Happy Amateur;High;M32057;x
32058;Head of Government;谢夫克特 韦拉奇 ;39;FA;Flamboyant Tough Guy;High;M32047;x
32059;Head of Government;埃克雷姆 利博霍瓦 ;42;FA;Corporate Suit;High;M32048;x
32060;Head of Government;奥梅 尼沙尼 ;30;ST;Silent Workhorse;High;M32032;x
32061;Head of Government;塞富拉 马勒斯霍瓦 ;42;ST;Naive Optimist;High;M32050;x
32062;Head of Government;恩维尔 霍查 ;44;ST;Backroom Backstabber;High;M32051;x
32063;Foreign Minister;迈赫迪 弗拉谢里 ;39;PA;Apologetic Clerk;Medium;M32054;x
32065;Foreign Minister;菲契里 戴恩 ;42;PA;Great Compromiser;Medium;M32043;x
32066;Foreign Minister;纳齐姆 德多利 ;44;PA;Iron Fisted Brute;Medium;M32066;x
32067;Foreign Minister;利亚萨 丰杜阿 ;30;SC;Great Compromiser;High;M32013;x
32068;Foreign Minister;泰奥凡 S. 诺利 ;40;SC;Ideological Crusader;Very Low;M32068;x
32069;Foreign Minister;阿里 凯尔门迪 ;42;SC;Iron Fisted Brute;Low;M32031;x
32070;Foreign Minister;雷杰普 米特罗维卡 ;43;SC;Apologetic Clerk;Medium;M32046;x
32071;Foreign Minister;谢夫克特 什库皮 ;44;SL;Biased Intellectual;Medium;M32071;x
32072;Foreign Minister;陶菲克 姆博亚 ;39;FA;The Cloak N Dagger Schemer;Medium;M32021;x
32073;Foreign Minister;哈桑 贝戈利 ;41;FA;Biased Intellectual;High;M32073;x
32074;Foreign Minister;科尔 比贝 米拉卡伊 ;42;FA;General Staffer;High;M32074;x
32075;Foreign Minister;努希 贝里沙 ;43;FA;Iron Fisted Brute;High;M32075;x
32076;Foreign Minister;奥梅 尼沙尼 ;30;ST;Ideological Crusader;Undying;M32032;x
32077;Foreign Minister;哈桑 什卡比 ;42;ST;Iron Fisted Brute;High;M32077;x
32078;Foreign Minister;埃萨德 帕夏 ;44;ST;Apologetic Clerk;Medium;M32036;x
32079;Minister of Armament;乔斯林 佩尔西 ;37;PA;Air to Ground Proponent;Medium;M32005;x
32080;Minister of Armament;夸马尔 帕卡济 ;39;PA;Submarine Proponent;Medium;M32009;x
32081;Minister of Armament;斯特芬 德尔维涅 ;41;PA;Air to Sea Proponent;Medium;M32020;x
