CXB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
504001;Head of State;马鸿逵 ;36;PA;Barking Buffoon;High;L50235;x
504002;Head of Government;马鸿逵 ;36;PA;Old Air Marshal;High;L50235;x
504003;Foreign Minister;方靖 ;36;PA;Great Compromiser;High;L50075;x
504004;Minister of Armament;祖申 ;36;PA;Corrupt Kleptocrat;Medium;M504004;x
504005;Minister of Security;李士群 ;36;PA;Prince of Terror;Medium;M504005;x
504006;Head of Military Intelligence;马鸿宾 ;36;PA;Political Specialist;Medium;M504006;x
504007;Chief of Staff;马步青 ;36;PA;School of Defence;Medium;M504007;x
504008;Chief of Army;马步青 ;36;PA;Guns and Butter Doctrine;Medium;M504007;x
504009;Chief of Navy;马步芳 ;36;PA;Indirect Approach Doctrine;Medium;M504009;x
504010;Chief of Air Force;马步芳 ;36;PA;Army Aviation Doctrine;Medium;M504009;x
