U86;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
800600;Head of State;戴维·贾瓦拉;45;SL;Pig-headed Isolationist;Very High;gambia1;x
800601;Head of State;爱德华·弗朗西斯·斯莫尔;44;SD;Pig-headed Isolationist;Very High;unknown;x
800602;Head of State;托马斯·修顿;36;ML;Die-hard Reformer;Very High;unknown;x
800603;Head of State;拉合尔·艾哈迈迪亚;42;SC;Benevolent Gentleman;Very High;unknown;x
800604;Head of Government;戴维·贾瓦拉;45;SL;Naive Optimist;Very High;gambia1;x
800605;Head of Government;爱德华·弗朗西斯·斯莫尔;44;SD;Silent Workhorse;Very High;unknown;x
800606;Head of Government;皮埃尔·萨尔;44;SC;Corporate Suit;Very High;unknown;x
800607;Foreign Minister;皮埃尔·萨尔;44;SC;Ideological Crusader;Very High;unknown;x
800608;Foreign Minister;约翰·保罗·沃伯顿;44;ML;Biased Intellectual;Very High;unknown;x
800609;Minister of Armament;爱德华·斯莫尔;36;SD;Administrative Genius;Very High;unknown;x
800610;Minister of Armament;易卜拉欣·莫莫杜;44;SC;Corrupt Kleptocrat;Very High;unknown;x
800611;Minister of Armament;托马斯·修顿;36;ML;Administrative Genius;Very High;unknown;x
800612;Minister of Security;戴维·贾瓦拉;45;SL;Back Stabber;Very High;gambia1;x
800613;Minister of Security;约翰·科利·费伊;45;ML;Crime Fighter;Very High;unknown;x
800614;Minister of Security;亚历克斯·哈里;44;SD;Man of the People;Very High;unknown;x
800615;Head of Military Intelligence;赫伯特·R·帕尔默;36;ML;Naval Intelligence Specialist;Very High;unknown;x
800616;Chief of Staff;乔治吉·法德;39;ML;School of Fire Support;Very High;unknown;x
800617;Chief of Staff;查洛摩利·班德;36;PA;School of Fire Support;Very High;unknown;x
800618;Chief of Army;乔治吉·法德;39;ML;Static Defence Doctrine;Very High;unknown;x
800619;Chief of Army;查洛摩利·班德;36;PA;Guns and Butter Doctrine;Very High;unknown;x
800620;Chief of Navy;亚历克斯·哈里;45;SD;Open Seas Doctrine;Very High;unknown;x
800621;Chief of Navy;赫伯特·R·帕尔默;36;ML;Open Seas Doctrine;Very High;unknown;x
800622;Chief of Air Force;赫伯特·R·帕尔默;36;ML;Air Superiority Doctrine;Very High;unknown;x
