AST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
56001;Head of State;艾萨克 阿尔弗雷德 艾萨克斯 ;36;SC;Stern Imperialist;High;M56001;x
56002;Head of Government;约瑟夫 A 莱昂斯 ;36;SC;Flamboyant Tough Guy;High;M56002;x
56003;Foreign Minister;乔治 F 皮尔斯 ;36;SC;Great Compromiser;High;M56003;x
56004;Minister of Armament;罗伯特 A 帕克希尔 ;36;SC;Resource Industrialist;Medium;M56004;x
56005;Minister of Security;托马斯 帕特森 ;36;SC;Silent Lawyer;Medium;M56005;x
56006;Head of Military Intelligence;亚历山大 麦克拉克兰 ;36;SC;Technical Specialist;High;M56006;x
56007;Chief of Staff;约瑟夫 A 莱昂斯 ;36;SC;School of Manoeuvre;Very High;M56002;x
56008;Chief of Army;约翰 拉瓦拉克 ;36;SC;Static Defence Doctrine;Medium;M56008;x
56009;Chief of Navy;拉格纳 M 科尔文 ;36;SC;Open Seas Doctrine;Medium;M56009;x
56010;Chief of Air Force;理查德 威廉姆斯 ;36;SC;Air Superiority Doctrine;Medium;M56010;x
56031;Head of State;亚历山大 G 阿克赖特 ;36;SC;Stern Imperialist;High;M56031;x
56032;Head of State;格洛斯特公爵 亨利 ;45;SC;Autocratic Charmer;High;M56032;x
56035;Head of State;保罗 罗塞维尔 ;36;PA;Benevolent Gentleman;High;M56011;x
56036;Head of State;兰斯 沙尔基 ;36;LE;Barking Buffoon;High;M56021;x
56037;Head of Government;罗伯特 戈登 孟席斯 ;37;SC;Backroom Backstabber;High;M56037;x
56038;Head of Government;约翰 J 柯廷 ;36;SD;Silent Workhorse;High;M56038;x
56039;Head of Government;本 奇夫利 ;45;SD;Political Protege;High;M56039;x
56040;Head of Government;J H A 杜兰特 ;36;PA;Happy Amateur;High;M56012;x
56041;Head of Government;兰斯 沙尔基 ;36;ST;Ambitious Union Boss;High;M56021;x
56042;Foreign Minister;帕尔默 A 麦克布里德 ;36;SC;Iron Fisted Brute;High;M56042;x
56043;Foreign Minister;亨利 S 古利特 ;37;SC;Great Compromiser;Medium;M56043;x
56044;Foreign Minister;威廉 M 休斯 ;37;SC;Biased Intellectual;Very High;M56044;x
56045;Foreign Minister;罗伯特 戈登 孟席斯 ;38;SC;Apologetic Clerk;Very High;M56037;x
56046;Foreign Minister;弗雷德里克 斯图尔特 ;39;SC;Ideological Crusader;High;M56046;x
56047;Foreign Minister;托马斯 帕特森 ;41;SC;Biased Intellectual;Medium;M56005;x
56048;Foreign Minister;厄尔 佩奇 ;44;SC;Apologetic Clerk;Medium;M56048;x
56049;Foreign Minister;弗农 斯图尔迪 ;36;SD;General Staffer;Medium;M56049;x
56050;Foreign Minister;赫伯特 V 艾瓦特 ;41;SD;Biased Intellectual;High;M56050;x
56051;Foreign Minister;彼得 斯皮里特 ;36;PA;General Staffer;Low;M56013;x
56052;Foreign Minister;弗朗西斯科 皮西特利 ;40;PA;The Cloak N Dagger Schemer;High;M56052;x
56053;Foreign Minister;休 莫克森 ;36;ST;Ideological Crusader;High;M56023;x
56054;Foreign Minister;乔治 贝特曼 ;42;LE;Biased Intellectual;High;M56054;x
56055;Foreign Minister;约翰 麦克奥利 ;44;ST;Great Compromiser;High;M56055;x
56056;Minister of Armament;爱德华 戴维斯 米伦 ;36;ML;Resource Industrialist;High;M56056;x
56057;Minister of Armament;G A 斯特里特 ;37;SC;Administrative Genius;High;M56046;x
56058;Minister of Armament;哈蒂尔 S 弗尔 ;40;SC;Administrative Genius;Medium;M56058;x
56059;Minister of Armament;W D 波斯托克 ;43;SC;Air to Sea Proponent;High;M56059;x
56060;Minister of Armament;帕尔默 A 麦克布里德 ;50;SC;Infantry Proponent;High;M56042;x
56061;Minister of Armament;诺曼 J 麦金 ;37;SD;Military Entrepreneur;Medium;M56061;x
56062;Minister of Armament;斯坦利 墨尔本 布鲁斯 ;38;SD;Laissez Faires Capitalist;High;M56062;x
56063;Minister of Armament;A M G 琼斯 ;39;SD;Strategic Air Proponent;High;M56063;x
56064;Minister of Armament;亨利 绍维尔 ;41;SD;Battle Fleet Proponent;Medium;M56064;x
56065;Minister of Armament;霍雷斯 威廉 斯特拉特 ;43;SD;Infantry Proponent;Medium;M56065;x
56066;Minister of Armament;西德尼 罗维尔 ;43;SD;Tank Proponent;Medium;M56066;x
56067;Minister of Armament;斯坦利 J 格布尔 ;44;SD;Air to Ground Proponent;Medium;M56067;x
56068;Minister of Armament;盖伊 C C 罗尔 ;44;SD;Submarine Proponent;Medium;M56068;x
56069;Minister of Armament;约翰 拉瓦拉克 ;44;SD;Military Entrepreneur;Medium;M56008;x
56070;Minister of Armament;理查德 威廉姆斯 ;44;SD;Air Superiority Proponent;Medium;M56010;x
56071;Minister of Armament;弗朗西斯科 方廷 ;36;PA;Battle Fleet Proponent;Medium;M56014;x
56072;Minister of Armament;弗朗克 卡梅诺罗 ;39;PA;Strategic Air Proponent;Medium;M56072;x
56073;Minister of Armament;保罗 罗塞维尔 ;42;PA;Air Superiority Proponent;Very High;M56011;x
56074;Minister of Armament;理查德 奥维勒尔 ;44;PA;Administrative Genius;Very High;M56074;x
56075;Minister of Armament;杰克 亨利 ;36;LE;Military Entrepreneur;Medium;M56024;x
56076;Minister of Armament;吉姆 亨德森 ;39;ST;Infantry Proponent;Medium;M56076;x
56077;Minister of Armament;托尼 麦克基里克 ;44;ST;Theoretical Scientist;High;M56077;x
56078;Minister of Security;肯尼思 伊瑟 ;36;ML;Efficient Sociopath;High;M56078;x
56079;Minister of Security;亚历山大 麦克拉克兰 ;37;SC;Crime Fighter;High;M56006;x
56080;Minister of Security;厄尔 佩奇 ;37;SC;Man of the People;Medium;M56048;x
56081;Minister of Security;亨利 S 古利特 ;39;SC;Prince of Terror;Medium;M56043;x
56082;Minister of Security;哈蒂尔 S 弗尔 ;41;SC;Compassionate Gentleman;Medium;M56058;x
56083;Minister of Security;乔治 F 皮尔斯 ;36;SC;Silent Lawyer;High;M56003;x
56084;Minister of Security;罗伯特 A 帕克希尔 ;44;SC;Compassionate Gentleman;Medium;M56004;x
56085;Minister of Security;休伯特 P 拉扎里尼 ;37;SD;Silent Lawyer;Medium;M56085;x
56086;Minister of Security;赫伯特 V 艾瓦特 ;41;SD;Back Stabber;High;M56050;x
56087;Minister of Security;詹姆斯 麦卡锡 ;36;PA;Crime Fighter;Medium;M56015;x
56088;Minister of Security;J H A 杜兰特 ;39;PA;Compassionate Gentleman;High;M56012;x
56089;Minister of Security;詹姆斯 科里顿 ;43;PA;Back Stabber;High;M56089;x
56090;Minister of Security;约翰 B 迈尔斯 ;36;ST;Prince of Terror;High;M56025;x
56091;Minister of Security;盖多 巴拉奇 ;39;ST;Silent Lawyer;Very High;M56091;x
56092;Minister of Security;菲利普 亚当斯 ;42;ST;Man of the People;High;M56092;x
56093;Head of Military Intelligence;西里尔 宾格罕姆-怀特 ;37;SC;Logistics Specialist;High;M56093;x
56094;Head of Military Intelligence;拉格纳 M 科尔文 ;36;SD;Naval Intelligence Specialist;Medium;M56009;x
56095;Head of Military Intelligence;本 奇夫利 ;41;SD;Political Specialist;Very High;M56039;x
56096;Head of Military Intelligence;诺曼 J 麦金 ;40;SC;Industrial Specialist;Medium;M56061;x
56097;Head of Military Intelligence;休伯特 P 拉扎里尼 ;42;SD;Dismal Enigma;Medium;M56085;x
56098;Head of Military Intelligence;约翰 J 迪德曼 ;44;SD;Technical Specialist;High;M56098;x
56099;Head of Military Intelligence;罗恩 劳 ;36;FA;Political Specialist;Medium;M56016;x
56100;Head of Military Intelligence;汤姆 戴尔 ;36;ST;Dismal Enigma;Medium;M56026;x
56101;Head of Military Intelligence;阿尔夫  布拉德利 ;41;LE;Logistics Specialist;High;M56101;x
56102;Head of Military Intelligence;托尼 麦克基里克 ;45;ST;Technical Specialist;High;M56077;x
56103;Chief of Staff;詹姆斯 V 法尔拜恩 ;39;SC;School of Fire Support;Medium;M56103;x
56104;Chief of Staff;西里尔 宾格罕姆-怀特 ;39;SC;School of Mass Combat;High;M56093;x
56105;Chief of Staff;E K 斯奎尔斯 ;38;SC;School of Defence;Medium;M56105;x
56106;Chief of Staff;约翰 J 柯廷 ;40;SD;School of Psychology;Very High;M56038;x
56107;Chief of Staff;莱斯利 比维斯 ;44;SD;School of Manoeuvre;Medium;M56107;x
56108;Chief of Staff;乔治 F 兰利 ;36;PA;School of Mass Combat;Medium;M56017;x
56109;Chief of Staff;詹姆斯 肯南 ;36;ST;School of Mass Combat;Medium;M56027;x
56110;Chief of Army;西里尔 宾格罕姆-怀特 ;37;SC;Decisive Battle Doctrine;High;M56093;x
56111;Chief of Army;莱斯利 莫西德 ;40;SC;Guns and Butter Doctrine;Medium;M56066;x
56112;Chief of Army;霍雷斯 威廉 斯特拉特 ;44;SC;Static Defence Doctrine;Medium;M56065;x
56113;Chief of Army;弗农 斯图尔迪 ;37;SD;Elastic Defence Doctrine;Medium;M56049;x
56114;Chief of Army;西德尼 罗维尔 ;41;SD;Guns and Butter Doctrine;Medium;M56066;x
56115;Chief of Army;艾伦 拉姆奇 ;36;PA;Guns and Butter Doctrine;Medium;M56018;x
56116;Chief of Army;约翰 诺思科特 ;36;ST;Guns and Butter Doctrine;Medium;M56028;x
56117;Chief of Navy;赫克托 沃勒 ;37;SC;Base Control Doctrine;Medium;M56117;x
56118;Chief of Navy;维克托 克鲁奇利 ;41;SC;Open Seas Doctrine;Medium;M56019;x
56119;Chief of Navy;盖伊 C C 罗尔 ;37;SD;Indirect Approach Doctrine;Medium;M56068;x
56120;Chief of Navy;约翰 科林斯 ;41;SD;Power Projection Doctrine;Medium;M56068;x
56121;Chief of Navy;亨利 绍维尔 ;44;SD;Decisive Naval Battle Doctrine;Medium;M56064;x
56123;Chief of Navy;F E 盖廷 ;36;ST;Decisive Naval Battle Doctrine;Medium;M56029;x
56124;Chief of Air Force;A M 查尔斯沃思 ;37;SC;Vertical Envelopment Doctrine;Medium;M56124;x
56125;Chief of Air Force;W D 波斯托克 ;44;SC;Naval Aviation Doctrine;High;M56059;x
56126;Chief of Air Force;斯坦利 J 格布尔 ;37;SD;Army Aviation Doctrine;Medium;M56067;x
56127;Chief of Air Force;查尔斯 伯内特 ;41;SD;Air Superiority Doctrine;Medium;M56127;x
56128;Chief of Air Force;A M G 琼斯 ;44;SD;Carpet Bombing Doctrine;High;M56063;x
56129;Chief of Air Force;约翰 勒鲁 ;36;PA;Army Aviation Doctrine;Medium;M56020;x
56130;Chief of Air Force;G J W 麦克金诺里 ;36;ST;Air Superiority Doctrine;Medium;M56030;x
56131;Chief of Air Force;兰斯 沙尔基 ;41;ST;Army Aviation Doctrine;Very High;M56021;x
56132;Head of State;亚历山大 G 阿克赖特 ;36;SD;Stern Imperialist;High;M56031;x
56133;Head of State;格洛斯特公爵 亨利 ;45;SD;Autocratic Charmer;High;M56032;x
56134;Head of State;威廉 约翰 麦凯尔 ;47;SD;Insignificant Layman;High;M56134;x
56135;Head of State;威廉 约翰 麦凯尔 ;47;SC;Insignificant Layman;High;M56134;x
56136;Head of State;亚历山大 G 阿克赖特 ;36;ML;Stern Imperialist;High;M56031;x
56137;Head of State;格洛斯特公爵 亨利 ;45;ML;Autocratic Charmer;High;M56032;x
56138;Head of State;威廉 约翰 麦凯尔 ;47;ML;Insignificant Layman;High;M56134;x
56139;Head of Government;厄尔 佩奇 ;36;ML;Naive Optimist;High;M56139;x
56140;Head of Government;阿瑟 威廉 法登 ;40;ML;Happy Amateur;High;M56140;x
56141;Head of Government;弗朗西斯 M 福德 ;45;SD;Silent Workhorse;High;M56141;x
56147;Chief of Staff;拉格纳 M 科尔文 ;40;SC;School of Manoeuvre;Medium;M56009;x
56148;Foreign Minister;约翰 麦伊文 ;40;ML;Biased Intellectual;High;M56148;x
56149;Minister of Armament;厄尔 佩奇 ;42;ML;Laissez Faires Capitalist;Very High;M56139;x
56150;Foreign Minister;珀西 C 斯彭德 ;49;SC;Apologetic Clerk;Very High;M56150;x
56151;Minister of Armament;约翰 J 迪德曼 ;46;SD;Theoretical Scientist;Medium;M56098;x
56152;Minister of Armament;埃里克 约翰 哈里森 ;49;SC;Military Entrepreneur;Medium;M56152;x
56153;Minister of Security;赫伯特 V 约翰逊 ;45;SD;Man of the People;High;M56153;x
56154;Minister of Security;帕尔默 A 麦克布里德 ;49;SC;Silent Lawyer;High;M56042;x
56155;Minister of Security;埃里克 约翰 哈里森 ;50;SC;Compassionate Gentleman;High;M56152;x
56156;Minister of Security;W S K 休斯 ;51;SC;Prince of Terror;High;M56156;x
56157;Head of Military Intelligence;赫伯特 V 艾瓦特 ;41;SD;Political Specialist;High;M56050;x
56158;Head of Military Intelligence;约翰 A 斯皮瑟 ;49;SC;Dismal Enigma;High;M56158;x
56159;Head of State;威廉 斯利姆 爵士 ;53;SD;Resigned Generalissimo;High;M56159;x
56160;Head of State;威廉 斯利姆 爵士 ;53;SC;Resigned Generalissimo;High;M56159;x
56161;Head of State;邓罗西尔 勋爵 威廉 ;60;SD;Weary Stiffneck;High;M56161;x
56162;Head of State;邓罗西尔 勋爵 威廉 ;60;SC;Weary Stiffneck;High;M56161;x
56163;Head of State;德莱斯利勋爵  威廉 ;61;SD;Autocratic Charmer;High;M56163;x
56164;Head of State;德莱斯利勋爵  威廉 ;61;SC;Autocratic Charmer;High;M56163;x
56165;Head of Government;赫伯特 V 艾瓦特 ;51;SD;Silent Workhorse;High;M56050;x
56166;Head of Government;亚瑟 科尔韦尔 ;60;SD;Naive Optimist;High;M56166;x
56167;Foreign Minister;理查德 G 凯西 ;51;SC;Ideological Crusader;Very High;M56167;x
56168;Foreign Minister;加菲尔德 E 巴威克 ;61;SC;Iron Fisted Brute;Very High;M56168;x
56169;Foreign Minister;亚瑟 科尔韦尔 ;54;SD;Great Compromiser;Very High;M56166;x
56170;Foreign Minister;高夫 惠特拉姆 ;60;SD;The Cloak N Dagger Schemer;Very High;M56170;x
56171;Minister of Armament;菲利普 A M 麦克布赖德 ;50;SC;Laissez Faires Capitalist;Medium;M56171;x
56172;Minister of Armament;阿索尔 G 汤利 ;58;SC;Resource Industrialist;Medium;M56172;x
56173;Minister of Armament;马尔科姆 弗拉泽 ;58;SD;Air Superiority Proponent;Medium;M56173;x
56174;Minister of Security;艾伦 费尔霍尔 ;56;SC;Silent Lawyer;High;M56174;x
56175;Minister of Security;戈登 弗里思 ;58;SC;Compassionate Gentleman;High;M56175;x
56176;Minister of Security;彼得 J 尼克松 ;61;SD;Back Stabber;High;M56176;x
56177;Head of Military Intelligence;尼尔 奥沙利文 ;56;SC;Industrial Specialist;High;M56177;x
56178;Head of Military Intelligence;加菲尔德 E 巴威克 ;58;SC;Political Specialist;High;M56168;x
56179;Head of Military Intelligence;莱昂内尔 K 墨菲 ;61;SD;Technical Specialist;High;M56179;x
