BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
34001;Head of State;热图利奥 瓦尔加斯 ;36;LWR;Autocratic Charmer;High;M34001;x
34002;Head of Government;热图利奥 瓦尔加斯 ;36;LWR;Naive Optimist;High;M34001;x
34003;Foreign Minister;若泽 德 马塞多 苏亚雷斯 ;36;LWR;Iron Fisted Brute;Medium;M34003;x
34004;Minister of Armament;小卡费 ;36;SD;Military Entrepreneur;Low;M34004;x
34005;Minister of Security;小马孔德斯 ;36;SD;Crime Fighter;High;M34005;x
34006;Head of Military Intelligence;菲林托 穆勒 ;36;SD;Political Specialist;Very High;M34006;x
34007;Chief of Staff;加斯帕 杜特拉 ;36;LWR;School of Defence;Medium;M34007;x
34008;Chief of Army;若昂 内维斯 达 丰托拉 ;36;LWR;Static Defence Doctrine;Medium;M34008;x
34009;Chief of Navy;阿里斯蒂德斯 吉扬 ;36;SD;Open Seas Doctrine;Medium;M34009;x
34010;Chief of Air Force;小萨尔加多 ;36;LWR;Army Aviation Doctrine;Medium;M34010;x
34063;Head of State;路易斯 卡洛斯 普雷斯特斯 ;36;ST;Die-hard Reformer;High;M34051;x
34064;Head of State;内罗 菲乌萨 德 卡斯特罗 ;45;SD;Benevolent Gentleman;High;M34031;x
34065;Head of State;爱德华多 戈梅斯 ;37;ML;Stern Imperialist;High;M34021;x
34066;Head of State;华盛顿 路易斯 佩雷拉 ;43;SC;Insignificant Layman;High;M34066;x
34067;Head of State;加斯帕 杜特拉 ;45;SC;Weary Stiffneck;High;M34011;x
34068;Head of State;普利尼奥 萨尔加多 ;36;FA;Powerhungry Demagogue;High;M34041;x
34070;Head of Government;路易斯 卡洛斯 普雷斯特斯 ;36;ST;Smiling Oilman;High;M34051;x
34071;Head of Government;内罗 菲乌萨 德 卡斯特罗 ;45;SD;Naive Optimist;High;M34031;x
34072;Head of Government;爱德华多 戈梅斯 ;37;ML;Flamboyant Tough Guy;High;M34021;x
34073;Head of Government;华盛顿 路易斯 佩雷拉 ;43;SC;Naive Optimist;High;M34066;x
34074;Head of Government;加斯帕 杜特拉 ;45;PA;Old General;High;M34011;x
34075;Head of Government;普利尼奥 萨尔加多 ;36;FA;Backroom Backstabber;High;M34041;x
34076;Foreign Minister;奥斯瓦尔多 阿拉尼亚 ;38;LWR;Biased Intellectual;Medium;M34076;x
34077;Foreign Minister;佩德罗 莱昂 维洛佐 ;44;LWR;Great Compromiser;Medium;M34077;x
34078;Foreign Minister;亨利 贝格尔 ;39;ST;Ideological Crusader;Very Low;M34053;x
34079;Foreign Minister;奥斯卡 魏因申克 ;42;LE;The Cloak N Dagger Schemer;High;M34079;x
34080;Foreign Minister;马里奥 皮门特尔 布兰当 ;37;SD;The Cloak N Dagger Schemer;High;M34080;x
34081;Foreign Minister;奥塔维奥 曼加贝拉 ;45;SD;Great Compromiser;High;M34033;x
34082;Foreign Minister;奥塔维奥 曼加贝拉 ;37;ML;The Cloak N Dagger Schemer;Low;M34033;x
34083;Foreign Minister;阿弗拉尼奥 德 梅洛 弗朗哥 ;39;ML;Great Compromiser;High;M34083;x
34084;Foreign Minister;阿西尔 德 纳西门托 佩斯 ;43;ML;Biased Intellectual;Low;M34084;x
34086;Foreign Minister;帕索 费尔南德斯 默雷 ;43;SC;Ideological Crusader;High;M34086;x
34087;Foreign Minister;S. 德 苏泽 莱昂 格雷西 ;46;SC;Biased Intellectual;High;M34087;x
34088;Foreign Minister;劳尔 费尔南德斯 ;47;SC;Great Compromiser;High;M34013;x
34089;Foreign Minister;若昂 内维斯 达 丰托拉 ;45;SC;General Staffer;High;M34008;x
34090;Foreign Minister;米格尔 科斯塔斯 ;37;FA;Iron Fisted Brute;Low;M34043;x
34091;Foreign Minister;普利尼奥 萨尔加多 ;42;FA;Apologetic Clerk;Medium;M34041;x
34092;Foreign Minister;牛顿 卡瓦尔坎蒂 ;44;FA;General Staffer;Medium;M34047;x
34093;Minister of Armament;雅努阿里奥 科埃略 内托 ;37;LWR;Tank Proponent;High;M34093;x
34094;Minister of Armament;若泽 德 马塞多 苏亚雷斯 ;39;LWR;Laissez Faires Capitalist;Medium;M34003;x
34095;Minister of Armament;热图利奥 瓦尔加斯 ;41;LWR;Administrative Genius;High;M34001;x
34096;Minister of Armament;阿古斯丁 华雷斯 福利亚 ;43;LWR;Corrupt Kleptocrat;Medium;M34096;x
34098;Minister of Armament;亨利 贝格尔 ;41;ST;Air Superiority Proponent;Very Low;M34053;x
34099;Minister of Armament;路易斯 卡洛斯 普雷斯特斯 ;45;SD;Strategic Air Proponent;Very Low;M34051;x
34101;Minister of Armament;阿梅里科 德 阿尔梅达 ;37;ML;Resource Industrialist;Medium;M34024;x
34103;Minister of Armament;加斯唐 达 库尼亚 巴亚纳 ;39;ML;Theoretical Scientist;Medium;M34103;x
34104;Minister of Armament;小若泽 林哈里斯 ;40;ML;Laissez Faires Capitalist;High;M34104;x
34105;Minister of Armament;爱德华多 戈梅斯 ;43;ML;Air to Ground Proponent;Medium;M34021;x
34106;Minister of Armament;埃利塞乌 F 德 蒙塔罗约斯 ;45;ML;Air Superiority Proponent;High;M34106;x
34107;Minister of Armament;华盛顿 路易斯 佩雷拉 ;43;SC;Administrative Genius;Low;M34066;x
34108;Minister of Armament;阿弗拉尼奥 德 梅洛 弗朗哥 ;42;SC;Battle Fleet Proponent;High;M34083;x
34109;Minister of Armament;加斯唐 维迪加尔 ;45;SC;Resource Industrialist;High;M34014;x
34110;Minister of Armament;古斯塔沃 巴罗索 ;46;SC;Submarine Proponent;Medium;M34044;x
34111;Minister of Armament;古斯塔沃 巴罗索 ;37;NS;Military Entrepreneur;Medium;M34044;x
34112;Minister of Armament;瓦尔德马 科斯塔 内托 ;41;FA;Infantry Proponent;High;M34112;x
34113;Minister of Armament;卡洛斯 费雷拉 德 卡马戈 ;43;FA;Laissez Faires Capitalist;High;M34113;x
34114;Minister of Security;佩德罗 莱昂 维洛佐 ;37;LWR;Compassionate Gentleman;Medium;M34077;x
34115;Minister of Security;曼努埃尔 A 韦南西奥 ;40;LWR;Man of the People;Low;M34035;x
34116;Minister of Security;马里奥 皮门特尔 布兰当 ;43;LWR;Crooked Kleptocrat;High;M34080;x
34117;Minister of Security;卡洛斯 阿布瓜尔 巴斯托斯 ;39;ST;Prince of Terror;High;M34055;x
34119;Minister of Security;阿德马尔 德 卡瓦略 戈梅斯 ;44;ST;Man of the People;High;M34119;x
34120;Minister of Security;吉列尔梅 吉奥莱 德 西尔维奥 ;39;SD;Efficient Sociopath;High;M34118;x
34121;Minister of Security;奥斯卡 魏因申克 ;41;SD;Silent Lawyer;High;M34079;x
34122;Minister of Security;卡洛斯 阿布瓜尔 巴斯托斯 ;45;SD;Back Stabber;Low;M34055;x
34124;Minister of Security;科斯塔 内托 ;37;ML;Compassionate Gentleman;Medium;M34015;x
34125;Minister of Security;梅斯基托 达 科斯塔 ;39;ML;Silent Lawyer;High;M34025;x
34126;Minister of Security;特奥托尼奥 达 丰塞卡 ;43;ML;Prince of Terror;High;M34126;x
34127;Minister of Security;劳尔 费尔南德斯 ;43;SC;Back Stabber;High;M34013;x
34128;Minister of Security;埃皮塔西奥 达 席尔瓦 佩索阿 ;45;SC;Crime Fighter;Medium;M34128;x
34129;Minister of Security;特奥托尼奥 达 丰塞卡 ;46;SC;Prince of Terror;High;M34126;x
34130;Minister of Security;卡洛斯 阿尔梅达 内托 ;47;SC;Efficient Sociopath;High;M34130;x
34131;Minister of Security;里卡尔多 卡夏诺 ;37;FA;Efficient Sociopath;Medium;M34045;x
34132;Minister of Security;卡洛斯 费雷拉 德 卡马戈 ;40;FA;Prince of Terror;High;M34113;x
34133;Minister of Security;卡洛斯 阿尔梅达 内托 ;43;FA;Back Stabber;High;M34130;x
34134;Head of Military Intelligence;劳林霍 沃尔塔 雷东多 ;39;LWR;Logistics Specialist;High;M34134;x
34135;Head of Military Intelligence;阿胡斯托 德 苏扎-席尔瓦 ;43;LWR;Political Specialist;High;M34056;x
34137;Head of Military Intelligence;阿德马尔 德 卡瓦略 戈梅斯 ;43;ST;Naval Intelligence Specialist;High;M34119;x
34139;Head of Military Intelligence;曼努埃尔 A 韦南西奥 ;45;SD;Technical Specialist;Low;M34035;x
34140;Head of Military Intelligence;科斯塔 内托 ;37;ML;Naval Intelligence Specialist;Medium;M34015;x
34141;Head of Military Intelligence;梅斯基托 达 科斯塔 ;39;ML;Dismal Enigma;High;M34025;x
34143;Head of Military Intelligence;罗德里戈 奥克塔维奥 ;45;ML;Political Specialist;High;M34143;x
34144;Head of Military Intelligence;佩德罗 佩罗蒂 ;43;SC;Dismal Enigma;Medium;M34144;x
34146;Head of Military Intelligence;里卡尔多 卡夏诺 ;37;FA;Political Specialist;Medium;M34045;x
34148;Head of Military Intelligence;卡洛斯 阿尔梅达 内托 ;44;FA;Logistics Specialist;High;M34130;x
34149;Chief of Staff;马加良斯 巴兰塔 德 阿塞韦多 ;43;LWR;School of Manoeuvre;Medium;M34037;x
34150;Chief of Staff;路易斯 卡洛斯 普雷斯特斯 ;39;ST;School of Mass Combat;Undying;M34051;x
34152;Chief of Staff;内罗 菲乌萨 德 卡斯特罗 ;45;SD;School of Mass Combat;Medium;M34031;x
34153;Chief of Staff;恩里克 特谢拉 洛特 ;37;ML;School of Fire Support;Medium;M34027;x
34154;Chief of Staff;阿热米罗 阿西斯 ;39;ML;School of Defence;Medium;M34154;x
34155;Chief of Staff;奥古斯托 达 伽马 莱罗斯 ;43;ML;School of Manoeuvre;Medium;M34155;x
34156;Chief of Staff;梅斯基托 达 科斯塔 ;45;ML;School of Mass Combat;Medium;M34025;x
