U70;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
700001;Head of State;穆特萨二世;39;SC;Stern Imperialist;Very High;uganda6;x
700002;Head of State;达里卡二世;34;SC;Autocratic Charmer;Very High;uganda3;x
700003;Head of State;伊迪·阿明·达达;49;PA;Resigned Generalissimo;Very High;uganda5;x
700004;Head of Government;米尔顿·奥博特;44;SC;Corporate Suit;Very High;uganda8;x
700005;Head of Government;贝内迪克托 基瓦努卡;44;SC;Happy Amateur;Very High;uganda1;x
700006;Head of Government;伊迪·阿明·达达;49;PA;Old General;Very High;uganda5;x
700007;Head of Government;菲利普·尤安·米切尔;34;ML;Happy Amateur;Very High;uganda7;x
700008;Foreign Minister;穆特萨二世;39;SC;Biased Intellectual;Very High;uganda6;x
700009;Foreign Minister;贝内迪克托·基瓦努卡;44;SC;Ideological Crusader;Very High;uganda1;x
700010;Foreign Minister;菲利普·尤安·米切尔;34;ML;Biased Intellectual;Very High;uganda7;x
700011;Foreign Minister;萨姆森·基塞卡;42;SC;Apologetic Clerk;Very High;unknown;x
700012;Minister of Armament;伊迪·阿明·达达;49;PA;Infantry Proponent;Very High;uganda5;x
700013;Minister of Armament;查尔斯·邓达斯;39;ML;Resource Industrialist;Very High;uganda2;x
700014;Minister of Security;埃雷纳伊·威尔逊·奥里耶马;44;SC;Crime Fighter;Very High;uganda4;x
700015;Minister of Security;达里卡二世;34;SC;Compassionate Gentleman;Very High;uganda3;x
700016;Minister of Security;贝内迪克托·基瓦努卡;44;SC;Crime Fighter;Very High;uganda1;x
700017;Head of Military Intelligence;埃雷纳伊·威尔逊·奥里耶马;45;PA;Political Specialist;Very High;uganda4;x
700018;Head of Military Intelligence;菲利普·尤安·米切尔;34;ML;Technical Specialist;Very High;uganda7;x
700019;Chief of Staff;蒂托·奥凯洛;43;SC;School of Psychology;Very High;unknown;x
700020;Chief of Staff;伊迪·阿明·达达;49;PA;School of Defence;Very High;uganda5;x
700021;Chief of Staff;杰拉德·R·斯莫尔伍德;34;SL;School of Mass Combat;Very High;unknown;x
700022;Chief of Army;伊迪·阿明·达达;49;PA;Static Defence Doctrine;Very High;uganda5;x
700023;Chief of Army;贝内迪克托·基瓦努卡;45;SC;Decisive Battle Doctrine;Very High;uganda1;x
700024;Chief of Army;杰拉德·R·斯莫尔伍德;34;SL;Decisive Battle Doctrine;Very High;unknown;x
700025;Chief of Army;蒂托·奥凯洛;43;SC;Static Defence Doctrine;Very High;unknown;x
700026;Chief of Navy;菲利普·尤安·米切尔;34;ML;Open Seas Doctrine;Very High;uganda7;x
700027;Chief of Air Force;杰拉德·R·斯莫尔伍德;34;SL;Army Aviation Doctrine;Very High;unknown;x
700028;Chief of Air Force;埃雷纳伊·威尔逊·奥里耶马;44;PA;Army Aviation Doctrine;Very High;uganda4;x
