YUG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
20001;Head of State;帕夫拉 卡拉乔治维奇 ;30;PA;Benevolent Gentleman;High;M20001;x
20002;Head of Government;米兰 斯托亚蒂诺维奇 ;30;PA;Silent Workhorse;High;M20002;x
20003;Foreign Minister;米兰 斯托亚蒂诺维奇 ;30;PA;The Cloak N Dagger Schemer;Medium;M20002;x
20004;Minister of Armament;博古尔约布 杰夫蒂奇 ;30;PA;Corrupt Kleptocrat;Medium;M20004;x
20005;Minister of Security;帕夫拉 卡拉乔治维奇 ;30;PA;Prince of Terror;High;M20001;x
20006;Head of Military Intelligence;博里沃耶 约西莫维奇 ;30;PA;Political Specialist;Medium;L46013;x
20007;Chief of Staff;佩塔尔 科西奇 ;30;PA;School of Mass Combat;Medium;L46015;x
20008;Chief of Army;亚历山大 欣卡尔-马尔科维奇 ;30;PA;Decisive Battle Doctrine;Very High;L46005;x
20009;Chief of Navy;博格尔约布 伊利奇 ;30;PA;Base Control Doctrine;Very High;L46043;x
20010;Chief of Air Force;杜桑 西莫维奇 ;30;PA;Army Aviation Doctrine;Medium;L46060;x
20031;Head of State;约瑟普·布罗兹·铁托 ;36;LWR;Powerhungry Demagogue;High;M20021;x
20032;Head of Government;德拉吉沙 克维特科维奇 ;39;PA;Naive Optimist;High;M20032;x
20033;Head of Government;杜桑 西莫维奇 ;41;SC;Happy Amateur;High;M20033;x
20034;Head of Government;斯洛博丹 约瓦诺维奇 ;42;FA;Political Protege;High;M20034;x
20035;Head of Government;米洛斯 特里弗诺维奇 ;43;NS;Old General;High;M20035;x
20036;Head of Government;伊万 苏巴西奇 ;44;ML;Corporate Suit;High;M20014;x
20037;Head of Government;约瑟普·布罗兹·铁托 ;36;LWR;Backroom Backstabber;High;M20021;x
20038;Head of Government;弗拉特科 梅塞克 ;36;SD;Old Air Marshal;High;M20038;x
20039;Foreign Minister;亚历山大 欣卡尔-马尔科维奇 ;39;PA;General Staffer;Very High;L46005;x
20040;Foreign Minister;莫姆契洛 林契奇 ;41;SC;Great Compromiser;Medium;M20013;x
20041;Foreign Minister;斯洛博丹 约瓦诺维奇 ;43;FA;Biased Intellectual;High;M20034;x
