FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
29001;Head of State;佩尔 E 斯温胡武德 ;36;SC;Pig-headed Isolationist;High;M29001;x
29002;Head of Government;托伊沃 M 基维迈基 ;36;SC;Silent Workhorse;High;M29002;x
29003;Foreign Minister;安蒂 V 哈克塞尔 ;36;SC;Biased Intellectual;Medium;M29003;x
29004;Minister of Armament;阿尔维 A 奥克萨拉 ;36;SC;Resource Industrialist;Medium;M29004;x
29005;Minister of Security;于尔约 W 普哈卡 ;36;SC;Silent Lawyer;Medium;M29005;x
29006;Head of Military Intelligence;埃斯科 列基 ;36;SC;Dismal Enigma;High;M29006;x
29007;Chief of Staff;阿尔维 A 奥克萨拉 ;36;SC;School of Manoeuvre;High;M29007;x
29008;Chief of Army;胡戈 奥斯特曼 ;36;SC;Elastic Defence Doctrine;Medium;M29008;x
29009;Chief of Navy;韦伊内 瓦尔韦 ;36;SC;Open Seas Doctrine;High;M29009;x
29010;Chief of Air Force;亚尔 伦德奎斯特 ;36;SC;Army Aviation Doctrine;Very High;M29010;x
29034;Head of State;卡尔 G 曼纳海姆 ;44;SC;Resigned Generalissimo;High;M29034;x
29035;Head of State;尤霍 K 巴锡基维 ;45;SD;Autocratic Charmer;High;M29035;x
29036;Head of State;佩尔 E 斯温胡武德 ;36;ML;Pig-headed Isolationist;High;M29001;x
29039;Head of State;里斯托 吕蒂 ;40;ML;Weary Stiffneck;High;M29033;x
29043;Head of State;屈厄斯蒂 卡利奥 ;37;SC;Stern Imperialist;High;M29032;x
29044;Head of State;里斯托 吕蒂 ;39;SC;Weary Stiffneck;High;M29033;x
29045;Head of State;里斯托 吕蒂 ;43;PA;Weary Stiffneck;High;M29033;x
29047;Head of State;尤霍 K 巴锡基维 ;46;SC;Autocratic Charmer;High;M29035;x
29048;Head of State;布鲁诺 萨尔米亚拉 ;36;FA;Ruthless Powermonger;High;M29011;x
29049;Head of State;奥托 维莱 库西宁 ;36;ST;Ruthless Powermonger;High;M29021;x
29050;Head of Government;维恩 基维斯诺;36;SD;Naive Optimist;High;M29050;x
29051;Head of Government;乌尔霍 K 凯科宁 ;43;ML;Backroom Backstabber;High;M29051;x
29052;Head of Government;毛诺 佩卡拉 ;45;SD;Political Protege;High;M29052;x
29053;Head of Government;屈厄斯蒂 卡利奥 ;36;ML;Corporate Suit;High;M29032;x
29054;Head of Government;艾莫 卡扬德 ;37;ML;Happy Amateur;High;Cajander_Aimo_fin;x
29055;Head of Government;亚尔 伦德奎斯特 ;43;ML;Smiling Oilman;High;M29010;x
29056;Head of Government;于尔约 K 莱伊诺 ;46;ML;Naive Optimist;High;Leino_Yrj鯻fin;x
29058;Head of Government;里斯托 吕蒂 ;39;SC;Silent Workhorse;High;M29033;x
29059;Head of Government;约翰 W 兰盖尔 ;41;SC;Flamboyant Tough Guy;High;M29059;x
29060;Head of Government;安蒂 V 哈克塞尔 ;44;SC;Silent Workhorse;High;M29003;x
29061;Head of Government;尤霍 K 巴锡基维 ;44;SC;Flamboyant Tough Guy;High;M29035;x
29062;Head of Government;科约提 杰维宁;46;SC;Silent Workhorse;High;M29062;x
29063;Head of Government;埃德温 H 林科梅斯 ;43;SC;Naive Optimist;High;M29063;x
29064;Head of Government;乌尔霍 J 卡斯特伦 ;44;SC;Corporate Suit;High;M29064;x
29065;Head of Government;维托利 科索拉;36;FA;Silent Workhorse;High;M29012;x
29066;Head of Government;奥托 维莱 库西宁 ;39;ST;Flamboyant Tough Guy;High;M29021;x
29067;Foreign Minister;安塞尔米 皮卡赛塔;36;SD;Apologetic Clerk;Medium;M29067;x
29068;Foreign Minister;韦伊内 基维萨洛 ;39;SC;Ideological Crusader;Medium;Tanner_V鋓n鯻fin;x
29069;Foreign Minister;维恩 基维斯诺;43;SD;Iron Fisted Brute;Very High;M29050;x
29071;Foreign Minister;埃诺R.霍尔斯蒂;36;ML;Great Compromiser;Medium;M29071;x
29072;Foreign Minister;卡莱 V. 魏诺玛;38;ML;Apologetic Clerk;Medium;Voionmaa_V鋓n鯻fin;x
