BHU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
74001;Head of State;吉格梅 旺楚克 ;36;PA;Ruthless Powermonger;High;M74001;x
74002;Head of Government;索南 托布盖 道尔吉 ;36;PA;Backroom Backstabber;High;M74002;x
74003;Foreign Minister;索南 托布盖 道尔吉 ;36;PA;Biased Intellectual;High;M74002;x
74004;Minister of Armament;艾哈迈德 阿卡兹 ;36;PA;Infantry Proponent;Medium;M74004;x
74005;Minister of Security;大平等王 ;36;PA;Man of the People;Medium;M74005;x
74006;Head of Military Intelligence;雷吉纳尔德 B 史蒂文斯 ;36;PA;Dismal Enigma;Medium;M74006;x
74007;Chief of Staff;纳姆加尔 巴哈杜尔 ;36;PA;School of Manoeuvre;Medium;M74007;x
74008;Chief of Army;菲利普 托泽伊 ;36;PA;Guns and Butter Doctrine;Medium;M74008;x
74009;Chief of Navy;汤米 古尔德 ;36;PA;Indirect Approach Doctrine;Medium;M74009;x
74010;Chief of Air Force;尼基 巴尔 ;36;PA;Air Superiority Doctrine;Medium;M74010;x
74011;Foreign Minister;西尔 巴西尔 古尔德 ;37;PA;Iron Fisted Brute;High;M74011;x
74012;Foreign Minister;纳姆加尔 巴哈杜尔 ;38;PA;General Staffer;Medium;M74007;x
74013;Foreign Minister;大平等王 ;39;PA;Ideological Crusader;Medium;M74005;x
74014;Foreign Minister;艾哈迈德 阿卡兹 ;40;PA;The Cloak N Dagger Schemer;Medium;M74004;x
74015;Foreign Minister;威廉 史蒂文森 迈尔 ;41;PA;Apologetic Clerk;Medium;M74015;x
74016;Foreign Minister;亚瑟 约翰 霍普金森 ;45;PA;Great Compromiser;High;M74016;x
74017;Foreign Minister;爱德华 库克 ;45;PA;Biased Intellectual;High;M74017;x
74018;Minister of Armament;威廉 史蒂文森 迈尔 ;37;PA;Resource Industrialist;Medium;M74015;x
74019;Minister of Armament;卡尔马 S. 巴哈杜尔 ;38;PA;Military Entrepreneur;Medium;M74019;x
74020;Minister of Armament;索南 托布盖 道尔吉 ;39;PA;Laissez Faires Capitalist;Medium;M74002;x
74021;Minister of Armament;爱德华 库克 ;39;PA;Administrative Genius;High;M74017;x
74022;Minister of Armament;尼基 巴尔 ;40;PA;Air Superiority Proponent;Medium;M74010;x
74023;Minister of Armament;汤米 古尔德 ;41;PA;Submarine Proponent;Medium;M74009;x
74024;Minister of Armament;吉格梅 旺楚克 ;42;PA;Infantry Proponent;Medium;M74001;x
74026;Minister of Armament;比尔 科利特 ;44;PA;Air to Ground Proponent;Medium;M74026;x
74027;Minister of Armament;纳姆加尔 巴哈杜尔 ;44;PA;Strategic Air Proponent;Medium;M74007;x
74028;Minister of Armament;亚瑟 约翰 霍普金森 ;44;PA;Theoretical Scientist;High;M74016;x
74029;Minister of Armament;索南 普拉杜哈 ;45;PA;Tank Proponent;Medium;M74029;x
74030;Minister of Security;艾哈迈德 阿卡兹 ;39;PA;Prince of Terror;Medium;M74004;x
74031;Minister of Security;西尔 巴西尔 古尔德 ;40;PA;Silent Lawyer;High;M74011;x
74032;Minister of Security;索南 托布盖 道尔吉 ;40;PA;Man of the People;Medium;M74002;x
74033;Minister of Security;纳姆加尔 巴哈杜尔 ;42;PA;Compassionate Gentleman;Medium;M74007;x
74034;Minister of Security;卡尔马 S. 巴哈杜尔 ;44;PA;Back Stabber;Medium;M74019;x
74035;Minister of Security;爱德华 库克 ;44;PA;Efficient Sociopath;High;M74017;x
74036;Minister of Security;威廉 史蒂文森 迈尔 ;45;PA;Crime Fighter;Medium;M74015;x
74037;Head of Military Intelligence;亚瑟 约翰 霍普金森 ;36;PA;Technical Specialist;High;M74016;x
74038;Head of Military Intelligence;爱德华 库克 ;38;PA;Political Specialist;High;M74017;x
74039;Head of Military Intelligence;纳姆加尔 巴哈杜尔 ;41;PA;Industrial Specialist;Medium;M74007;x
74040;Head of Military Intelligence;亨利 威登-古尔德 ;43;PA;Logistics Specialist;Medium;M74040;x
74041;Head of Military Intelligence;卡尔马 S. 巴哈杜尔 ;43;PA;Dismal Enigma;Medium;M74019;x
74042;Head of Military Intelligence;汤米 古尔德 ;43;PA;Naval Intelligence Specialist;Medium;M74009;x
74043;Chief of Staff;菲利普 托泽伊 ;39;PA;School of Defence;Medium;M74008;x
74044;Chief of Staff;汤米 古尔德 ;43;PA;School of Psychology;Medium;M74009;x
74045;Chief of Staff;雷吉纳尔德 B 史蒂文斯 ;41;PA;School of Manoeuvre;Medium;M74006;x
74046;Chief of Staff;亨利 威登-古尔德 ;42;PA;School of Mass Combat;Medium;M74040;x
74047;Chief of Staff;索南 普拉杜哈 ;44;PA;School of Fire Support;Medium;M74029;x
74049;Chief of Army;吉格梅 旺楚克 ;40;PA;Static Defence Doctrine;Medium;M74001;x
74050;Chief of Army;雷吉纳尔德 B 史蒂文斯 ;43;PA;Decisive Battle Doctrine;Medium;M74006;x
74051;Chief of Army;索南 普拉杜哈 ;45;PA;Armoured Spearhead Doctrine;Medium;M74029;x
74052;Chief of Army;亨利 威登-古尔德 ;45;PA;Guns and Butter Doctrine;Medium;M74040;x
74053;Chief of Navy;艾哈迈德 阿卡兹 ;44;PA;Decisive Naval Battle Doctrine;Medium;M74004;x
74054;Chief of Air Force;比尔 科利特 ;43;PA;Army Aviation Doctrine;Medium;M74026;x
74055;Chief of Air Force;纳姆加尔 巴哈杜尔 ;45;PA;Carpet Bombing Doctrine;Medium;M74007;x
74056;Head of State;吉格梅 道尔吉 旺楚克 ;52;PA;Weary Stiffneck;High;M74056;x
74057;Head of Government;吉格梅 帕尔登 道尔吉 ;52;PA;Corporate Suit;High;M74057;x
