IRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
25001;Head of State;多纳尔 巴克利 ;36;ML;Insignificant Layman;High;M25001;x
25002;Head of Government;埃蒙德 瓦莱拉 ;36;ML;Flamboyant Tough Guy;High;M25002;x
25003;Foreign Minister;埃蒙德 瓦莱拉 ;36;ML;Ideological Crusader;Undying;M25002;x
25004;Minister of Armament;肖恩 麦肯蒂 ;36;ML;Laissez Faires Capitalist;High;M25004;x
25005;Minister of Security;帕特里克 J 拉特利奇 ;36;ML;Silent Lawyer;High;M25005;x
25006;Head of Military Intelligence;格拉尔德 博兰 ;36;ML;Political Specialist;High;M25006;x
25007;Chief of Staff;M J 科斯特洛 ;36;ML;School of Defence;High;M25007;x
25008;Chief of Army;多纳尔 巴克利 ;36;ML;Elastic Defence Doctrine;High;M25001;x
25009;Chief of Navy;H T 格林 ;36;ML;Base Control Doctrine;High;M25009;x
25010;Chief of Air Force;P A 穆尔卡希 ;36;ML;Air Superiority Doctrine;High;M25010;x
25032;Head of State;阿拉斯代尔 麦凯布 ;36;SD;Benevolent Gentleman;High;M25032;x
25033;Head of State;肖恩 勒马斯 ;45;SD;Pig-headed Isolationist;High;M25033;x
25034;Head of State;弗兰克 法伊 ;36;ML;Insignificant Layman;High;M25031;x
25035;Head of State;道格拉斯 海德 ;37;ML;Popular Figurehead;High;M25035;x
25036;Head of State;肖恩 T 奥恰莱伊 ;44;ML;Autocratic Charmer;High;M25036;x
25037;Head of State;弗兰克 法伊 ;36;SC;Insignificant Layman;High;M25031;x
25038;Head of State;约恩 麦克尼尔 ;37;SC;Stern Imperialist;High;M25038;x
25039;Head of State;理查德 穆尔卡希 ;44;SC;Barking Buffoon;High;M25039;x
25040;Head of State;奥利弗 J 弗拉纳根 ;36;PA;Weary Stiffneck;High;M25011;x
25041;Head of State;吉姆 拉尔金爵士 ;36;LWR;Barking Buffoon;High;M25021;x
25042;Head of Government;托马斯 约翰逊 ;36;SD;Ambitious Union Boss;High;M25042;x
25043;Head of Government;肖恩 勒马斯 ;41;SD;Smiling Oilman;High;M25033;x
25044;Head of Government;威廉 诺顿 ;44;SD;Happy Amateur;High;M25044;x
25046;Head of Government;W T 科斯格雷夫 ;36;SC;Silent Workhorse;High;M25046;x
25047;Head of Government;理查德 穆尔卡希 ;44;SC;Corporate Suit;High;M25039;x
25048;Head of Government;约翰 A 科斯特洛 ;47;SC;Backroom Backstabber;High;M25048;x
25049;Head of Government;帕特里克 斯威尼 ;36;FA;Happy Amateur;High;M25012;x
25050;Head of Government;詹姆斯 拉尔金 吉尔. ;36;LWR;Political Protege;High;M25022;x
25051;Foreign Minister;利亚姆 奥莫纳汉 ;36;SD;Great Compromiser;High;M25051;x
25052;Foreign Minister;迈克尔 奥拉弗蒂 ;37;SD;The Cloak N Dagger Schemer;High;M25052;x
25053;Foreign Minister;托马斯 约翰逊 ;41;SD;Ideological Crusader;Very High;M25042;x
25054;Foreign Minister;威廉 诺顿 ;44;SD;Apologetic Clerk;High;M25044;x
25056;Foreign Minister;P A 穆尔卡希 ;47;ML;General Staffer;High;M25010;x
25057;Foreign Minister;W T 科斯格雷夫 ;36;SC;Biased Intellectual;Undying;M25046;x
25058;Foreign Minister;凯文 奥希金斯 ;37;SC;Ideological Crusader;High;M25058;x
