PAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
557001;Head of State;哈罗德 麦克迈克尔 爵士 ;30;ML;Autocratic Charmer;High;M550005;x
557002;Head of Government;约翰 R 钱塞勒 爵士 ;30;ML;Flamboyant Tough Guy;High;M557002;x
557003;Foreign Minister;纳齐夫 阿尔-哈立迪 ;30;ML;Ideological Crusader;High;M557003;x
557004;Minister of Armament;乔治 胡姆西 ;30;ML;Military Entrepreneur;Medium;M557004;x
557005;Minister of Security;穆萨 卡西姆 阿尔-侯赛尼 ;30;ML;Prince of Terror;Medium;M557005;x
557006;Head of Military Intelligence;弗雷德里克 G 皮克 ;30;ML;Political Specialist;Medium;M91008;x
557007;Chief of Staff;赫伯特 萨穆埃尔 爵士 ;30;ML;School of Mass Combat;Medium;M557007;x
557008;Chief of Army;G H C 斯平尔斯 ;30;ML;Elastic Defence Doctrine;Medium;L320014;x
557009;Chief of Navy;F B 图尔斯 ;30;ML;Indirect Approach Doctrine;Medium;L1396;x
557010;Chief of Air Force;J T 富尔哈德 ;30;ML;Vertical Envelopment Doctrine;Medium;L1441;x
557011;Head of State;哈吉 阿明 阿尔 侯赛尼 ;36;NS;Pig-headed Isolationist;High;M557011;x
557012;Head of State;赫伯特 萨穆埃尔 爵士 ;36;PA;Stern Imperialist;High;M557007;x
557013;Head of State;法伊德 阿尔-阿拉米 ;36;SD;Benevolent Gentleman;High;M557013;x
557014;Head of State;鲁希 阿尔-哈立迪 ;36;LWR;Barking Buffoon;High;M557014;x
557015;Head of Government;优素福 帕夏 阿尔-哈立迪 ;36;NS;Political Protege;High;M557015;x
557016;Head of Government;赫伯特 普卢默 爵士 ;36;PA;Old General;High;M557016;x
557017;Head of Government;艾哈迈德 舒凯里 ;36;SD;Happy Amateur;High;M557017;x
557018;Head of Government;哈吉 穆斯塔法 阿布希 ;36;LWR;Ambitious Union Boss;High;M557018;x
557019;Foreign Minister;拉吉德 纳沙斯比比 ;36;NS;Iron Fisted Brute;High;M557019;x
557020;Foreign Minister;西尔 格林菲尔德 沃科普 爵士 ;36;PA;General Staffer;High;M557020;x
557021;Foreign Minister;哈里 C 卢克 ;36;SD;Great Compromiser;High;M557021;x
557022;Foreign Minister;哈菲兹 帕夏 阿卜杜勒 哈迪 ;36;LWR;Apologetic Clerk;High;M557022;x
557023;Minister of Armament;阿尔弗雷德 罗赫 ;36;NS;Air to Ground Proponent;Medium;M557023;x
557024;Minister of Armament;阿卜杜拉 加法尔 达拉赫 ;36;PA;Air Superiority Proponent;Medium;M557024;x
557025;Minister of Armament;鲁希 阿卜杜勒 哈迪 ;36;SD;Laissez Faires Capitalist;Medium;M557025;x
557026;Minister of Armament;谢里夫 纳西尔 阿尔-卡格利 ;36;LWR;Infantry Proponent;Medium;M557026;x
557027;Minister of Security;奥尼 阿卜杜勒 哈迪 ;36;NS;Crooked Kleptocrat;Medium;M557027;x
557028;Minister of Security;乔治 安蒂诺斯 ;36;PA;Compassionate Gentleman;Medium;M557028;x
557029;Minister of Security;尼古拉斯 阿布多 ;36;SD;Silent Lawyer;Medium;M557029;x
