PRK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
579001;Head of State;金日成 ;36;ST;Kim Il-Sung;Undying;M579001;x
579002;Head of Government;金日成 ;36;ST;Backroom Backstabber;Very High;M579001;x
579052;Foreign Minister;朴宪永 ;36;ST;Apologetic Clerk;Medium;M578012;x
579004;Minister of Armament;曹晚植 ;36;ST;Laissez Faires Capitalist;Medium;M578005;x
579053;Head of State;崔庸健;54;ST;Resigned Generalissimo;Very High;崔庸健;x
579005;Minister of Security;金日成 ;36;ST;Prince of Terror;Very High;M579005;x
579006;Head of Military Intelligence;肖劲光 ;36;ST;Logistics Specialist;Very Low;M579006;x
579007;Chief of Staff;宋时轮 ;36;ST;School of Fire Support;Medium;M579007;x
579008;Chief of Army;金日成 ;36;ST;Decisive Battle Doctrine;High;M579008;x
579009;Chief of Navy;刘西元 ;36;ST;Indirect Approach Doctrine;Medium;M579009;x
579003;Foreign Minister;南日 ;36;ST;General Staffer;Medium;M579003;x
579010;Chief of Air Force;李克农 ;36;ST;Carpet Bombing Doctrine;Medium;M579010;x
579011;Head of State;李东辉 ;36;SD;Barking Buffoon;High;M578014;x
579012;Head of Government;金昌奉 ;36;SD;Flamboyant Tough Guy;High;M578016;x
579013;Foreign Minister;金英彻 ;36;SD;Great Compromiser;Medium;M579013;x
579014;Minister of Armament;朴宪永 ;36;SD;Resource Industrialist;Medium;M578012;x
579015;Minister of Security;池青天 ;36;SD;Compassionate Gentleman;Very High;M578017;x
579016;Head of Military Intelligence;Youn Min Ho;36;ST;Technical Specialist;Very Low;M579016;x
579017;Chief of Staff;南日 ;36;ST;School of Defence;Medium;M579003;x
579018;Chief of Army;金益喆 ;36;SD;Guns and Butter Doctrine;Medium;M579018;x
579019;Chief of Navy;Ryoo Jung Sip;36;SD;Decisive Naval Battle Doctrine;Medium;M579019;x
579020;Chief of Air Force;朴珉景 ;36;SD;Naval Aviation Doctrine;Medium;M579020;x
579021;Head of Government;李钟玉 ;36;ST;Silent Workhorse;Medium;李钟玉;x
579022;Foreign Minister;许锬 ;36;ST;Apologetic Clerk;Medium;许锬;x
579023;Foreign Minister;朴成哲 ;48;ST;Biased Intellectual;Medium;朴成哲;x
579024;Minister of Armament;孔镇泰 ;55;ST;Resource Industrialist;Medium;孔镇泰;x
579025;Head of Military Intelligence;李根模 ;52;ST;Industrial Specialist;Medium;unknown;x
579026;Minister of Security;许贞淑 ;45;ST;Man of the People;Medium;许贞淑;x
579027;Chief of Staff;吴白龙 ;53;ST;School of Manoeuvre;Medium;吴白龙;x
579028;Chief of Army;吴克列 ;56;ST;Decisive Battle Doctrine;Medium;吴克列;x
579029;Chief of Staff;吴振宇 ;48;ST;School of Mass Combat;Medium;吴振宇;x
579030;Chief of Air Force;林春秋 ;46;ST;Naval Aviation Doctrine;Medium;林春秋;x
579031;Minister of Armament;金灵炼 ;60;ST;Theoretical Scientist;Medium;unknown;x
579032;Head of Government;金一 ;48;ST;Old General;High;金一;x
579033;Foreign Minister;金永南 ;58;ST;Iron Fisted Brute;High;金永南;x
579034;Minister of Armament;金万金 ;45;ST;Battle Fleet Proponent;Medium;金万金;x
579035;Minister of Security;金声杰 ;55;ST;Silent Lawyer;Medium;unknown;x
579036;Head of Military Intelligence;金仲麟 ;53;ST;Logistics Specialist;Medium;unknown;x
579037;Chief of Staff;金一 ;48;ST;School of Psychology;High;金一;x
579038;Chief of Army;金铁万 ;55;ST;Armoured Spearhead Doctrine;Medium;金铁万;x
579039;Head of Military Intelligence;郑浚基 ;54;ST;Political Specialist;Medium;unknown;x
579040;Foreign Minister;金基南 ;58;ST;Biased Intellectual;Medium;金基南;x
579041;Head of State;金正日 ;60;ST;Ruthless Powermonger;Medium;金正日;x
579042;Head of Government;金正日 ;60;ST;Political Protege;Medium;金正日;x
579043;Foreign Minister;徐哲 ;58;ST;Ideological Crusader;Medium;unknown;x
579044;Minister of Armament;姜希源 ;54;ST;Resource Industrialist;Medium;unknown;x
579045;Minister of Security;黄长烨 ;55;SC;Back Stabber;Very Low;unknown;x
579046;Head of Military Intelligence;姜成山 ;60;ST;Industrial Specialist;Medium;unknown;x
579047;Chief of Staff;崔贤 ;47;ST;School of Manoeuvre;Medium;unknown;x
579048;Chief of Army;崔庸健 ;40;ST;Static Defence Doctrine;Medium;崔庸健;x
579049;Head of State;金枓奉 ;40;ST;Insignificant Layman;Medium;M579049;x
579050;Chief of Army;金日成 ;36;ST;Decisive Battle Doctrine;Very High;M579050;x
579051;Chief of Staff;姜健 ;36;ST;School of Mass Combat;Very High;M579051;x
