GEO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
519001;Head of State;坎迪德 恰尔克维阿尼 ;36;ST;Barking Buffoon;High;M519001;x
519002;Head of Government;拉夫伦蒂 贝利亚 ;36;ST;Flamboyant Tough Guy;High;M519002;x
519003;Foreign Minister;布杜 姆季瓦尼 ;36;ST;The Cloak N Dagger Schemer;High;M519003;x
519004;Minister of Armament;格奥尔基 埃利亚瓦 ;36;ST;Theoretical Scientist;Medium;M519004;x
519005;Minister of Security;谢尔戈 奥尔忠尼启则 ;36;ST;Prince of Terror;Medium;M519005;x
519006;Head of Military Intelligence;尼古拉 纳卡希泽 ;36;ST;Industrial Specialist;Medium;M519006;x
519007;Chief of Staff;拉夫伦蒂 贝利亚 ;36;ST;School of Psychology;Medium;M519007;x
519008;Chief of Army;伊戈尔 D 切尔尼亚霍夫斯基 ;36;ST;Elastic Defence Doctrine;Medium;M519008;x
519009;Chief of Navy;阿列克谢 布鲁西洛夫 ;36;ST;Open Seas Doctrine;Medium;M519009;x
519010;Chief of Air Force;马米亚 奥拉赫拉什维利 ;36;ST;Naval Aviation Doctrine;Medium;M519010;x
519011;Head of State;拉斐尔 伊万尼茨基-因吉洛 ;36;SD;Pig-headed Isolationist;High;M519011;x
519012;Head of State;玛格丽塔一世 阿布卡兹殿下 ;36;SL;Popular Figurehead;High;M519012;x
519013;Head of State;伊拉克利四世 巴格拉蒂翁 德 穆哈尼殿下 ;36;SC;Autocratic Charmer;High;M519013;x
519014;Head of State;安德里亚二世 奇瓦杰德殿下 ;36;NS;Stern Imperialist;High;M519014;x
519015;Head of Government;米海尔 贾瓦基什维利 ;36;SD;Naive Optimist;High;M519015;x
519016;Head of Government;伊万涅 齐齐什维利博士 ;36;SL;Backroom Backstabber;High;M519016;x
519017;Head of Government;伊万涅 贾瓦基什维利 ;36;SC;Silent Workhorse;High;M519017;x
519018;Head of Government;米哈伊尔 冯 采列捷利 ;36;NS;Happy Amateur;High;M519018;x
519019;Foreign Minister;穆赫兰 尼尼亚泽 ;36;ST;Iron Fisted Brute;High;M519019;x
519020;Foreign Minister;菲利普 马哈拉泽 ;36;ST;Ideological Crusader;High;M519020;x
519021;Foreign Minister;沙尔瓦 阿米雷杰比 ;36;SD;Apologetic Clerk;High;M519021;x
519022;Foreign Minister;阿博特 埃弗雷姆 科塞利泽 ;36;SL;Apologetic Clerk;High;M519022;x
519023;Foreign Minister;瓦伦丁 S 奥谢波夫 ;36;SL;Biased Intellectual;High;M519023;x
519024;Foreign Minister;帕特里亚尔奇 卡利斯特拉特 钦塔泽 ;36;SC;Iron Fisted Brute;High;M519024;x
519025;Foreign Minister;亚历山大 尼库拉泽 ;36;NS;Great Compromiser;High;M519025;x
519026;Minister of Armament;巴曲亚 泽兹瓦斯泽 ;36;ST;Resource Industrialist;Medium;M519026;x
519027;Minister of Armament;贝索 洛米纳泽 ;36;SD;Theoretical Scientist;Medium;M519027;x
519028;Minister of Armament;泰多尔 萨胡亚 ;36;SD;Resource Industrialist;Medium;M519028;x
519029;Minister of Armament;格奥尔基 格瓦扎瓦 ;36;SL;Laissez Faires Capitalist;Medium;M519029;x
519030;Minister of Armament;阿韦尔 叶努基泽 ;36;SC;Air Superiority Proponent;High;M519030;x
519031;Minister of Armament;瓦西尔 G 采列捷利 ;36;SC;Air to Ground Proponent;High;M519031;x
519032;Minister of Armament;列瓦兹 加巴什维利 ;36;NS;Infantry Proponent;High;M519032;x
519033;Minister of Security;谢尔盖 卡夫塔拉泽 ;36;ST;Efficient Sociopath;Medium;M519033;x
519034;Minister of Security;斯托尔瓦 埃利亚维 ;36;SD;Prince of Terror;Medium;M519034;x
519035;Minister of Security;诺埃 约尔达尼亚 ;36;SL;Efficient Sociopath;Medium;M519035;x
519036;Minister of Security;穆罕默德 阿巴希泽 ;36;SC;Back Stabber;Medium;M519036;x
519037;Minister of Security;阿里 米塔耶夫 ;36;SC;Crime Fighter;Medium;M519037;x
519038;Minister of Security;埃克弗蒂梅 塔凯什维利 ;36;NS;Crime Fighter;Medium;M519038;x
519039;Head of Military Intelligence;于罗吉 斯图鲁阿 ;36;ST;Logistics Specialist;Medium;M519039;x
519040;Head of Military Intelligence;格奥尔基 埃利亚瓦 ;36;SD;Technical Specialist;Medium;M519004;x
