U94;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
900400;Head of State;哈马尼·迪奥里;36;SC;Powerhungry Demagogue;Very High;niger1;x
900401;Head of State;布布·哈马;36;PA;Benevolent Gentleman;Very High;niger2;x
900402;Head of State;吉博·巴卡里;36;LWR;Die-hard Reformer;Very High;niger3;x
900403;Head of State;马塞尔·德·科佩;36;SL;Insignificant Layman;Very High;niger4;x
900404;Head of State;哈桑·迪亚洛;38;FA;Stern Imperialist;Very High;unknown;x
900405;Head of Government;哈马尼·迪奥里;36;SC;Silent Workhorse;Very High;niger1;x
900406;Head of Government;吉博·巴卡里;36;LWR;Ambitious Union Boss;Very High;niger3;x
900407;Head of Government;马塞尔·德·科佩;36;SL;Silent Workhorse;Very High;niger4;x
900408;Foreign Minister;哈马尼·迪奥里;36;SC;Iron Fisted Brute;Very High;niger1;x
900409;Foreign Minister;马塞尔·德·科佩;36;SL;Great Compromiser;Very High;niger4;x
900410;Foreign Minister;阿达穆·马亚基;36;SC;Biased Intellectual;Very High;unknown;x
900411;Foreign Minister;鲍文·穆斯塔法;34;PA;The Cloak N Dagger Schemer;Very High;unknown;x
900412;Minister of Armament;阿达穆·马亚基;39;SC;Resource Industrialist;Very High;unknown;x
900413;Minister of Armament;吉博·巴卡里;36;LWR;Infantry Proponent;Very High;niger3;x
900414;Minister of Armament;易卜拉欣·奥马鲁;34;FA;Corrupt Kleptocrat;Very High;unknown;x
900415;Minister of Security;布布·哈马;36;PA;Man of the People;Very High;niger2;x
900416;Minister of Security;马塞尔·德·科佩;38;SL;Silent Lawyer;Very High;niger4;x
900417;Minister of Security;易卜拉欣·奥马鲁;34;FA;Back Stabber;Very High;unknown;x
900418;Head of Military Intelligence;布布·哈马;36;PA;Political Specialist;Very High;niger2;x
900419;Head of Military Intelligence;易卜拉欣·奥马鲁;34;FA;Logistics Specialist;Very High;unknown;x
900420;Head of Military Intelligence;吉博·巴卡里;36;LWR;Political Specialist;Very High;niger3;x
900421;Chief of Staff;吉博·巴卡里;36;LWR;School of Psychology;Very High;niger3;x
900422;Chief of Staff;丹丹·库洛多;34;PA;School of Psychology;Very High;unknown;x
900423;Chief of Army;鲍文·穆斯塔法;34;PA;Guns and Butter Doctrine;Very High;unknown;x
900424;Chief of Army;哈马尼·迪奥里;36;SC;Elastic Defence Doctrine;Very High;niger1;x
900425;Chief of Army;马塞尔·德·科佩;36;SL;Elastic Defence Doctrine;Very High;niger4;x
900426;Chief of Navy;阿达穆·马亚基;39;SC;Base Control Doctrine;Very High;unknown;x
900427;Chief of Air Force;阿达穆·马亚基;39;SC;Vertical Envelopment Doctrine;Very High;unknown;x
