NIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
48001;Head of State;胡安 巴蒂斯塔 萨卡萨 ;36;SC;Benevolent Gentleman;High;M48001;x
48002;Head of Government;朱利安 伊利亚斯 纳瓦罗 ;36;SC;Happy Amateur;High;M48002;x
48003;Foreign Minister;利昂纳多 阿奎罗 瓦加斯 ;36;SC;Iron Fisted Brute;High;M48003;x
48004;Minister of Armament;安纳斯塔西奥 索摩查 加西亚 ;36;SC;Corrupt Kleptocrat;Very High;M48004;x
48005;Minister of Security;阿尔卡西奥 特雷尔斯 门多萨 ;36;ML;Crooked Kleptocrat;Very High;M48005;x
48006;Head of Military Intelligence;利昂纳多 阿奎罗 瓦加斯 ;36;SC;Technical Specialist;Medium;M48003;x
48007;Chief of Staff;安纳斯塔西奥 索摩查 加西亚 ;36;SC;School of Defence;Very High;M48004;x
48008;Chief of Army;奥古斯托 卡拉瓦尔 安东尼奥 ;36;SC;Elastic Defence Doctrine;Medium;M48008;x
48009;Chief of Navy;古斯塔沃 弗洛雷斯 门迭塔 ;36;SC;Base Control Doctrine;Very High;M48009;x
48010;Chief of Air Force;吉列尔莫 R 库亚德拉 ;36;SC;Naval Aviation Doctrine;Medium;M48010;x
48031;Head of State;朱利安 伊利亚斯 纳瓦罗 ;36;SC;Insignificant Layman;High;M48002;x
48032;Head of State;卡洛斯 布雷内斯 华金 ;36;PA;Autocratic Charmer;High;M48032;x
48033;Head of State;安纳斯塔西奥 索摩查 加西亚 ;37;SC;Resigned Generalissimo;High;M48004;x
48034;Head of State;本杰明 拉卡约 萨卡萨 ;47;SC;Popular Figurehead;High;M48034;x
48035;Head of State;维克托 罗曼-雷耶斯 ;47;PA;Pig-headed Isolationist;High;M48035;x
48036;Head of Government;利昂 卡布雷斯 ;36;SC;Happy Amateur;High;M48011;x
48037;Head of Government;安纳斯塔西奥 索摩查 加西亚 ;36;PA;Flamboyant Tough Guy;High;M48004;x
48038;Head of Government;比森特 莫拉尔斯 ;37;SC;Naive Optimist;High;M48038;x
48039;Head of Government;卡洛斯 A 维拉纽瓦 ;39;SC;Political Protege;High;M48039;x
48040;Head of Government;阿尔卡西奥 特雷尔斯 门多萨 ;41;SC;Corporate Suit;High;M48005;x
48041;Head of Government;卡洛斯 布雷内斯 华金 ;44;SC;Silent Workhorse;High;M48032;x
48042;Head of Government;吉列尔莫 库亚德拉 ;47;SC;Ambitious Union Boss;High;M48012;x
48043;Foreign Minister;达里奥 达里奥-德贝拉 ;36;SC;General Staffer;High;M48043;x
48044;Foreign Minister;曼努埃尔 科德罗 雷耶斯 ;37;SC;Great Compromiser;High;M48044;x
48045;Foreign Minister;马利安诺 阿奎罗 瓦加斯 ;39;SC;Biased Intellectual;High;M48044;x
48046;Foreign Minister;维克托 罗曼-雷耶斯 ;44;PA;General Staffer;Very High;M48035;x
48047;Foreign Minister;席尔维奥 阿奎罗 卡德纳尔 ;47;SC;Great Compromiser;Very High;M48047;x
48048;Foreign Minister;安纳斯塔西奥 索摩查 加西亚 ;47;PA;The Cloak N Dagger Schemer;High;M48004;x
48049;Minister of Armament;尼古拉 华莱士 瑟胡多 ;36;SC;Air to Ground Proponent;Very High;M48049;x
48050;Minister of Armament;托马斯 弗朗西斯科 梅迪纳 ;36;PA;Corrupt Kleptocrat;Medium;M48050;x
48051;Minister of Armament;卡洛斯 布雷内斯 华金 ;37;SC;Laissez Faires Capitalist;High;M48032;x
48052;Minister of Armament;萨尔瓦多 比恩罗斯特里 卡德纳斯 ;39;SC;Air Superiority Proponent;High;M48052;x
48053;Minister of Armament;利昂纳多 阿奎罗 瓦加斯 ;41;SC;Infantry Proponent;High;M48003;x
48054;Minister of Armament;本杰明 拉卡约 萨卡萨 ;43;SC;Administrative Genius;Medium;M48034;x
48055;Minister of Armament;本杰明 卡萨尔 科恩 ;44;SC;Military Entrepreneur;High;M48055;x
48056;Minister of Armament;胡安 埃斯特拉达 阿亚拉 ;47;SC;Air to Ground Proponent;High;M48056;x
48057;Minister of Armament;何塞 克莱蒙 萨卡萨 ;47;PA;Tank Proponent;Low;M48016;x
48058;Minister of Security;安纳斯塔西奥 索摩查 加西亚 ;36;SC;Efficient Sociopath;Low;M48004;x
48059;Minister of Security;维克托 罗曼-雷耶斯 ;39;SC;Prince of Terror;Very High;M48035;x
48060;Minister of Security;利昂 卡布雷斯 ;41;SC;Back Stabber;Medium;M48011;x
48061;Minister of Security;古斯塔沃 帕文 奥查亚 ;44;PA;Silent Lawyer;Medium;M48061;x
48062;Minister of Security;尼古拉 埃登 希门内斯 ;47;SC;Compassionate Gentleman;Medium;M48062;x
48064;Head of Military Intelligence;弗朗西斯科 埃斯特拉达 ;36;PA;Industrial Specialist;Medium;M48064;x
48065;Head of Military Intelligence;利昂纳多 阿奎罗 文瑟斯 ;37;SC;Dismal Enigma;Medium;M48065;x
48066;Head of Military Intelligence;维克托 罗曼-雷耶斯 ;41;SC;Technical Specialist;Very High;M48035;x
48067;Head of Military Intelligence;何塞 路易斯 帕文 维纳尔斯 ;44;SC;Logistics Specialist;Medium;M48067;x
48068;Head of Military Intelligence;胡安 巴勃罗 埃斯奎拉 ;47;SC;Dismal Enigma;Medium;M48026;x
48069;Head of Military Intelligence;何塞 克莱蒙 萨卡萨 ;47;PA;Dismal Enigma;Low;M48016;x
48071;Chief of Staff;奥古斯托 卡拉瓦尔 安东尼奥 ;36;PA;School of Fire Support;Low;M48008;x
48072;Chief of Staff;曼努埃尔 罗克 加西亚 ;47;SC;School of Manoeuvre;Low;M48017;x
48074;Chief of Army;安纳斯塔西奥 索摩查 加西亚 ;37;SC;Static Defence Doctrine;Very High;M48004;x
48075;Chief of Army;维克托 罗曼-雷耶斯 ;41;SC;Decisive Battle Doctrine;Very High;M48035;x
48076;Chief of Army;曼努埃尔 科罗沃尔 基尔什 ;44;PA;Armoured Spearhead Doctrine;Medium;M48018;x
48077;Chief of Army;曼努埃尔 罗克 加西亚 ;47;SC;Guns and Butter Doctrine;Low;M48017;x
48079;Chief of Navy;努尔 埃斯托 尼诺 米兰达 ;44;SC;Open Seas Doctrine;Very High;M48019;x
48082;Chief of Air Force;约尔 加西亚 扎尔达纳 ;44;SC;Army Aviation Doctrine;Medium;M48020;x
48084;Head of State;利昂纳多 阿奎罗 瓦加斯 ;47;SC;Die-hard Reformer;High;M48003;x
48085;Head of Government;安纳斯塔西奥 索摩查 加西亚 ;47;PA;Old General;High;M48004;x
48011;Head of State;利昂 卡布雷斯 ;36;SL;Insignificant Layman;High;M48011;x
48012;Head of Government;吉列尔莫 库亚德拉 ;36;SD;Ambitious Union Boss;High;M48012;x
48013;Foreign Minister;利昂 卡布雷斯 ;36;SL;Biased Intellectual;High;M48011;x
48015;Minister of Security;吉列尔莫 库亚德拉 ;36;SD;Crime Fighter;High;M48012;x
48021;Head of State;路易斯 卡德纳尔 ;36;LE;Weary Stiffneck;High;M48021;x
48022;Head of Government;路易斯 卡德纳尔 ;36;LE;Flamboyant Tough Guy;High;M48021;x
48023;Foreign Minister;路易斯 卡德纳尔 ;36;LE;Ideological Crusader;Very High;M48021;x
48024;Minister of Armament;西奥菲罗 S 格拉尔斯 ;36;ST;Strategic Air Proponent;Medium;M48024;x
48025;Minister of Security;胡安 Y 马斯克斯 ;36;LE;Efficient Sociopath;Medium;M48025;x
48026;Head of Military Intelligence;胡安 巴勃罗 埃斯奎拉 ;36;LWR;Dismal Enigma;Medium;M48026;x
48027;Chief of Staff;胡安 巴勃罗 埃斯奎拉 ;36;LWR;School of Psychology;Medium;M48026;x
48028;Chief of Army;曼努埃尔 科罗沃尔 基尔什 ;36;LWR;Static Defence Doctrine;Medium;M48018;x
48029;Chief of Navy;努尔 埃斯托 尼诺 米兰达 ;36;LWR;Open Seas Doctrine;Very High;M48019;x
48030;Chief of Air Force;约尔 加西亚 扎尔达纳 ;36;LWR;Army Aviation Doctrine;Medium;M48020;x
