SUD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
555001;Head of State;乔治 斯图尔特 赛姆斯 爵士 ;30;ML;Resigned Generalissimo;High;M555001;x
555002;Head of Government;赫伯特 J 赫德尔斯顿 爵士 ;30;ML;Political Protege;High;M555002;x
555003;Foreign Minister;劳伦特 A 博纳韦 ;30;ML;Biased Intellectual;High;M555003;x
555004;Minister of Armament;胡贝特 莱瑟姆 ;30;ML;Submarine Proponent;Medium;M555004;x
555005;Minister of Security;威廉 麦克拉多克 ;30;ML;Man of the People;Medium;M555005;x
555006;Head of Military Intelligence;乔治 J 霍克斯沃思 ;30;ML;Dismal Enigma;Medium;M555006;x
555007;Chief of Staff;查尔斯 L 诺曼 ;30;ML;School of Fire Support;Medium;M555007;x
555008;Chief of Army;乔治 斯图尔特 赛姆斯 爵士 ;30;ML;Static Defence Doctrine;Medium;M555001;x
555009;Chief of Navy;H T S 柯林斯 ;30;ML;Open Seas Doctrine;Medium;L410013;x
555010;Chief of Air Force;克莱门特 罗伯逊 ;30;ML;Army Aviation Doctrine;Medium;M555010;x
555011;Head of State;劳伦斯 麦克斯图里亚 ;36;PA;Benevolent Gentleman;High;M555011;x
555012;Head of State;伊斯梅尔 阿拉扎里 ;36;SD;Pig-headed Isolationist;High;M555012;x
555013;Head of Government;阿利斯特 菲茨休 ;36;PA;Backroom Backstabber;High;M555013;x
555014;Head of Government;阿卜杜拉 贝 哈利勒 ;36;SD;Flamboyant Tough Guy;High;M555014;x
555015;Foreign Minister;休 德 勒伊斯莱 文森特 ;36;PA;Great Compromiser;High;M555015;x
555016;Foreign Minister;穆罕默德 艾哈迈德 马哈古卜 ;36;SD;Iron Fisted Brute;High;M555016;x
555017;Minister of Armament;阿齐博尔德 法林顿-琼斯 ;41;ML;Laissez Faires Capitalist;Medium;M555017;x
555018;Minister of Armament;诺曼 沃林顿 ;36;PA;Military Entrepreneur;Medium;M555018;x
555019;Minister of Armament;阿廖佐里 达法阿拉博士 ;36;SD;Theoretical Scientist;Medium;M555019;x
555020;Minister of Armament;萨拉赫 埃尔祖比尔 ;42;SD;Strategic Air Proponent;Medium;M555020;x
555021;Minister of Security;瓦尔特 霍沃思 ;40;ML;Compassionate Gentleman;Medium;M555021;x
555022;Minister of Security;莱昂纳德 埃尔斯莫尔 ;36;PA;Crime Fighter;Medium;M555022;x
555023;Minister of Security;拉希德 阿尔塔希尔 贝克尔 ;36;SD;Crooked Kleptocrat;Medium;M555023;x
555024;Minister of Security;法里克 易卜拉欣 阿布德 ;42;SD;Silent Lawyer;Medium;M555024;x
555025;Head of Military Intelligence;爱德华 布鲁克 哈斯拉姆 ;42;ML;Industrial Specialist;Medium;M555025;x
555026;Head of Military Intelligence;特伦斯 格雷厄姆 ;36;PA;Naval Intelligence Specialist;Medium;M555026;x
555027;Head of Military Intelligence;休 莱弗顿 ;41;PA;Political Specialist;Medium;M555027;x
555028;Head of Military Intelligence;穆罕默德 艾哈迈德 亚辛 ;36;SD;Logistics Specialist;Medium;M555028;x
555029;Chief of Staff;亚瑟 德鲁蒙德 伯顿 ;36;PA;School of Mass Combat;Medium;M555029;x
555030;Chief of Staff;易卜拉欣 艾哈迈德 阿布德 ;36;SD;School of Manoeuvre;Medium;M555030;x
555031;Chief of Army;理查德 科拉多克 爵士 ;43;ML;Decisive Battle Doctrine;Medium;M555031;x
555032;Chief of Army;亚瑟 J 本内特 ;36;PA;Armoured Spearhead Doctrine;Medium;M555032;x
555033;Chief of Army;易卜拉欣 艾哈迈德 阿布德 ;36;SD;Elastic Defence Doctrine;Medium;M555030;x
555034;Chief of Navy;伊恩 特里劳尼 ;36;PA;Decisive Naval Battle Doctrine;Medium;L320016;x
555035;Chief of Navy;巴比克尔 阿瓦达拉 ;36;SD;Base Control Doctrine;Medium;M555035;x
555036;Chief of Air Force;霍勒斯 R 坎贝尔 ;36;PA;Naval Aviation Doctrine;Medium;M555036;x
555037;Chief of Air Force;萨拉尔哈蒂姆 阿尔哈里发 ;36;SD;Vertical Envelopment Doctrine;Medium;M555037;x
555038;Chief of Staff;加法尔 尼迈里;50;SD;School of Defence;Medium;M_SUD_Gaafar_Nimeiry;x
