UBO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79601;Head of State;路易二十 ;36;ML;Stern Imperialist;High;M2032;x
79602;Head of Government;曼努埃尔 阿萨尼亚 迪亚兹 ;36;ML;Silent Workhorse;High;M11033;x
79603;Foreign Minister;伊冯 德尔博斯 ;36;ML;Biased Intellectual;Medium;M2048;x
79604;Foreign Minister;保罗 雷诺 ;36;ML;Ideological Crusader;Undying;M2038;x
79605;Foreign Minister;华金 乌尔赛斯 卡达瓦尔 ;36;ML;Apologetic Clerk;Low;M11003;x
79606;Foreign Minister;路易 孔帕尼斯 若维尔 ;36;ML;Iron Fisted Brute;High;M11091;x
79607;Foreign Minister;爱德华 达拉第 ;36;ML;Great Compromiser;High;M2037;x
79608;Foreign Minister;乔治 皮杜尔 ;41;ML;General Staffer;High;M2039;x
79609;Foreign Minister;迭戈 马丁内斯 巴里奥 ;36;ML;The Cloak N Dagger Schemer;High;M11069;x
79610;Minister of Armament;保罗 马尔尚多 ;36;ML;Administrative Genius;Medium;M2083;x
79611;Minister of Armament;弗朗西斯科 门德斯 阿斯佩 ;36;ML;Resource Industrialist;High;M11135;x
79612;Minister of Armament;伯纳多 吉纳 德 洛斯 里奥斯 加西亚 ;36;ML;Theoretical Scientist;High;M11144;x
79613;Minister of Armament;爱德华 达拉第 ;36;ML;Laissez Faires Capitalist;Low;M2037;x
79614;Minister of Armament;迭戈 伊达尔戈 杜兰 ;36;ML;Military Entrepreneur;High;M11101;x
79615;Minister of Armament;约瑟夫 路易斯 阿弗诺尔 ;36;ML;Battle Fleet Proponent;Medium;M2080;x
79616;Minister of Armament;圣地亚哥 卡萨雷斯 基罗加 ;36;ML;Submarine Proponent;High;M11137;x
79617;Minister of Armament;夏尔 戴高乐 ;36;ML;Tank Proponent;High;M2027;x
79618;Minister of Armament;托多尔夫 略皮斯 费兰迪斯 ;36;ML;Infantry Proponent;High;M11133;x
79619;Minister of Armament;马塞尔 霍登 ;36;ML;Air Superiority Proponent;Medium;M2076;x
79620;Minister of Armament;维森特 乌里贝 加尔德亚诺 ;36;ML;Corrupt Kleptocrat;Very High;M11114;x
79621;Minister of Armament;安托万 亨利 克耶 ;36;ML;Air to Ground Proponent;High;M2043;x
79622;Minister of Armament;米格尔 努涅斯 德 普拉多 ;36;ML;Air to Sea Proponent;Medium;M11143;x
79623;Minister of Armament;利昂 儒奥 ;36;ML;Strategic Air Proponent;Medium;M2070;x
79624;Minister of Security;曼努埃尔 波特拉 瓦拉达雷斯 ;36;ML;Silent Lawyer;High;M11002;x
