U96;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
900600;Head of State;利奥波德 塞达尔 桑戈尔 ;44;LWR;Pig-headed Isolationist;Very High;senegal10;x
900601;Head of State;路易·列弗斐尔;36;SL;Stern Imperialist;Very High;senegal1;x
900602;Head of State;让·保罗·帕里索;36;SC;Stern Imperialist;Very High;senegal6;x
900603;Head of Government;马马杜 迪亚 ;44;LE;Flamboyant Tough Guy;Very High;unknown;x
900604;Head of Government;路易·列弗斐尔;36;SL;Silent Workhorse;Very High;senegal1;x
900605;Head of Government;让·保罗·帕里索;36;SC;Silent Workhorse;Very High;senegal6;x
900606;Head of Government;利奥波德 塞达尔 桑戈尔 ;44;LWR;Political Protege;Very High;senegal10;x
900607;Foreign Minister;乌斯曼·萨克;37;SL;Biased Intellectual;Very High;senegal2;x
900608;Foreign Minister;比拉戈·迪奥普;36;ML;Biased Intellectual;Very High;senegal11;x
900609;Foreign Minister;拉明·盖伊 ;44;LWR;Iron Fisted Brute;Very High;senegal13;x
900610;Foreign Minister;杜杜·蒂亚姆 ;44;LE;Biased Intellectual;Very High;unknown;x
900611;Minister of Armament;让·阿尔弗雷德·迪亚洛;49;LWR;Tank Proponent;Very High;unknown;x
900612;Minister of Armament;阿卜杜勒·恩吉;36;PA;Administrative Genius;Very High;senegal8;x
900613;Minister of Armament;路易·列弗斐尔;36;SL;Resource Industrialist;Very High;senegal1;x
900614;Minister of Security;阿卜杜拉耶·萨吉;44;SL;Silent Lawyer;Very High;senegal3;x
900616;Minister of Security;丹巴·迪奥普;36;LWR;Man of the People;Very High;senegal7;x
900617;Minister of Security;易卜拉欣·尼亚斯;36;SC;Man of the People;Very High;senegal9;x
900618;Head of Military Intelligence;乌斯曼·萨克;37;SL;Logistics Specialist;Very High;senegal2;x
900619;Head of Military Intelligence;阿卜杜勒·恩吉;36;PA;Logistics Specialist;Very High;senegal8;x
900620;Head of Military Intelligence;罗杰·罗氏 ;36;ST;Political Specialist;Very High;unknown;x
900621;Chief of Staff;让·阿尔弗雷德·迪亚洛;44;LE;School of Psychology;Very High;unknown;x
900622;Chief of Staff;保罗·勒让蒂约姆;36;ML;School of Psychology;Very High;senegal4;x
900623;Chief of Staff;艾琳·阿恰·迪亚塔;41;SD;School of Defence;Very High;unknown;x
900624;Chief of Staff;让·保罗·帕里索;36;SC;School of Fire Support;Very High;senegal6;x
900625;Chief of Army;查尔斯·诺尔;36;ML;Guns and Butter Doctrine;Very High;senegal5;x
900626;Chief of Army;让·阿尔弗雷德·迪亚洛;44;LE;Armoured Spearhead Doctrine;Very High;unknown;x
900627;Chief of Navy;利奥波德 塞达尔 桑戈尔 ;44;LWR;Indirect Approach Doctrine;Very High;senegal10;x
900628;Chief of Navy;路易·列弗斐尔;36;SL;Decisive Naval Battle Doctrine;Very High;senegal1;x
900629;Chief of Air Force;利奥波德 塞达尔 桑戈尔 ;44;LWR;Vertical Envelopment Doctrine;Very High;senegal10;x
900630;Chief of Air Force;路易·列弗斐尔;36;SL;Vertical Envelopment Doctrine;Very High;senegal1;x
