U76;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
700600;Head of State;大卫 劳埃德 乔治 ;33;ML;Die-hard Reformer;Very High;wales1;x
700601;Head of State;詹姆士·亨利·托马斯;33;SD;Pig-headed Isolationist;Very High;wales5;x
700602;Head of State;奥古斯都·约翰;33;LWR;Popular Figurehead;Very High;M_U76_JohnAugustus;x
700603;Head of Government;大卫 劳埃德 乔治 ;33;ML;Flamboyant Tough Guy;Very High;wales1;x
700604;Head of Government;詹姆士·亨利·托马斯;33;SD;Ambitious Union Boss;Very High;wales5;x
700605;Head of Government;大卫·莱斯·格伦费尔;34;LWR;Ambitious Union Boss;Very High;M_U76_DavidGrenfell;x
700606;Foreign Minister;卡斯伯特·奥尔波特;33;SC;Great Compromiser;Very High;wales2;x
700607;Foreign Minister;詹姆士·亨利·托马斯;33;SD;The Cloak N Dagger Schemer;Very High;wales5;x
700608;Foreign Minister;休-爱德华兹;33;SD;Great Compromiser;Very High;M_U76_HuwT.Edwards;x
700609;Foreign Minister;詹姆斯·莫里斯;39;ML;General Staffer;Very High;M_U76_MorriceJames;x
700610;Minister of Armament;大卫 劳埃德 乔治 ;33;ML;Military Entrepreneur;Very High;wales1;x
700611;Minister of Armament;艾弗·戴维斯;33;SD;Administrative Genius;Very High;unknown;x
700612;Minister of Security;艾萨克·丹尼尔·哈德森;33;SL;Silent Lawyer;Very High;wales4;x
700613;Minister of Security;安奈林 贝文 ;45;LWR;Man of the People;Very High;M1021;x
700614;Head of Military Intelligence;刘易斯·埃文斯·普格;33;ML;Logistics Specialist;Very High;wales6;x
700615;Chief of Staff;刘易斯·埃文斯·普格;33;ML;School of Psychology;Very High;wales6;x
700616;Chief of Staff;西里尔·科尔曼;43;SL;School of Fire Support;Very High;wales3;x
700617;Chief of Army;刘易斯·埃文斯·普格;33;ML;Guns and Butter Doctrine;Very High;wales6;x
700618;Chief of Army;西里尔·科尔曼;43;SL;Decisive Battle Doctrine;Very High;wales3;x
700619;Chief of Navy;詹姆斯·莫里斯;44;SD;Base Control Doctrine;Very High;M_U76_MorriceJames;x
700620;Chief of Navy;斯文·汉森;33;ML;Open Seas Doctrine;Very High;M_U76_SvenHansen;x
700621;Chief of Navy;约翰·卡斯帕;45;SL;Decisive Naval Battle Doctrine;Very High;M_U76_CasparJohn;x
700622;Chief of Air Force;莱昂内尔·里斯;33;ML;Air Superiority Doctrine;Very High;wales7;x
700623;Chief of Air Force;约翰·卡斯帕;45;SL;Naval Aviation Doctrine;Very High;M_U76_CasparJohn;x
700624;Chief of Air Force;查尔斯·朗克罗夫特;33;SD;Army Aviation Doctrine;Very High;unknown;x
700625;Chief of Staff;安布罗斯·巴布;33;FA;Static Defence Doctrine;Medium;Ambrose_Bebb;x
700626;Minister of Security;爱德华·杰弗里·哈姆;40;FA;Crime Fighter;Medium;M1093;x
700627;Head of Government;爱德华·杰弗里·哈姆;41;FA;Ambitious Union Boss;Medium;M1093;x
700628;Head of State;约翰·桑德斯·刘易斯;30;PA;Barking Buffoon;High;M_U76_SaundersLewis;x
700629;Foreign Minister;约翰·桑德斯·刘易斯;34;PA;Biased Intellectual;High;M_U76_SaundersLewis;x
700631;Head of Government;约翰·桑德斯·刘易斯;44;PA;Naive Optimist;High;M_U76_SaundersLewis;x
