U78;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
700800;Head of State;利昂 科尔特斯 卡斯特罗 ;36;SL;Autocratic Charmer;High;M47002;x
700801;Head of State;劳尔 桑切斯 巴尼亚多斯 ;36;LWR;Autocratic Charmer;High;M79021;x
700802;Head of State;罗穆阿尔多 希门尼斯 奥雷亚穆里奥 ;36;SL;Ruthless Powermonger;High;M47001;x
700803;Head of State;路易斯 卡德纳尔 ;36;LE;Weary Stiffneck;High;M48021;x
700804;Head of State;利昂 卡布雷斯 ;36;SL;Insignificant Layman;High;M48011;x
700805;Head of Government;吉列尔莫 库亚德拉 ;36;SD;Ambitious Union Boss;High;M48012;x
700806;Head of Government;路易斯 卡德纳尔 ;36;LE;Flamboyant Tough Guy;High;M48021;x
700807;Head of Government;胡安 B 瓦拉达雷斯 ;36;SL;Smiling Oilman;High;M79011;x
700808;Head of Government;埃尔南 费尔南德斯 席尔瓦 ;36;LWR;Silent Workhorse;High;M79043;x
700809;Head of Government;利昂 科尔特斯 卡斯特罗 ;36;SL;Political Protege;High;M47002;x
700810;Head of Government;托比亚斯 苏尼亚加 蒙图法尔 ;36;SL;Ambitious Union Boss;High;M47033;x
700811;Foreign Minister;萨尔瓦多 阿圭雷 奥萨纳 ;36;SL;The Cloak N Dagger Schemer;High;M79051;x
700812;Foreign Minister;雅辛托 埃斯库德罗 奥伊坎达代尔 ;36;LWR;Iron Fisted Brute;Medium;M79023;x
700813;Foreign Minister;利昂 卡布雷斯 ;36;SL;Biased Intellectual;High;M48011;x
700814;Foreign Minister;路易斯 卡德纳尔 ;36;LE;Ideological Crusader;Very High;M48021;x
700815;Minister of Armament;西奥菲罗 S 格拉尔斯 ;36;ST;Strategic Air Proponent;Medium;M48024;x
700816;Minister of Armament;朱利奥 阿科斯塔 加西亚 ;36;SL;Military Entrepreneur;Medium;M47004;x
700817;Minister of Security;维克托 萨纳夫里亚 马丁内斯 ;36;SL;Efficient Sociopath;Very High;M47005;x
700818;Minister of Security;吉列尔莫 库亚德拉 ;36;SD;Crime Fighter;High;M48012;x
700819;Minister of Security;胡安 Y 马斯克斯 ;36;LE;Efficient Sociopath;Medium;M48025;x
700820;Head of Military Intelligence;罗穆阿尔多 希门尼斯 奥雷亚穆里奥 ;36;SL;Technical Specialist;High;M47001;x
700821;Head of Military Intelligence;胡安 巴勃罗 埃斯奎拉 ;36;LWR;Dismal Enigma;Medium;M48026;x
700822;Chief of Staff;胡安 巴勃罗 埃斯奎拉 ;36;LWR;School of Psychology;Medium;M48026;x
700823;Chief of Staff;奥斯瓦尔多 洛佩斯 阿雷拉诺 ;36;SL;School of Manoeuvre;Medium;M79064;x
700824;Chief of Army;曼努埃尔 科罗沃尔 基尔什 ;36;LWR;Static Defence Doctrine;Medium;M48018;x
700825;Chief of Army;若泽 祖尼加 韦特 ;36;SL;Decisive Battle Doctrine;High;M79032;x
700826;Chief of Navy;努尔 埃斯托 尼诺 米兰达 ;36;LWR;Open Seas Doctrine;Very High;M48019;x
700827;Chief of Navy;罗伯托 华雷斯 坎波西诺 ;36;SL;Open Seas Doctrine;Medium;M47009;x
700828;Chief of Air Force;约尔 加西亚 扎尔达纳 ;36;LWR;Army Aviation Doctrine;Medium;M48020;x
700829;Chief of Air Force;唐 阿纳尔多 萨莫拉 ;36;SL;Army Aviation Doctrine;Medium;M47010;x
