GUA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
46001;Head of State;乔治 乌维科 卡斯塔涅达 ;36;PA;Pig-headed Isolationist;High;M46001;x
46002;Head of Government;乔治 乌维科 卡斯塔涅达 ;36;PA;Silent Workhorse;High;M46001;x
46003;Foreign Minister;阿尔弗雷多 斯金纳 克莱 ;36;PA;The Cloak N Dagger Schemer;Medium;M46003;x
46004;Minister of Armament;吉耶尔莫 弗洛雷斯 阿伦达诺 ;36;PA;Infantry Proponent;Medium;M46004;x
46005;Minister of Security;T. 卡斯特罗 多明格斯 ;36;PA;Crooked Kleptocrat;Medium;M46005;x
46006;Head of Military Intelligence;爱德华多 比利亚格兰 阿里萨 ;36;PA;Logistics Specialist;Medium;M46006;x
46007;Chief of Staff;费代里科 蓬斯 瓦伊德斯 ;36;PA;School of Manoeuvre;Medium;M46007;x
46008;Chief of Army;乔治 乌维科 卡斯塔涅达 ;36;PA;Static Defence Doctrine;High;M46001;x
46009;Chief of Navy;托马斯 门多萨 乌里贝 ;36;PA;Indirect Approach Doctrine;Medium;M46009;x
46010;Chief of Air Force;R 布埃纳文图勒 皮内达 ;36;PA;Army Aviation Doctrine;Medium;M46010;x
46021;Head of State;雅各布 阿本斯 古茨曼 ;44;LWR;Popular Figurehead;High;M46021;x
46022;Head of State;胡安 阿雷瓦洛 贝梅若 ;45;SD;Die-hard Reformer;High;M46022;x
46023;Head of State;乔治 托列洛 加里多 ;45;SL;Resigned Generalissimo;High;M46011;x
46024;Head of State;R 布埃纳文图勒 皮内达 ;45;SC;Resigned Generalissimo;High;M46010;x
46026;Head of State;费代里科 蓬斯 瓦伊德斯 ;44;PA;Barking Buffoon;High;M46007;x
46027;Head of Government;弗朗西斯科 雅维耶 阿拉纳 ;44;LWR;Naive Optimist;High;M46027;x
46028;Head of Government;胡安 阿雷瓦洛 贝梅若 ;45;SD;Backroom Backstabber;High;M46022;x
46029;Head of Government;曼努埃尔 奥雷利亚纳 ;45;SL;Smiling Oilman;High;M46012;x
46030;Head of Government;爱德华多 比利亚格兰 阿里萨 ;45;SC;Political Protege;High;M46006;x
46031;Head of Government;曼努埃尔 阿罗约 ;37;FA;Old Admiral;High;M46031;x
46033;Head of Government;R 布埃纳文图勒 皮内达 ;44;PA;Old Air Marshal;High;M46010;x
46034;Head of Government;爱德华多 比利亚格兰 阿里萨 ;44;PA;Happy Amateur;High;M46006;x
46035;Foreign Minister;卡洛斯 阿古梅多 萨拉查 ;44;LWR;The Cloak N Dagger Schemer;Medium;M46035;x
46036;Foreign Minister;乔治 托列洛 加里多 ;45;SD;General Staffer;Medium;M46011;x
46037;Foreign Minister;恩里克 穆尼奥斯 米尼 ;46;SD;Biased Intellectual;Medium;M46037;x
46039;Foreign Minister;弗朗西斯科 雅维耶 阿拉纳 ;45;SC;Iron Fisted Brute;Medium;M46027;x
46041;Foreign Minister;卡洛斯 阿古梅多 萨拉查 ;37;PA;Great Compromiser;Medium;M46035;x
46042;Minister of Armament;胡安 阿雷瓦洛 贝梅若 ;44;LWR;Resource Industrialist;Medium;M46022;x
46043;Minister of Armament;雅各布 阿本斯 古茨曼 ;45;SD;Infantry Proponent;Medium;M46021;x
46044;Minister of Armament;迭戈 A 卡斯特罗 阿里贡 ;46;SD;Administrative Genius;Medium;M46044;x
46045;Minister of Armament;朱利奥 赫雷拉 ;45;SL;Resource Industrialist;Medium;M46045;x
46046;Minister of Armament;若泽 马托斯 ;45;SC;Laissez Faires Capitalist;Medium;M46014;x
46047;Minister of Armament;T. 卡斯特罗 多明格斯 ;37;PA;Corrupt Kleptocrat;Medium;M46005;x
46048;Minister of Armament;曼努埃尔 阿罗约 ;40;PA;Theoretical Scientist;Medium;M46031;x
46049;Minister of Armament;费代里科 蓬斯 瓦伊德斯 ;44;PA;Tank Proponent;Medium;M46007;x
46050;Minister of Security;曼努埃尔 奥雷利亚纳 ;44;LWR;Crime Fighter;Medium;M46012;x
46051;Minister of Security;曼努埃尔 瓦拉达雷斯 ;45;SD;Silent Lawyer;Medium;M46015;x
46052;Minister of Security;托马斯 门多萨 乌里贝 ;45;SL;Silent Lawyer;Medium;M46009;x
46053;Minister of Security;卡洛斯 卡斯蒂略 阿马斯 ;45;SC;Silent Lawyer;Medium;M46053;x
46054;Minister of Security;阿尔弗雷多 斯金纳 克莱 ;37;PA;Compassionate Gentleman;Medium;M46003;x
46055;Minister of Security;费代里科 蓬斯 瓦伊德斯 ;40;PA;Efficient Sociopath;Medium;M46007;x
46056;Minister of Security;R 布埃纳文图勒 皮内达 ;44;PA;Prince of Terror;Medium;M46010;x
46057;Head of Military Intelligence;阿德里安 雷西诺斯 ;44;LWR;Technical Specialist;Medium;M46016;x
46058;Head of Military Intelligence;雅各布 阿本斯 古茨曼 ;47;SD;Political Specialist;Medium;M46021;x
46059;Head of Military Intelligence;托马斯 门多萨 乌里贝 ;45;SL;Naval Intelligence Specialist;Medium;M46009;x
46060;Head of Military Intelligence;费利佩 乌里亚特 托马斯 ;45;SC;Logistics Specialist;Medium;M46060;x
46061;Head of Military Intelligence;吉耶尔莫 弗洛雷斯 阿伦达诺 ;37;PA;Dismal Enigma;Medium;M46004;x
46062;Head of Military Intelligence;曼努埃尔 阿罗约 ;44;PA;Naval Intelligence Specialist;Medium;M46031;x
46063;Chief of Staff;卡洛斯 迪亚兹 德 利昂 ;45;SD;School of Manoeuvre;Medium;M46063;x
46064;Chief of Staff;曼努埃尔 奥雷利亚纳 ;44;LWR;School of Defence;Medium;M46012;x
46066;Chief of Staff;乔治 乌维科 卡斯塔涅达 ;37;PA;School of Mass Combat;High;M46001;x
46067;Chief of Army;雅各布 阿本斯 古茨曼 ;44;LWR;Decisive Battle Doctrine;Medium;M46021;x
46068;Chief of Army;卡洛斯 迪亚兹 德 利昂 ;45;SD;Armoured Spearhead Doctrine;Medium;M46063;x
46069;Chief of Army;曼努埃尔 奥雷利亚纳 ;45;SL;Static Defence Doctrine;Medium;M46012;x
