SYR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
528001;Head of State;穆罕默德 贝 阿尔-阿比德 ;36;SL;Stern Imperialist;High;M528001;x
528002;Head of Government;马特尔伯爵 达米安 ;36;SL;Ambitious Union Boss;High;M528002;x
528003;Foreign Minister;贾米勒 马德姆 巴伊 ;36;SL;Great Compromiser;High;M528003;x
528004;Minister of Armament;法里斯 阿尔-扈利 ;36;SL;Air to Ground Proponent;Medium;M528004;x
528005;Minister of Security;伊夫 莫朗达 ;36;SL;Crooked Kleptocrat;Medium;M528005;x
528006;Head of Military Intelligence;马特尔伯爵 达米安 ;36;SL;Logistics Specialist;Medium;M528002;x
528007;Chief of Staff;亨利 埃米尔 ;36;SL;School of Manoeuvre;Medium;M528007;x
528008;Chief of Army;加布里埃尔 皮奥 ;36;SL;Armoured Spearhead Doctrine;Medium;M528008;x
528009;Chief of Navy;伊夫 卡雷 德 卢桑凯 ;36;SL;Base Control Doctrine;Medium;M528009;x
528010;Chief of Air Force;克里斯蒂安 库德雷 ;36;SL;Naval Aviation Doctrine;Medium;M528010;x
528011;Head of State;谢克 穆罕默德 阿尔-扎瓦赫里 ;36;PA;Autocratic Charmer;High;M528011;x
528012;Head of State;哈森 阿尔-阿塔西 ;36;SL;Insignificant Layman;High;M528012;x
528013;Head of State;巴希杰 阿丁 阿尔-哈提卜 ;39;SL;Barking Buffoon;High;M528013;x
528014;Head of State;谢克 塔杰 阿丁 阿尔-哈萨尼 ;41;SC;Weary Stiffneck;High;M528014;x
528015;Head of State;舒凯里 阿尔-库韦特利 ;43;SL;Benevolent Gentleman;High;M528015;x
528016;Head of State;卢夫蒂 阿尔-哈法尔 ;36;SC;Die-hard Reformer;High;M528016;x
528017;Head of Government;亨利 登茨 ;36;PA;Old General;High;L24059;x
528018;Head of Government;加布里埃尔 皮奥 ;38;SL;Silent Workhorse;High;M528008;x
528019;Head of Government;乔治 卡特鲁 ;41;SL;Old General;High;L24029;x
528020;Head of Government;伊夫 沙泰诺 ;43;SL;Corporate Suit;High;M528020;x
528021;Head of Government;舒凯里 阿尔-库韦特利 ;45;SL;Backroom Backstabber;High;M528015;x
528022;Head of Government;贾米勒 马德姆 巴伊 ;36;ML;Political Protege;High;M528003;x
528023;Foreign Minister;法里斯 阿尔-扈利 ;36;PA;The Cloak N Dagger Schemer;High;M528004;x
528024;Foreign Minister;谢克 穆罕默德 阿尔-高齐 ;41;SL;General Staffer;High;M528024;x
528025;Foreign Minister;卢夫蒂 阿尔-哈法尔 ;43;SL;Iron Fisted Brute;High;M528016;x
528026;Foreign Minister;萨阿杜拉 阿尔-贾比里 ;45;SL;The Cloak N Dagger Schemer;High;M528026;x
528027;Foreign Minister;谢克 穆斯塔法 阿尔-马拉吉 ;36;SC;Great Compromiser;High;M528027;x
528028;Minister of Armament;伊夫 莫朗达 ;36;PA;Air Superiority Proponent;Medium;M528005;x
528029;Minister of Armament;谢克 穆罕默德 阿尔-希纳维 ;38;SL;Infantry Proponent;Medium;M528029;x
528030;Minister of Armament;谢克 阿布德 阿尔-阿利姆 塞利姆 ;41;SL;Military Entrepreneur;Medium;M528030;x
528031;Minister of Armament;米歇尔 莫里斯-博卡诺夫斯基 ;44;SL;Tank Proponent;Medium;M528031;x
528032;Minister of Armament;保罗 莱斯滕施内德 ;46;SL;Laissez Faires Capitalist;Medium;M528032;x
528033;Minister of Armament;谢克 穆斯塔法 阿尔-马拉吉 ;39;SC;Air to Ground Proponent;Medium;M528027;x
528034;Minister of Security;谢克 穆斯塔法 阿尔-马拉吉 ;36;PA;Back Stabber;Medium;M528027;x
528035;Minister of Security;穆斯塔法 阿尔-阿塔西 ;39;SL;Man of the People;Medium;M528035;x
528036;Minister of Security;安德烈 萨尔瓦 ;41;SL;Crime Fighter;Medium;M528036;x
528037;Minister of Security;贾米勒 查克鲁拉 ;43;SL;Back Stabber;Medium;M528037;x
528038;Minister of Security;让 阿卜杜勒 福卡 ;45;SL;Compassionate Gentleman;Medium;M528038;x
528039;Minister of Security;法里斯 阿尔-扈利 ;36;SC;Man of the People;Medium;M528004;x
528040;Head of Military Intelligence;亨利 登茨 ;38;PA;Logistics Specialist;Medium;L24059;x
528041;Head of Military Intelligence;加布里埃尔 皮奥 ;38;SL;Industrial Specialist;Medium;M528008;x
528042;Head of Military Intelligence;乔治 卡特鲁 ;41;SL;Dismal Enigma;Medium;L24029;x
528043;Head of Military Intelligence;伊夫 沙泰诺 ;43;SL;Political Specialist;Medium;M528020;x
528044;Head of Military Intelligence;谢克 穆罕默德 阿尔-高齐 ;36;SC;Industrial Specialist;Medium;M528024;x
528045;Chief of Staff;亨利 登茨 ;36;PA;School of Defence;Medium;L24059;x
528046;Chief of Staff;卢西恩 坎巴斯 ;41;SL;School of Manoeuvre;Medium;M528046;x
528047;Chief of Staff;侯赛因 阿尔-扎伊姆 ;45;SL;School of Mass Combat;Medium;M528047;x
528048;Chief of Staff;谢克 穆罕默德 阿尔-高齐 ;36;SC;School of Fire Support;Medium;M528024;x
528049;Chief of Army;法齐 阿尔-夸武吉 ;36;PA;Static Defence Doctrine;Medium;M528049;x
528050;Chief of Army;乔治 卡特鲁 ;41;SL;Decisive Battle Doctrine;Medium;L24029;x
528051;Chief of Army;阿迪卜 阿尔-施舍克里 ;45;SL;Guns and Butter Doctrine;Medium;M528051;x
528052;Chief of Army;伯纳德 迪佩里耶 ;36;SC;Elastic Defence Doctrine;Medium;M528052;x
528053;Chief of Navy;谢克 穆罕默德 阿尔-高齐 ;36;PA;Base Control Doctrine;Medium;M528024;x
