NAM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
570001;Head of State;大卫 G 康拉迪 ;36;ML;Autocratic Charmer;High;M570001;x
570002;Head of Government;彼得鲁斯 I 霍根豪特 ;36;ML;Ambitious Union Boss;High;M570002;x
570003;Foreign Minister;蒂尔曼 J 德维利耶 罗斯 ;36;ML;The Cloak N Dagger Schemer;High;M570003;x
570004;Minister of Armament;科尔内留斯 伯尔斯 ;36;ML;Laissez Faires Capitalist;Medium;M570004;x
570005;Minister of Security;尼古劳斯 J 德 韦特 ;36;ML;Man of the People;Medium;M570005;x
570006;Head of Military Intelligence;彼特 勒尔洛夫 ;36;ML;Industrial Specialist;Medium;M570006;x
570007;Chief of Staff;约翰 E J 万斯通 ;36;ML;School of Manoeuvre;Medium;M570007;x
570008;Chief of Army;赖卡尔德 范 德费尔斯 ;36;ML;Static Defence Doctrine;Medium;M570008;x
570009;Chief of Navy;赖恩哈尔德 德 比尔斯 ;36;ML;Decisive Naval Battle Doctrine;Medium;M570009;x
570010;Chief of Air Force;弗朗西斯 达尔顿 ;36;ML;Vertical Envelopment Doctrine;Medium;M570010;x
570011;Head of State;彼特 盖尔博士 ;36;PA;Powerhungry Demagogue;High;M570011;x
570012;Head of Government;C J 朗格霍芬 ;36;PA;Silent Workhorse;High;M570012;x
570013;Foreign Minister;贝铁 康拉迪 ;36;PA;Iron Fisted Brute;High;M570013;x
570014;Minister of Armament;克里斯蒂安 范德恩 希维尔 ;36;PA;Military Entrepreneur;Medium;M570014;x
570015;Minister of Security;亨德里克 德 托滕贝格 ;36;PA;Back Stabber;Medium;M570015;x
570016;Head of Military Intelligence;阿德里安 格韦尔滕 ;36;PA;Political Specialist;Medium;M570016;x
570017;Chief of Staff;尼尔斯 克诺贝尔 ;36;PA;School of Fire Support;Medium;M570017;x
570018;Chief of Army;亨德里克 范 伊门 ;36;PA;Decisive Battle Doctrine;Medium;M570018;x
570019;Chief of Navy;亨德里克 布尔斯 ;36;PA;Base Control Doctrine;Medium;M570019;x
570020;Chief of Air Force;米歇尔 德 格罗特 ;36;PA;Naval Aviation Doctrine;Medium;M570020;x
