UKR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
518001;Head of State;尼基塔 赫鲁晓夫 ;36;ST;Stern Imperialist;High;M518001;x
518002;Head of Government;拉扎尔 卡冈诺维奇 ;36;ST;Flamboyant Tough Guy;High;M518002;x
518003;Foreign Minister;弗拉斯 楚巴尔 ;36;ST;Apologetic Clerk;High;M518003;x
518004;Minister of Armament;米哈伊尔  邦达连科 ;36;ST;Air Superiority Proponent;Medium;M518004;x
518005;Minister of Security;克里斯蒂安 G 拉科夫斯基 ;36;ST;Back Stabber;Medium;M518005;x
518006;Head of Military Intelligence;杰米杨 克罗特琴科 ;36;ST;Logistics Specialist;Medium;M518006;x
518007;Chief of Staff;奥尔济 格洛弗内夫 ;36;ST;School of Manoeuvre;Medium;M518007;x
518008;Chief of Army;弗拉迪米尔 斯特雷尔尼科夫 ;36;ST;Elastic Defence Doctrine;Medium;M518008;x
518009;Chief of Navy;伊万 伊萨科夫 ;36;ST;Base Control Doctrine;Medium;M518009;x
518010;Chief of Air Force;米哈伊 阿拉丁 ;36;ST;Army Aviation Doctrine;Medium;M518010;x
518011;Head of State;斯特扬 班德拉 ;36;SD;Die-hard Reformer;High;M518011;x
518012;Head of State;奥古斯丁 沃洛欣 ;36;SL;Benevolent Gentleman;High;M518012;x
518013;Head of State;安德里伊 梅尔尼克 ;36;SC;Autocratic Charmer;High;M518013;x
518014;Head of State;安德雷伊 弗拉斯索夫 ;36;NS;Resigned Generalissimo;High;M518014;x
518015;Head of Government;雅罗斯拉夫 斯特茨科 ;36;SD;Political Protege;High;M518015;x
518016;Head of Government;奥梅扬 瑟尼克 ;36;SL;Corporate Suit;High;M518016;x
518017;Head of Government;斯捷潘 伦考斯基 ;36;SC;Naive Optimist;High;M518017;x
518018;Head of Government;埃里克 科赫 ;36;NS;Ambitious Union Boss;High;M518018;x
518019;Foreign Minister;斯坦尼斯拉夫 科西奥尔 ;36;ST;The Cloak N Dagger Schemer;High;M518019;x
518020;Foreign Minister;米科拉 斯克里尼克 ;36;SD;Ideological Crusader;High;M518020;x
518021;Foreign Minister;叶夫根尼伊 考诺瓦勒茨 ;36;SD;Iron Fisted Brute;High;M518021;x
518022;Foreign Minister;于连 雷瓦伊 ;36;SL;Apologetic Clerk;High;M518022;x
518023;Foreign Minister;米科拉 列别德 ;36;SC;The Cloak N Dagger Schemer;High;M518023;x
518024;Foreign Minister;尤里 林登-莱帕 ;36;SC;General Staffer;High;M518024;x
518025;Foreign Minister;弗里茨 范德舒伦博格 ;36;NS;Great Compromiser;High;M518025;x
518026;Foreign Minister;罗兰德 珀佩古什伊 ;36;NS;Iron Fisted Brute;High;M518026;x
518027;Foreign Minister;格奥尔吉 斯伦科夫 ;36;NS;General Staffer;High;M518027;x
518028;Minister of Armament;帕纳斯 P 柳巴琴科 ;36;ST;Resource Industrialist;Medium;M518028;x
518029;Minister of Armament;米科拉 斯奇博斯基 ;36;ST;Military Entrepreneur;Medium;M518029;x
518030;Minister of Armament;奥莱斯卡 哈欣-塔拉普 ;36;SD;Administrative Genius;Medium;M518030;x
518031;Minister of Armament;格里高利 莱尼多维奇 ;36;SL;Infantry Proponent;Medium;M518031;x
518032;Minister of Armament;叶夫赫尼亚 博什 ;36;SL;Laissez Faires Capitalist;Medium;M518032;x
518033;Minister of Armament;塔拉斯 布尔巴 ;36;SC;Resource Industrialist;Medium;M518033;x
518034;Minister of Armament;格里高利 佩特罗夫斯基 ;36;SC;Tank Proponent;Medium;M518034;x
518035;Minister of Armament;迪米特鲁 克拉奇斯基 ;36;NS;Infantry Proponent;Medium;M518035;x
518036;Minister of Armament;汉斯 海因里希 拉默斯 ;36;NS;Resource Industrialist;Medium;M518036;x
518037;Minister of Security;叶马诺伊 科维林 ;36;ST;Efficient Sociopath;Medium;M518037;x
518038;Minister of Security;莱尼德 梅尔尼科夫 ;36;ST;Silent Lawyer;Medium;M518038;x
518039;Minister of Security;米哈伊洛 克洛津斯基 ;36;SD;Crooked Kleptocrat;Medium;M518039;x
518040;Minister of Security;尼尔 哈瑟维奇 ;36;SL;Crime Fighter;Medium;M518040;x
518041;Minister of Security;泽农 科萨克-塔诺斯基 ;36;SL;Compassionate Gentleman;Medium;M518041;x
518042;Minister of Security;塞尔格 库比约维奇 ;36;SC;Prince of Terror;Medium;M518042;x
518043;Minister of Security;希斯 贝迪图德 舍普迪特斯基 ;36;SC;Compassionate Gentleman;Medium;M518043;x
518044;Minister of Security;克特 冯 戈特贝尔 ;36;NS;Prince of Terror;Medium;M517034;x
518045;Minister of Security;卡尔 赫尔曼 弗兰克 ;36;NS;Efficient Sociopath;Medium;M518045;x
518046;Head of Military Intelligence;莱尼德 科尼耶茨 ;36;ST;Industrial Specialist;Medium;M518046;x
518047;Head of Military Intelligence;叶夫根尼耶 帕顿 ;36;ST;Technical Specialist;Medium;M518047;x
518048;Head of Military Intelligence;奥勒纳 特利哈 ;36;SD;Dismal Enigma;Medium;M518048;x
