HON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
79001;Head of State;蒂武西奥 卡里亚 安迪纳 ;36;PA;Popular Figurehead;High;M79001;x
79002;Head of Government;卡洛斯 阿尔贝托 乌克莱斯 ;36;PA;Silent Workhorse;High;M79002;x
79003;Foreign Minister;蒂武西奥 卡里亚 安迪纳 ;36;PA;Iron Fisted Brute;Very High;M79001;x
79004;Minister of Armament;罗伯托 米凯莱蒂 贝恩 ;36;SC;Laissez Faires Capitalist;Medium;M79004;x
79005;Minister of Security;卡洛斯 阿尔贝托 乌克莱斯 ;36;PA;Silent Lawyer;Medium;M79002;x
79006;Head of Military Intelligence;雷蒙多 施托赫勒 加西亚 ;36;PA;Logistics Specialist;Medium;M79006;x
79007;Chief of Staff;蒂武西奥 卡里亚 安迪纳 ;36;PA;School of Psychology;Very High;M79001;x
79008;Chief of Army;雷蒙多 施托赫勒 加西亚 ;36;PA;Static Defence Doctrine;Medium;M79006;x
79009;Chief of Navy;卡洛斯 沃佩尔 科梅萨 ;36;SC;Indirect Approach Doctrine;Medium;M79009;x
79010;Chief of Air Force;古斯塔沃 施密特 ;36;SC;Air Superiority Doctrine;Medium;M79010;x
79031;Head of State;蒂武西奥 卡里亚 安迪纳 ;37;SC;Popular Figurehead;High;M79001;x
79032;Head of State;若泽 祖尼加 韦特 ;37;SL;Barking Buffoon;High;M79032;x
79033;Head of State;胡安 B 瓦拉达雷斯 ;39;SL;Insignificant Layman;High;M79011;x
79034;Head of State;劳尔 桑切斯 巴尼亚多斯 ;37;LWR;Autocratic Charmer;High;M79021;x
79036;Head of State;奥兰多 罗德里格斯 吉米诺 ;45;SD;Die-hard Reformer;High;M79036;x
79037;Head of Government;卡洛斯 阿尔贝托 乌克莱斯 ;37;SC;Silent Workhorse;High;M79002;x
79038;Head of Government;蒂武西奥 卡里亚 安迪纳 ;41;SC;Old General;High;M79001;x
79039;Head of Government;亚伯拉罕 威廉斯 卡尔德龙 ;43;SC;Political Protege;High;M79039;x
79040;Head of Government;胡安 曼努埃尔 加尔韦斯 ;45;SC;Old General;High;M79017;x
79041;Head of Government;胡安 B 瓦拉达雷斯 ;37;SL;Smiling Oilman;High;M79011;x
79042;Head of Government;朱利奥 洛扎诺 迪亚兹 ;45;SL;Ambitious Union Boss;High;M79042;x
79043;Head of Government;埃尔南 费尔南德斯 席尔瓦 ;37;LWR;Silent Workhorse;High;M79043;x
79044;Head of Government;胡安 科迪戈 拉米雷斯 ;41;LWR;Happy Amateur;High;M79022;x
79045;Head of Government;弗朗西斯科 S 塔皮奥 托罗 ;45;SD;Flamboyant Tough Guy;High;M79045;x
79046;Foreign Minister;劳雷亚诺 莱内 埃斯皮诺萨 ;37;SC;Great Compromiser;High;M79046;x
79047;Foreign Minister;朱利奥 洛扎诺 迪亚兹 ;37;SC;Ideological Crusader;High;M79042;x
79048;Foreign Minister;萨尔瓦多 阿圭雷 ;38;SC;The Cloak N Dagger Schemer;Medium;M79048;x
79049;Foreign Minister;西尔韦里奥 莱内 比利亚明 ;44;SC;Apologetic Clerk;Medium;M79049;x
79050;Foreign Minister;胡安 曼努埃尔 加尔韦斯 ;46;SC;General Staffer;Medium;M79017;x
79051;Foreign Minister;萨尔瓦多 阿圭雷 奥萨纳 ;37;SL;The Cloak N Dagger Schemer;High;M79051;x
79052;Foreign Minister;罗伯托 米凯莱蒂 贝恩 ;45;SL;Great Compromiser;Medium;M79004;x
79053;Foreign Minister;雅辛托 埃斯库德罗 奥伊坎达代尔 ;37;LWR;Iron Fisted Brute;Medium;M79023;x
79054;Foreign Minister;埃尔南 费尔南德斯 席尔瓦 ;41;SD;Great Compromiser;Medium;M79043;x
79055;Foreign Minister;奥兰多 罗德里格斯 吉米诺 ;45;SD;Ideological Crusader;High;M79036;x
79056;Minister of Armament;米格尔 A 纳瓦罗 ;37;SC;Infantry Proponent;Medium;M79056;x
79057;Minister of Armament;卡洛斯 阿尔贝托 乌克莱斯 ;39;SC;Military Entrepreneur;Medium;M79002;x
79058;Minister of Armament;拉斐尔 阿尔瓦拉多 格雷罗 ;41;SC;Corrupt Kleptocrat;Medium;M79058;x
79059;Minister of Armament;迪迪埃 马松 ;42;SC;Air Superiority Proponent;Medium;M79059;x
79060;Minister of Armament;福斯托 达维拉 ;45;SC;Resource Industrialist;Medium;M79014;x
79061;Minister of Armament;罗伯托 奥尔蒂斯 阿尔门达雷斯 ;46;SC;Administrative Genius;Medium;M79015;x
79062;Minister of Armament;胡安 曼努埃尔 加尔韦斯 ;47;SC;Theoretical Scientist;Medium;M79017;x
79063;Minister of Armament;罗伯托 米凯莱蒂 贝恩 ;37;SL;Resource Industrialist;Medium;M79004;x
79064;Minister of Armament;奥斯瓦尔多 洛佩斯 阿雷拉诺 ;39;SL;Battle Fleet Proponent;Medium;M79064;x
79065;Minister of Armament;胡安 B 瓦拉达雷斯 ;41;SL;Tank Proponent;Low;M79011;x
79066;Minister of Armament;拉蒙 维尔德 莫拉莱斯 ;45;SL;Laissez Faires Capitalist;Medium;M79066;x
79067;Minister of Armament;奥古斯丁 埃斯皮诺萨 雷耶斯 ;37;LWR;Administrative Genius;Medium;M79024;x
79068;Minister of Armament;米萨埃尔 贝克尔 比利亚罗埃尔 ;41;SD;Military Entrepreneur;Medium;M79068;x
79069;Minister of Armament;卡洛斯 莫利纳 德荣耶 ;45;SD;Submarine Proponent;Medium;M79069;x
79070;Minister of Armament;雅伊梅 赫尔达 加西亚 ;46;SD;Laissez Faires Capitalist;Medium;M79070;x
79071;Minister of Security;米格尔 A 纳瓦罗 ;37;SC;Crooked Kleptocrat;Medium;M79056;x
79072;Minister of Security;拉斐尔 阿尔瓦拉多 格雷罗 ;38;SC;Back Stabber;Medium;M79058;x
79073;Minister of Security;亚伯拉罕 威廉斯 卡尔德龙 ;41;SC;Prince of Terror;Medium;M79039;x
79074;Minister of Security;罗伯托 奥尔蒂斯 阿尔门达雷斯 ;37;SL;Compassionate Gentleman;Medium;M79015;x
79075;Minister of Security;胡安 科迪戈 拉米雷斯 ;37;LWR;Prince of Terror;Medium;M79022;x
79076;Minister of Security;奥古斯丁 埃斯皮诺萨 雷耶斯 ;41;SD;Back Stabber;Medium;M79024;x
79077;Minister of Security;雅伊梅 赫尔达 加西亚 ;45;SD;Efficient Sociopath;Medium;M79070;x
79078;Minister of Security;卡洛斯 莫利纳 德荣耶 ;46;SD;Man of the People;Medium;M79069;x
79079;Head of Military Intelligence;罗伯托 奥尔蒂斯 阿尔门达雷斯 ;37;SC;Dismal Enigma;Medium;M79015;x
79080;Head of Military Intelligence;蒂武西奥 卡里亚 安迪纳 ;41;SC;Political Specialist;Medium;M79001;x
79081;Head of Military Intelligence;若泽 祖尼加 韦特 ;37;SL;Naval Intelligence Specialist;High;M79032;x
79082;Head of Military Intelligence;朱利奥 洛扎诺 迪亚兹 ;41;SL;Dismal Enigma;High;M79042;x
79083;Head of Military Intelligence;埃尔南 费尔南德斯 席尔瓦 ;45;SL;Industrial Specialist;High;M79043;x
79084;Head of Military Intelligence;维森特 塔皮亚 洛博 ;37;LWR;Naval Intelligence Specialist;Medium;M79026;x
79085;Head of Military Intelligence;恩里克 多尔 罗雅斯 ;41;LWR;Technical Specialist;Medium;M79027;x
79086;Head of Military Intelligence;劳尔 桑切斯 巴尼亚多斯 ;45;SD;Industrial Specialist;Medium;M79021;x
79088;Chief of Staff;雷蒙多 施托赫勒 加西亚 ;41;SC;School of Defence;Very High;M79006;x
79089;Chief of Staff;奥斯瓦尔多 洛佩斯 阿雷拉诺 ;37;SL;School of Manoeuvre;Medium;M79064;x
79090;Chief of Staff;恩里克 奥尔蒂斯 皮内尔 ;45;SL;School of Fire Support;Medium;M79090;x
79091;Chief of Staff;恩里克 多尔 罗雅斯 ;37;LWR;School of Psychology;Medium;M79027;x
79092;Chief of Staff;维森特 塔皮亚 洛博 ;41;LWR;School of Manoeuvre;Medium;M79026;x
79094;Chief of Army;胡安 曼努埃尔 加尔韦斯 ;37;SC;Armoured Spearhead Doctrine;Medium;M79017;x
79095;Chief of Army;若泽 祖尼加 韦特 ;37;SL;Decisive Battle Doctrine;High;M79032;x
79096;Chief of Army;恩里克 奥尔蒂斯 皮内尔 ;41;SL;Armoured Spearhead Doctrine;Medium;M79090;x
79097;Chief of Army;恩里克 多尔 罗雅斯 ;37;LWR;Static Defence Doctrine;Medium;M79027;x
79098;Chief of Army;弗朗西斯科 S 塔皮奥 托罗 ;45;SD;Armoured Spearhead Doctrine;High;M79045;x
79100;Chief of Navy;奥斯瓦尔多 洛佩斯 阿雷拉诺 ;37;SL;Decisive Naval Battle Doctrine;Medium;M79064;x
79101;Chief of Navy;维森特 塔皮亚 洛博 ;37;LWR;Decisive Naval Battle Doctrine;Medium;M79026;x
79102;Chief of Air Force;迪迪埃 马松 ;37;SC;Air Superiority Doctrine;Medium;M79059;x
79106;Chief of Air Force;米格尔 安杰尔 塞维利亚 ;45;SD;Naval Aviation Doctrine;Medium;M79106;x
79107;Chief of Navy;弗朗西斯科 S 塔皮奥 托罗 ;45;SD;Base Control Doctrine;High;M79045;x
79108;Foreign Minister;安东尼奥 贝穆德斯 梅萨 ;36;PA;Ideological Crusader;High;M79108;x
79017;Chief of Staff;胡安 曼努埃尔 加尔韦斯 ;36;SC;School of Manoeuvre;Medium;M79017;x
79019;Chief of Navy;卡洛斯 沃佩尔 科梅萨 ;36;SC;Indirect Approach Doctrine;Medium;M79009;x
79029;Chief of Navy;卡洛斯 沃佩尔 科梅萨 ;36;LWR;Indirect Approach Doctrine;Medium;M79009;x
79109;Head of State;胡安 曼努埃尔 加尔韦斯 ;49;SC;Resigned Generalissimo;High;M79017;x
79110;Head of Government;埃尔南 费尔南德斯 席尔瓦 ;49;SC;Corporate Suit;High;M79043;x
