RSI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
508001;Head of State;贝尼托 墨索里尼 ;30;NS;Barking Buffoon;High;M3002;x
508002;Head of Government;阿希尔 斯塔拉切 ;30;NS;Political Protege;High;M3126;x
508003;Foreign Minister;爱德华多 莫罗尼 ;30;FA;Biased Intellectual;High;M508003;x
508004;Minister of Armament;詹彼得罗 佩莱格里尼 ;30;NS;Military Entrepreneur;Medium;M508004;x
508005;Minister of Security;吉多 布法利尼-圭迪 ;30;FA;Efficient Sociopath;Very High;M3005;x
508006;Head of Military Intelligence;卡洛 桑布鲁尼 ;30;FA;Dismal Enigma;Medium;M508006;x
508007;Chief of Staff;加斯托内 甘巴拉 ;30;FA;School of Mass Combat;Medium;L6074;x
508008;Chief of Army;鲁道夫 格拉齐亚尼 ;30;FA;Decisive Battle Doctrine;Medium;M508008;x
508009;Chief of Navy;皮尔 安杰洛 布兰迪马尔特 ;30;FA;Open Seas Doctrine;Medium;L6280;x
508010;Chief of Air Force;阿里戈 泰萨里 ;30;FA;Army Aviation Doctrine;Medium;L6283;x
508011;Head of State;保罗 塔翁 迪 雷韦尔 ;45;NS;Resigned Generalissimo;High;M3035;x
508012;Head of Government;尤尼奥 博尔盖塞 ;45;NS;Corporate Suit;High;M508012;x
508013;Foreign Minister;马里奥 曼加尼 ;42;NS;The Cloak N Dagger Schemer;High;M508013;x
508014;Minister of Armament;罗马诺 鲁杰罗 ;36;NS;Theoretical Scientist;Medium;M508014;x
508015;Minister of Armament;G 因佩里亚利 德 富兰卡里洛 ;45;NS;Administrative Genius;High;M3071;x
508016;Minister of Armament;费尔南多 梅扎索马 ;43;FA;Infantry Proponent;High;M508016;x
508017;Minister of Security;亚历山德罗 帕沃利尼 ;36;NS;Prince of Terror;Very High;M508017;x
508018;Minister of Security;伦佐 蒙塔尼亚 ;43;FA;Crime Fighter;Very High;L6265;x
508019;Minister of Security;路易吉 皮森蒂 ;36;FA;Silent Lawyer;Very High;M508019;x
508020;Head of Military Intelligence;皮奥 菲利帕尼 龙科尼 ;45;NS;Logistics Specialist;Medium;M508020;x
508021;Head of Military Intelligence;布鲁诺 佩雷戈 ;40;FA;Technical Specialist;Medium;M508021;x
508022;Head of Military Intelligence;卡洛 阿尔贝托 比金尼 ;36;NS;Industrial Specialist;Medium;M508022;x
508023;Chief of Staff;亚历山德罗 帕沃利尼 ;36;NS;School of Defence;Medium;M508017;x
508024;Chief of Army;尤尼奥 博尔盖塞 ;36;NS;Decisive Battle Doctrine;High;M508012;x
508025;Chief of Navy;卡洛 佛慈 迪 科萨托;36;FA;Indirect Approach Doctrine;Medium;L6164;x
508026;Chief of Air Force;里诺 科尔索 富日耶 ;45;NS;Air Superiority Doctrine;Low;M3161;x
508027;Chief of Air Force;鲁杰罗 博诺米 ;43;FA;Vertical Envelopment Doctrine;Low;M508027;x
508028;Minister of Armament;卡尔 沃尔夫 ;43;NS;Military Entrepreneur;High;M508028;x
508029;Minister of Security;卡尔 沃尔夫 ;43;NS;Compassionate Gentleman;High;M508028;x
508030;Chief of Staff;卡尔 沃尔夫 ;43;NS;School of Psychology;High;M508028;x
508031;Chief of Staff;阿尔伯特 凯塞林 ;42;NS;School of Defence;Very High;M508031;x
508032;Chief of Army;阿尔伯特 凯塞林 ;42;NS;Elastic Defence Doctrine;Very High;M508031;x
