U79;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
700900;Head of State;亚瑟 F 理查兹爵士 ;36;ML;Weary Stiffneck;Very High;jamaica1;x
700901;Head of Government;亚瑟 F 理查兹爵士 ;36;ML;Happy Amateur;Very High;jamaica1;x
700902;Foreign Minister;休·福特;36;ML;Great Compromiser;Very High;jamaica2;x
700903;Minister of Security;克利夫顿·尼特;36;ML;Man of the People;Very High;jamaica4;x
700904;Head of Military Intelligence;保罗·埃德温·克鲁克;36;ML;Logistics Specialist;Very High;unknown;x
700905;Chief of Staff;保罗·埃德温·克鲁克;36;ML;School of Psychology;Very High;unknown;x
700906;Chief of Army;保罗·埃德温·克鲁克;36;ML;Guns and Butter Doctrine;Very High;unknown;x
700907;Chief of Navy;马库斯加维;36;SC;Open Seas Doctrine;Very High;jamaica5;x
700908;Chief of Air Force;杰弗里·科林·盖伊;36;SL;Air Superiority Doctrine;Very High;jamaica6;x
700909;Head of State;马库斯加维;36;PA;Barking Buffoon;Very High;jamaica5;x
700910;Head of Government;伦纳德·豪威尔;36;SC;Flamboyant Tough Guy;Very High;jamaica6;x
700911;Foreign Minister;艾米·阿什伍德·加维;36;PA;Ideological Crusader;Very High;jamaica7;x
700912;Minister of Armament;唐纳德·桑斯特;36;SC;Administrative Genius;Very High;jamaica9;x
700913;Minister of Security;艾米雅克·加维;36;SC;Man of the People;Very High;jamaica8;x
700914;Chief of Army;W.W.富勒;36;SC;Decisive Battle Doctrine;Very High;jamaica10;x
700915;Head of State;诺尔曼·华盛顿·曼利;36;LWR;Die-hard Reformer;Very High;jamaica11;x
700916;Head of Government;亚历山大·布斯塔曼特;36;SD;Ambitious Union Boss;Very High;jamaica12;x
700917;Foreign Minister;理查德·哈特;36;LE;Iron Fisted Brute;Very High;jamaica13;x
700918;Minister of Security;理查德·哈特;36;LE;Silent Lawyer;Very High;jamaica13;x
700919;Head of State;阿瑟·弗莱彻先生;36;ML;Insignificant Layman;Very High;tobago1;x
700920;Head of Government;阿尔伯特·戈麦斯;36;SL;Happy Amateur;Very High;tobago2;x
700921;Foreign Minister;莫里斯·亨利·多尔曼;36;ML;Apologetic Clerk;Very High;tobago3;x
700922;Minister of Armament;阿瑟·弗莱彻先生;36;SL;Theoretical Scientist;Very High;tobago1;x
700923;Head of State;休伯特·温斯洛普爵士;36;SC;Resigned Generalissimo;Very High;unknown;x
700924;Head of Government;图巴·巴特勒·乌利亚 ;36;LWR;Ambitious Union Boss;Very High;tobago4;x
700925;Head of State;C. L. R.詹姆斯 ;36;LE;Die-hard Reformer;Very High;tobago5;x
700926;Foreign Minister;乔治·帕德莫尔;36;LE;Iron Fisted Brute;Very High;tobago6;x
700927;Minister of Armament;图巴·巴特勒·乌利亚 ;36;LWR;Administrative Genius;Very High;tobago4;x
700928;Minister of Security;C. L. R.詹姆斯 ;36;LE;Man of the People;Very High;tobago5;x
700929;Chief of Army;亚瑟·安德鲁·亚尼 ;36;SD;Elastic Defence Doctrine;Very High;tobago7;x
