U72;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
8500;Head of State;胡志明 ;42;ST;Stern Imperialist;Very High;M542012;x
8501;Head of Government;长征 ;41;ST;Old General;Very High;M542019;x
8502;Foreign Minister;范文同 ;46;ST;Ideological Crusader;High;M542024;x
8503;Minister of Armament;黎笋 ;44;ST;Military Entrepreneur;High;M542030;x
8504;Head of State;黎笋 ;36;ST;Powerhungry Demagogue;High;M542030;x
8505;Chief of Staff;陈文茶 ;47;ST;School of Manoeuvre;Medium;陈文茶;x
8506;Head of Government;范文同 ;46;ST;Flamboyant Tough Guy;High;M542024;x
8507;Chief of Army;陈文茶 ;47;ST;Guns and Butter Doctrine;Medium;陈文茶;x
8508;Chief of Staff;武元甲 ;45;ST;School of Psychology;High;M542048;x
8509;Chief of Army;武元甲 ;45;ST;Armoured Spearhead Doctrine;High;M542048;x
8510;Minister of Security;黎文良 ;48;ST;Back Stabber;Medium;黎文良;x
8511;Foreign Minister;黎德寿 ;44;ST;General Staffer;Medium;黎德寿;x
8512;Head of State;孙德胜 ;60;ST;Popular Figurehead;High;孙德胜;x
8513;Minister of Security;阮友寿 ;36;ST;Crime Fighter;Medium;M542055;x
8514;Minister of Security;世旅 ;36;ST;Silent Lawyer;Medium;M542035;x
8515;Head of Military Intelligence;黎清毅 ;36;ST;Industrial Specialist;Medium;M542040;x
8516;Minister of Armament;陈大义 ;36;ST;Theoretical Scientist;Medium;陈大义;x
8517;Minister of Security;陈国环 ;36;ST;Prince of Terror;Medium;陈国环;x
8518;Chief of Navy;庄嵩笃 ;36;ST;Power Projection Doctrine;Medium;M542052;x
8519;Chief of Air Force;阮友寿 ;36;ST;Air Superiority Doctrine;Medium;M542055;x
8520;Head of Military Intelligence;陈友翼 ;54;ST;Political Specialist;Medium;陈友翼;x
8521;Head of Government;陈登科 ;60;ST;Happy Amateur;Medium;陈登科;x
8522;Foreign Minister;阮维桢 ;55;ST;Iron Fisted Brute;Medium;阮维桢;x
8523;Minister of Armament;阮昆 ;60;ST;Resource Industrialist;Medium;阮昆;x
8524;Minister of Security;阮氏十 ;55;ST;Man of the People;Medium;阮氏十;x
8525;Head of Military Intelligence;阮阐 ;47;ST;Industrial Specialist;Medium;阮阐;x
8526;Chief of Staff;范雄 ;54;ST;School of Mass Combat;Medium;范雄;x
8527;Chief of Army;文进勇 ;53;ST;Decisive Battle Doctrine;Medium;文进勇;x
8528;Chief of Navy;阮氏定 ;60;ST;Decisive Naval Battle Doctrine;Medium;阮氏定;x
8529;Chief of Air Force;阮蓝 ;48;ST;Vertical Envelopment Doctrine;Medium;阮蓝;x
8530;Foreign Minister;阮氏萍 ;62;ST;Great Compromiser;Medium;阮氏萍;x
8531;Minister of Security;阮文灵 ;45;ST;Back Stabber;Medium;阮文灵;x
8532;Foreign Minister;阮文孝 ;61;ST;Apologetic Clerk;Medium;阮文孝;x
8533;Chief of Staff;阮志清 ;50;ST;School of Defence;Medium;阮志清;x
8534;Foreign Minister;阮基石 ;48;ST;The Cloak N Dagger Schemer;Medium;阮基石;x
8535;Head of Military Intelligence;朱文晋 ;45;ST;Logistics Specialist;Medium;朱文晋;x
8536;Minister of Armament;严春庵 ;58;ST;Administrative Genius;Medium;严春庵;x
8537;Chief of Army;朱辉珉 ;55;ST;Elastic Defence Doctrine;Medium;朱辉珉;x
8538;Chief of Navy;双豪 ;54;ST;Open Seas Doctrine;Medium;双豪;x
8539;Chief of Air Force;朱文晋 ;45;ST;Army Aviation Doctrine;Medium;朱文晋;x
8541;Head of Government;黄文欢 ;60;ST;Flamboyant Tough Guy;Medium;黄文欢;x
8542;Foreign Minister;春水 ;46;ST;Biased Intellectual;Medium;春水;x
8543;Minister of Armament;黄国越 ;50;ST;Resource Industrialist;Medium;黄国越;x
8544;Minister of Security;素友 ;51;ST;Compassionate Gentleman;Medium;素友;x
8545;Head of Military Intelligence;黄晋发 ;47;ST;Technical Specialist;Medium;黄晋发;x
8546;Chief of Staff;武文杰 ;45;ST;School of Fire Support;Medium;武文杰;x
8547;Chief of Army;黄文泰 ;45;ST;Static Defence Doctrine;Medium;黄文泰;x
8548;Minister of Armament;武志公 ;60;ST;Military Entrepreneur;Medium;武志公;x
8549;Head of Government;胡志明 ;45;ST;Flamboyant Tough Guy;Very High;M542012;x
