RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
4153;Head of State;基里尔 罗曼诺夫 陛下 ;36;FA;Weary Stiffneck;high;M4080;x
4154;Head of Government;格雷戈里 日连科夫 ;36;FA;Silent Workhorse;high;M4081;x
4155;Foreign Minister;尼古拉 波克罗夫斯基 ;36;FA;General Staffer;Low;M4082;x
4156;Minister of Armament;尼古拉 马克拉科夫 ;36;FA;Military Entrepreneur;Medium;M4083;x
4157;Minister of Security;弗拉迪米尔 马雷什金 ;36;FA;Back Stabber;Very High;M4084;x
4158;Head of Military Intelligence;米哈伊尔 梅安德罗夫 ;36;FA;Dismal Enigma;Very High;M4085;x
4159;Chief of Staff;安东 邓尼金 ;36;FA;School of Mass Combat;high;M4086;x
4160;Chief of Army;拉夫伦季 科尔尼洛夫 ;36;FA;Guns and Butter Doctrine;Very High;M4087;x
4161;Chief of Navy;鲍里斯 马卡罗夫 ;36;FA;Decisive Naval Battle Doctrine;high;M4088;x
4145;Chief of Air Force;伊万 陶贝 ;36;FA;Air Superiority Doctrine;high;M4145;x
4163;Head of State;安德烈 弗拉索夫 ;36;NS;Resigned Generalissimo;Very high;M4090;x
4164;Head of State;弗拉迪米尔 罗曼诺夫 陛下 ;36;PA;Benevolent Gentleman;high;M4091;x
4165;Head of State;亚历山大 克伦斯基 ;36;SC;Die-hard Reformer;high;M4092;x
4166;Head of Government;尼古拉 叶若夫 ;36;NS;Backroom Backstabber;high;M4093;x
4095;Head of Government;伊拉克利耶 采列捷利 ;36;SC;Naive Optimist;high;M4095;x
4096;Foreign Minister;鲍里斯 施蒂默尔 ;36;FA;Iron Fisted Brute;Low;M4096;x
4097;Foreign Minister;费多尔 奇切林 ;36;NS;Biased Intellectual;Low;M4097;x
4098;Foreign Minister;格奥尔吉 布拉索夫 ;36;NS;The Cloak N Dagger Schemer;Low;M4098;x
4099;Foreign Minister;鲍里斯 切尔诺夫 ;36;PA;Apologetic Clerk;Low;M4099;x
4100;Foreign Minister;彼得 普莱哈诺夫 ;36;PA;Ideological Crusader;Low;M4100;x
4101;Foreign Minister;奥列格 米柳科夫 ;36;SC;Great Compromiser;Low;M4101;x
4102;Foreign Minister;帕维尔 科诺瓦洛夫 ;36;SC;Apologetic Clerk;Low;M4102;x
4103;Minister of Armament;谢尔盖 罗江科 ;36;FA;Resource Industrialist;Medium;M4103;x
4104;Minister of Armament;尼古拉斯 克拉斯诺夫 ;36;NS;Administrative Genius;Medium;M4104;x
4105;Minister of Armament;鲍里斯 科梅内诺夫 ;36;NS;Resource Industrialist;Medium;M4105;x
4106;Minister of Armament;格奥尔吉 布拉索夫 ;36;PA;Resource Industrialist;Medium;M4098;x
4107;Minister of Armament;尤里 罗森菲尔德 ;36;PA;Theoretical Scientist;Medium;M4107;x
4108;Minister of Armament;谢尔盖 萨温科夫 ;36;SC;Theoretical Scientist;Medium;M4108;x
4109;Minister of Armament;鲍里斯 马尔切夫 ;36;SC;Infantry Proponent;Medium;M4109;x
4110;Minister of Security;谢尔盖 萨佐诺夫 ;36;FA;Compassionate Gentleman;Very High;M4110;x
4111;Minister of Security;格里戈里 R 谢苗诺夫 ;36;NS;Crime Fighter;Very High;M4111;x
4112;Minister of Security;费利克斯 尤索波夫 ;36;NS;Back Stabber;Very High;M4112;x
4113;Minister of Security;谢尔盖 罗江科 ;36;PA;Silent Lawyer;Very High;M4103;x
4114;Minister of Security;尼古拉 叶若夫 ;36;PA;Back Stabber;Very High;M4093;x
4115;Minister of Security;弗拉迪米尔 斯科别列夫 ;36;SC;Prince of Terror;Very High;M4115;x
4116;Minister of Security;费利克斯 尤索波夫 ;36;SC;Compassionate Gentleman;Very High;M4112;x
4117;Head of Military Intelligence;尼古拉 叶若夫 ;36;FA;Technical Specialist;Very High;M4093;x
4118;Head of Military Intelligence;弗谢沃洛德 罗曼诺夫斯基 ;36;NS;Dismal Enigma;Very High;M4118;x
4119;Head of Military Intelligence;谢尔盖 萨佐诺夫 ;36;NS;Industrial Specialist;Very High;M4110;x
4120;Head of Military Intelligence;阿列克塞 卡列金 ;36;PA;Logistics Specialist;Very High;M4120;x
4121;Head of Military Intelligence;亚历山大 高尔察克 ;68;PA;Naval Intelligence Specialist;Very High;M4089;x
4122;Head of Military Intelligence;伊里奇 安东诺夫 ;36;SC;Technical Specialist;Very High;M4122;x
4123;Head of Military Intelligence;尤里 罗森菲尔德 ;36;SC;Logistics Specialist;Very High;M4107;x
4124;Chief of Staff;彼得 弗兰格尔 ;36;FA;School of Manoeuvre;high;M4124;x
4125;Chief of Staff;费奥多尔 特里欣 ;36;NS;School of Mass Combat;high;M4125;x
4126;Chief of Staff;安德烈 弗拉索夫 ;36;NS;School of Fire Support;Very high;M_RUS_Vlaosv2;x
4127;Chief of Staff;亚历山大 高尔察克 ;68;PA;School of Defence;high;M4089;x
4128;Chief of Staff;米哈伊尔 图卡切夫斯基 ;36;PA;School of Manoeuvre;high;M4128;x
4129;Chief of Staff;费利克斯 罗曼诺夫斯基 ;36;SC;School of Fire Support;high;M4129;x
4130;Chief of Staff;耶夫盖尼耶 冯 隆美尔 ;36;SC;School of Manoeuvre;high;M4130;x
4131;Chief of Army;亚历山大 叶戈罗夫 ;36;FA;Armoured Spearhead Doctrine;Very High;M4131;x
4132;Chief of Army;安德烈 弗拉索夫 ;36;NS;Elastic Defence Doctrine;Very high;M_RUS_Vlaosv2;x
4133;Chief of Army;米哈伊尔 图卡切夫斯基 ;36;NS;Static Defence Doctrine;Very High;M4128;x
4134;Chief of Army;彼得 弗兰格尔 ;36;PA;Decisive Battle Doctrine;Very High;M4124;x
4135;Chief of Army;耶夫盖尼耶 冯 隆美尔 ;36;PA;Armoured Spearhead Doctrine;Very High;M4130;x
4136;Chief of Army;瓦西里 布留赫尔 ;36;SC;Armoured Spearhead Doctrine;Very High;M4136;x
4137;Chief of Army;伊戈尔 贝洛夫 ;36;SC;Static Defence Doctrine;Very High;M4137;x
4138;Chief of Navy;佩塔尔 德罗兹德 ;36;FA;Open Seas Doctrine;high;M4138;x
4139;Chief of Navy;奥列格 米克尔金 ;36;NS;Indirect Approach Doctrine;high;M4139;x
4141;Chief of Navy;亚历山大 高尔察克 ;68;PA;Power Projection Doctrine;high;M4089;x
4142;Chief of Navy;康斯坦丁 杜舍诺夫 ;36;PA;Base Control Doctrine;high;L10520;x
4143;Chief of Navy;罗伯特 冯 维伦 ;36;SC;Decisive Naval Battle Doctrine;high;M4143;x
4144;Chief of Navy;爱德华 加勒尔 ;36;SC;Open Seas Doctrine;high;L10417;x
4148;Chief of Air Force;尼古拉 哈尔拉莫夫 ;36;PA;Army Aviation Doctrine;high;L10472;x
4149;Chief of Air Force;尤里 阿尔克斯尼斯 ;36;PA;Vertical Envelopment Doctrine;high;M4146;x
4150;Chief of Air Force;谢尔盖 科列涅夫 ;36;SC;Vertical Envelopment Doctrine;high;M4150;x
4151;Chief of Air Force;耶夫盖尼耶 斯穆什克维奇 ;36;SC;Air Superiority Doctrine;high;M4147;x
4152;Head of State;弗拉迪米尔 罗曼诺夫 陛下 ;38;FA;Benevolent Gentleman;high;M4091;x
4162;Chief of Air Force;亚历山大 高尔察克 ;68;FA;Naval Aviation Doctrine;high;M4089;x
4167;Minister of Security;安娜 N. 沃尔科娃;36;NS;Efficient Sociopath;Medium;M_RUS_Anna_Wolkoff;x
4168;Chief of Staff;弗拉基米尔 A. 科斯雷森;36;SC;School of Manoeuvre;high;M_RUS_Vladimir_A_Kislitsin;x
4169;Minister of Security;康斯坦丁 V. 罗扎耶夫斯基;36;NS;Prince of Terror;high;M_RUS_Konstantin_Rodzaevsky;x
4170;Head of Government;康斯坦丁 V. 罗扎耶夫斯基;45;NS;Naive Optimist;high;M_RUS_Konstantin_Rodzaevsky;x
4171;Chief of Army;弗拉基米尔 A. 科斯雷森;30;SC;Decisive Battle Doctrine;high;M_RUS_Vladimir_A_Kislitsin;x
4172;Foreign Minister;亚历山大 索尔仁尼琴;40;ML;Ideological Crusader;high;M_RUS_A_Solzhenitsyn;x
