PAK;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
564001;Head of State;亨利 达菲尔德 克雷克 爵士 ;36;ML;Stern Imperialist;High;M564001;x
564002;Head of Government;约翰 安德森 爵士 ;36;ML;Political Protege;High;M564002;x
564003;Foreign Minister;伯特兰 格兰西 爵士 ;36;ML;Great Compromiser;High;M564003;x
564004;Minister of Armament;艾伯特 E 克拉特巴克 ;36;ML;Corrupt Kleptocrat;Medium;M564004;x
564005;Minister of Security;赫伯特 威廉 爱默生 ;36;ML;Prince of Terror;Medium;M564005;x
564006;Head of Military Intelligence;弗雷德里克 高夫-卡尔索普 ;36;ML;Industrial Specialist;Medium;M564006;x
564007;Chief of Staff;华莱士 达菲尔德 赖特 ;36;ML;School of Defence;Medium;M564007;x
564008;Chief of Army;B G E 戴尔 ;36;ML;Static Defence Doctrine;Medium;M564008;x
564009;Chief of Navy;约翰 塔尔博特 萨维格纳克 霍尔 ;36;ML;Indirect Approach Doctrine;Medium;L1394;x
564010;Chief of Air Force;杰拉尔德 亨德里克森 ;36;ML;Naval Aviation Doctrine;Medium;M564010;x
564011;Head of State;伊斯坎德尔 米尔扎 ;36;SD;Barking Buffoon;High;M59014;x
564012;Head of State;穆罕默德 舒加 艾尔穆尔克 ;36;PA;Resigned Generalissimo;High;M564012;x
564013;Head of Government;穆罕默德 阿里 真纳 ;36;SD;Flamboyant Tough Guy;High;M59042;x
564014;Head of Government;曼诺瓦行政长官 贾迈特二世 ;36;PA;Old Air Marshal;High;M564014;x
564015;Foreign Minister;里雅格特 阿里 汗 ;36;SD;The Cloak N Dagger Schemer;High;M59052;x
564016;Foreign Minister;穆罕默德 阿尤布 汗 ;46;SD;General Staffer;High;M59049;x
564017;Foreign Minister;恩万姆 汗 乔拉瓦尔 ;36;PA;Ideological Crusader;High;M564017;x
564018;Minister of Armament;扎克尔 侯赛因 ;36;SD;Theoretical Scientist;Medium;M59066;x
564019;Minister of Armament;扎希德 侯赛因 ;41;SD;Administrative Genius;Medium;M564019;x
564020;Minister of Armament;弗朗西斯 埃德加 基尔尼 ;40;ML;Military Entrepreneur;Medium;M564020;x
564021;Minister of Armament;穆赫塔尔 赛夫 阿尔拉赫曼 ;36;PA;Resource Industrialist;Medium;M564021;x
564022;Minister of Security;里雅格特 阿里 汗 ;36;SD;Efficient Sociopath;Very High;M59052;x
564023;Minister of Security;阿卜杜尔 贝德沙赫 汗 ;44;SD;Man of the People;Very High;M59076;x
564024;Minister of Security;埃文 梅雷迪思 詹金斯 ;43;ML;Compassionate Gentleman;Medium;M564024;x
564025;Minister of Security;穆扎法尔 阿尔穆尔克 ;36;PA;Back Stabber;Medium;M564025;x
564026;Head of Military Intelligence;伊夫思卡尔 侯赛因 孟杜特 ;36;SD;Industrial Specialist;Medium;M59085;x
564027;Head of Military Intelligence;维尔弗雷德 哈特-苏格登 ;41;ML;Naval Intelligence Specialist;Medium;M564027;x
564028;Head of Military Intelligence;罗德 爱德华 格雷岑 ;36;PA;Dismal Enigma;Medium;M564028;x
564029;Chief of Staff;斯金德尔 希泰 汗 爵士 ;36;SD;School of Psychology;Very High;M59096;x
564030;Chief of Staff;穆罕默德 叶海亚 汗 ;45;SD;School of Fire Support;Low;M59098;x
564031;Chief of Staff;克什米尔王公 施里曼八世 ;36;PA;School of Mass Combat;Low;M564031;x
564032;Chief of Army;穆罕默德 阿尤布 汗 ;36;SD;Elastic Defence Doctrine;Medium;M59105;x
564033;Chief of Army;穆罕默德 叶海亚 汗 ;45;SD;Armoured Spearhead Doctrine;Medium;M59098;x
564034;Chief of Army;鲁肯 纳瓦卜 阿尔杜拉 ;36;PA;Decisive Battle Doctrine;Medium;M564034;x
564035;Chief of Navy;阿里 拉赫曼 汗 ;36;SD;Base Control Doctrine;Medium;L505113;x
564036;Chief of Navy;汉吉行政长官 迪旺三世 ;36;SD;Open Seas Doctrine;Medium;M564036;x
564037;Chief of Air Force;阿斯加尔 汗 ;36;SD;Vertical Envelopment Doctrine;High;M59020;x
564038;Chief of Air Force;艾哈迈德 阿尔穆尔克 ;36;PA;Carpet Bombing Doctrine;High;M564038;x
564039;Head of State;穆罕默德 阿里 真纳 ;47;SD;Powerhungry Demagogue;High;M59042;x
564040;Head of State;华贾 纳齐穆丁 ;48;SD;Barking Buffoon;High;M564040;x
564041;Head of State;古拉姆 穆罕默德 ;51;SD;Benevolent Gentleman;High;M564041;x
564042;Head of Government;里雅格特 阿里 汗 ;47;SD;Backroom Backstabber;High;M59052;x
564043;Head of Government;华贾 纳齐穆丁 ;47;SD;Corporate Suit;High;M564040;x
564044;Head of Government;穆罕默德 阿里 伯格拉 ;53;SD;Ambitious Union Boss;High;M564044;x
564045;Foreign Minister;乔杜里 穆罕默德 阿里 ;51;SD;Biased Intellectual;High;M564045;x
564046;Foreign Minister;侯赛因 苏赫拉旺迪 ;53;SD;Apologetic Clerk;High;M564046;x
564047;Minister of Armament;阿卜杜尔 瓦哈布 汗 ;52;SD;Infantry Proponent;Medium;M564047;x
564048;Minister of Security;穆尔维 塔米扎丁 汗 ;51;SD;Silent Lawyer;Very High;M564048;x
564049;Head of Military Intelligence;阿卜杜尔 瓦哈布 汗 ;49;SD;Logistics Specialist;Medium;M564047;x
