MEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
36001;Head of State;拉萨罗 卡德纳斯 ;30;SD;Autocratic Charmer;High;M36001;x
36002;Head of Government;拉萨罗 卡德纳斯 ;30;SD;Flamboyant Tough Guy;High;M36001;x
36003;Foreign Minister;爱德华多 海 ;30;SD;Great Compromiser;Medium;M36003;x
36004;Minister of Armament;恩里克 埃斯特拉达 雷诺索 ;30;SD;Infantry Proponent;High;M36004;x
36005;Minister of Security;弗朗西斯科 U 贝纳维德 ;30;SD;Man of the People;Medium;M36005;x
36006;Head of Military Intelligence;普卢塔科 E 卡勒 ;30;SD;Political Specialist;Medium;M36006;x
36007;Chief of Staff;本杰明 G 希尔 ;30;SD;School of Defence;Very High;M36007;x
36008;Chief of Army;巴勃罗 基罗加 埃斯卡米罗 ;30;SD;Static Defence Doctrine;Medium;M36008;x
36009;Chief of Navy;赫克托 麦克薛罗 ;30;SD;Open Seas Doctrine;Medium;M36009;x
36010;Chief of Air Force;古斯塔沃 萨利纳斯 卡米纳 ;30;SD;Air Superiority Doctrine;Medium;M36010;x
36032;Head of State;曼努埃尔 阿维拉 卡马乔 ;40;SD;Stern Imperialist;High;M36032;x
36033;Head of State;米格尔 阿莱曼 瓦尔德斯 ;46;SD;Benevolent Gentleman;High;M36033;x
36034;Head of State;曼努埃尔 M 马克斯 ;40;SC;Insignificant Layman;High;M36034;x
36035;Head of State;路易斯 布斯塔曼特 贝尼特斯 ;46;SC;Powerhungry Demagogue;High;M36035;x
36036;Head of State;皮诺 G 卡勒 ;40;PA;Resigned Generalissimo;High;M36011;x
36037;Head of State;胡安 安德鲁 阿尔马桑 ;46;PA;Popular Figurehead;High;M36014;x
36038;Head of State;维森特 隆巴尔多 托莱达诺 ;40;LE;Barking Buffoon;High;M36021;x
36039;Head of State;普罗科皮奥 赫雷拉 ;46;LE;Die-hard Reformer;High;M36025;x
36041;Head of Government;曼努埃尔 阿维拉 卡马乔 ;40;SD;Corporate Suit;High;M36032;x
36042;Head of Government;米格尔 阿莱曼 瓦尔德斯 ;46;SD;Smiling Oilman;High;M36033;x
36043;Head of Government;曼努埃尔 M 马克斯 ;40;SC;Old General;High;M36034;x
36044;Head of Government;路易斯 布斯塔曼特 贝尼特斯 ;46;SC;Silent Workhorse;High;M36035;x
36045;Head of Government;路易斯 G 昆塔纳 ;40;FA;Political Protege;High;M36012;x
36046;Head of Government;胡安 安德鲁 阿尔马桑 ;46;PA;Happy Amateur;High;M36014;x
36047;Head of Government;维森特 隆巴尔多 托莱达诺 ;40;LE;Happy Amateur;High;M36021;x
36048;Head of Government;普罗科皮奥 赫雷拉 ;46;LE;Naive Optimist;High;M36025;x
36050;Foreign Minister;埃塞基耶尔 帕迪利亚 佩尼亚洛萨 ;40;SD;Iron Fisted Brute;Medium;M36050;x
36051;Foreign Minister;弗朗西斯科 卡斯蒂略 纳杰拉 ;45;SD;General Staffer;Medium;M36051;x
36052;Foreign Minister;雅伊梅 托里斯 博德特 ;46;SD;Apologetic Clerk;Medium;M36052;x
36053;Foreign Minister;阿莱索 梅莱西奥 ;40;SC;Biased Intellectual;Medium;M36053;x
36054;Foreign Minister;胡安 安德鲁 阿拉马扎 ;44;SC;Great Compromiser;Medium;M36054;x
36055;Foreign Minister;胡安 G 拉斯卡兰 ;46;SC;Apologetic Clerk;Medium;M36055;x
36056;Foreign Minister;皮诺 G 卡勒 ;40;PA;Biased Intellectual;Very Low;M36011;x
36057;Foreign Minister;弗朗西斯科 R 塞拉诺 ;46;PA;General Staffer;Medium;M36057;x
36058;Foreign Minister;马里亚诺 庞顿 ;40;LE;The Cloak N Dagger Schemer;Very High;M36023;x
36059;Foreign Minister;维森特 隆巴尔多 托莱达诺 ;43;LE;Biased Intellectual;Very Low;M36021;x
36060;Foreign Minister;曼努埃尔 C 特列斯 ;46;LE;Apologetic Clerk;Medium;M36060;x
36061;Minister of Armament;埃米利奥 波特斯 吉尔 ;38;SD;Submarine Proponent;Medium;M36061;x
36062;Minister of Armament;里奥伯托 G 马凯奥 ;40;SD;Battle Fleet Proponent;Medium;M36062;x
36063;Minister of Armament;乔斯 曼努埃尔 普伊赫 ;42;SD;Theoretical Scientist;Medium;M36063;x
36064;Minister of Armament;安东尼奥 卡斯特罗 莱亚尔 ;44;SD;Tank Proponent;Medium;M36064;x
36065;Minister of Armament;阿道夫 鲁伊斯 科蒂内斯 ;46;SD;Administrative Genius;Medium;M36065;x
36066;Minister of Armament;弗朗西斯科 R 塞拉诺 ;40;SC;Resource Industrialist;Medium;M36057;x
36067;Minister of Armament;弗洛伦蒂诺 桑塔纳 ;46;SC;Laissez Faires Capitalist;Medium;M36067;x
36068;Minister of Armament;胡安 安德鲁 阿尔马桑 ;40;FA;Corrupt Kleptocrat;Medium;M36014;x
36069;Minister of Armament;曼努埃尔 M 马克斯 ;43;PA;Laissez Faires Capitalist;Medium;M36034;x
36070;Minister of Armament;路易斯 G 昆塔纳 ;46;PA;Military Entrepreneur;Low;M36012;x
36071;Minister of Armament;多洛雷斯 桑塔皮亚沃 ;40;LE;Air to Ground Proponent;Medium;M36071;x
36072;Minister of Armament;弗朗西斯科 I 卡西安 ;43;LE;Administrative Genius;Medium;M36024;x
36073;Minister of Security;安德烈斯 F 菲格罗亚 ;38;SD;Crime Fighter;Medium;M36073;x
36074;Minister of Security;热纳罗 埃斯特拉达 ;40;SD;Prince of Terror;High;M36074;x
36075;Minister of Security;华金 阿马罗 多明格斯 ;42;SD;Back Stabber;Very High;M36075;x
36076;Minister of Security;米格尔 阿莱曼 瓦尔德斯 ;43;SD;Man of the People;High;M36033;x
36077;Minister of Security;阿道夫 鲁伊斯 科蒂内斯 ;45;SD;Silent Lawyer;Medium;M36065;x
36078;Minister of Security;曼努埃尔 特略 鲍尔劳德 ;46;SD;Compassionate Gentleman;Medium;M36078;x
36079;Minister of Security;恩里克 C 德尔 里奥 ;40;SC;Compassionate Gentleman;Medium;M36017;x
36080;Minister of Security;曼努埃尔 戈梅 马林 ;46;SC;Man of the People;Medium;M36080;x
36081;Minister of Security;胡安 安德鲁 阿尔马桑 ;40;FA;Crooked Kleptocrat;Medium;M36014;x
36082;Minister of Security;费利克斯 马拉加诺 弗洛雷斯 ;43;FA;Back Stabber;Medium;M36082;x
36083;Minister of Security;佩德罗 培尼亚 卡瓦佐斯 ;46;PA;Man of the People;Medium;M36083;x
36084;Minister of Security;普罗科皮奥 赫雷拉 ;40;LE;Efficient Sociopath;Very High;M36025;x
36085;Minister of Security;马里亚诺 庞顿 ;46;LE;Back Stabber;Very Low;M36023;x
