LAT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
27001;Head of State;阿尔贝茨 克维耶西斯 ;36;FA;Powerhungry Demagogue;High;M27001;x
27002;Head of Government;卡尔利斯 乌尔马尼斯 ;36;FA;Happy Amateur;High;M27002;x
27003;Foreign Minister;卡尔利斯 乌尔马尼斯 ;36;FA;Biased Intellectual;Undying;M27002;x
27004;Minister of Armament;路德维希斯 克蒂斯 ;36;PA;Infantry Proponent;Medium;M27004;x
27005;Minister of Security;维利斯 古尔比斯 ;36;FA;Crime Fighter;Medium;M27005;x
27006;Head of Military Intelligence;埃尔马尼斯 阿普西提斯 ;36;FA;Political Specialist;Medium;M27006;x
27007;Chief of Staff;耶尼斯 巴洛迪斯 ;36;FA;School of Defence;Medium;M27007;x
27008;Chief of Army;鲁道夫斯 班格斯基斯 ;36;FA;Static Defence Doctrine;Low;M27008;x
27009;Chief of Navy;托马斯 斯佩德 ;36;FA;Decisive Naval Battle Doctrine;Medium;M27009;x
27010;Chief of Air Force;贾尼斯 因丹斯 ;36;FA;Army Aviation Doctrine;Medium;M27010;x
27031;Head of State;汉斯 海因里希 洛泽 ;41;NS;Stern Imperialist;High;M27031;x
27032;Head of State;卡尔利斯 乌尔马尼斯 ;36;FA;Barking Buffoon;High;M27002;x
27033;Head of State;贾尼斯 安德松斯 ;45;PA;Benevolent Gentleman;High;M27033;x
27034;Head of State;保尔斯 卡尔宁斯 ;36;SC;Insignificant Layman;High;M27011;x
27035;Head of State;贾泽普斯 兰坎斯 ;45;SC;Autocratic Charmer;High;M27035;x
27036;Head of State;奥古斯特斯 基尔兴施泰因 ;36;LE;Weary Stiffneck;High;M27021;x
27037;Head of State;埃内斯特 克赖斯马尼斯 ;45;ST;Ruthless Powermonger;High;M27037;x
27038;Head of Government;阿尔弗雷斯 瓦尔德马尼斯 ;41;NS;Smiling Oilman;High;M27038;x
27039;Head of Government;奥斯卡斯 丹克 ;41;NS;Happy Amateur;High;M27039;x
27041;Head of Government;耶尼斯 卡明斯基斯 ;40;FA;Naive Optimist;High;M27041;x
27042;Head of Government;鲁道夫斯 班格斯基斯 ;45;PA;Flamboyant Tough Guy;High;M27008;x
27043;Head of Government;保尔斯 卡尔宁斯 ;36;SC;Silent Workhorse;High;M27011;x
27044;Head of Government;莱因霍尔德 K. 扎里尼斯 ;40;SC;Political Protege;High;M27012;x
27045;Head of Government;奥古斯特斯 基尔兴施泰因 ;36;LE;Silent Workhorse;High;M27021;x
27046;Head of Government;罗伯茨 奥西斯 ;45;ST;Old General;High;M27046;x
27047;Head of Government;维利斯 拉奇斯 ;46;ST;Backroom Backstabber;High;M27025;x
27048;Foreign Minister;阿尔弗雷斯 瓦尔德马尼斯 ;41;NS;Iron Fisted Brute;Medium;M27038;x
27049;Foreign Minister;奥斯卡斯 丹克 ;41;NS;General Staffer;Medium;M27039;x
27050;Foreign Minister;马丁斯 普里马尼斯 ;44;NS;Ideological Crusader;Medium;M27050;x
27051;Foreign Minister;威廉斯 蒙特斯 ;36;FA;Great Compromiser;Medium;M27051;x
27052;Foreign Minister;耶尼斯 卡明斯基斯 ;45;PA;Iron Fisted Brute;Medium;M27041;x
27053;Foreign Minister;莱因霍尔德 K. 扎里尼斯 ;36;SC;Apologetic Clerk;Medium;M27012;x
27054;Foreign Minister;阿尔弗雷斯 比尔马尼斯 ;40;SC;Biased Intellectual;Medium;M27054;x
27055;Foreign Minister;尤利亚克斯 拉奇斯 ;36;LE;Great Compromiser;Medium;M27029;x
27056;Foreign Minister;奥古斯特斯 基尔兴施泰因 ;40;LE;Ideological Crusader;Undying;M27021;x
27057;Foreign Minister;阿诺德斯 斯克列伯斯 ;45;ST;Great Compromiser;Medium;M27057;x
27058;Foreign Minister;彼得里斯 瓦列斯卡尔恩斯 ;46;ST;Ideological Crusader;Medium;M27058;x
27059;Foreign Minister;埃内斯特 克赖斯马尼斯 ;47;ST;The Cloak N Dagger Schemer;Very High;M27037;x
27060;Minister of Armament;埃瓦德斯 安德松斯 ;41;NS;Military Entrepreneur;High;M27060;x
27061;Minister of Armament;耶尼斯 斯库耶维奇 ;41;NS;Resource Industrialist;Medium;M27061;x
27062;Minister of Armament;耶尼斯 米济斯 ;44;NS;Infantry Proponent;Very High;M27062;x
27063;Minister of Armament;维利斯 古尔比斯 ;36;FA;Air to Sea Proponent;Medium;M27005;x
27064;Minister of Armament;科尔内利亚斯 魏德尼亚克斯 ;38;FA;Air Superiority Proponent;Medium;M27064;x
