MAD;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
538001;Head of State;利昂 凯拉 ;36;SC;Resigned Generalissimo;High;M538001;x
538002;Head of Government;利昂 凯拉 ;36;SC;Old General;High;M538001;x
538003;Foreign Minister;皮埃尔 让 赫宾格尔 ;36;SC;Apologetic Clerk;High;M538003;x
538004;Minister of Armament;弗朗索瓦 德 芒东 ;36;SC;Resource Industrialist;Medium;M538004;x
538005;Minister of Security;亨利 马尼加尔 ;36;SC;Crime Fighter;Medium;M538005;x
538006;Head of Military Intelligence;阿曼德 阿内 ;36;SC;Industrial Specialist;Medium;M538006;x
538007;Chief of Staff;亨利 埃米尔 ;36;SC;School of Manoeuvre;Medium;M538007;x
538008;Chief of Army;亨利 埃米尔 ;36;SC;Armoured Spearhead Doctrine;Medium;M538007;x
538009;Chief of Navy;乔治 德 巴伯齐尔勒 ;36;SC;Base Control Doctrine;Medium;M538009;x
538010;Chief of Air Force;马克斯 格德 ;36;SC;Naval Aviation Doctrine;Medium;M538010;x
538011;Head of State;阿曼德 阿内 ;39;SL;Barking Buffoon;High;M538006;x
538012;Head of State;保罗 列 让蒂约姆 ;40;SC;Pig-headed Isolationist;High;L24108;x
538013;Head of State;皮埃尔 德 圣-马尔特 ;43;SL;Die-hard Reformer;High;M535007;x
538014;Head of State;马塞尔 德 科佩 ;46;SL;Popular Figurehead;High;M538014;x
538015;Head of State;菲利贝尔 齐拉纳纳 ;36;PA;Insignificant Layman;High;M538015;x
538016;Head of Government;阿曼德 阿内 ;39;SL;Political Protege;High;M538006;x
538017;Head of Government;保罗 列 让蒂约姆 ;40;SC;Flamboyant Tough Guy;High;L24108;x
538018;Head of Government;皮埃尔 德 圣-马尔特 ;43;SL;Smiling Oilman;High;M535007;x
538019;Head of Government;马塞尔 德 科佩 ;46;SL;Backroom Backstabber;High;M538014;x
538020;Head of Government;菲利贝尔 齐拉纳纳 ;36;PA;Naive Optimist;High;M538015;x
538021;Foreign Minister;勒内 勒莫因 ;42;SL;Great Compromiser;High;M538021;x
538022;Foreign Minister;让 约雷斯 拉扎芬德拉科托 ;36;PA;Biased Intellectual;High;M538022;x
538023;Minister of Armament;保罗 维贝尔 ;41;SL;Submarine Proponent;Medium;M538023;x
538024;Minister of Armament;拉米利森 兰德里亚曼片尼纳 ;36;PA;Tank Proponent;Medium;M538024;x
538025;Minister of Armament;利瓦 拉哈里森 ;43;PA;Laissez Faires Capitalist;Medium;M538025;x
538026;Minister of Security;让昆 皮埃尔 加布里埃尔 ;43;SL;Efficient Sociopath;Medium;M538026;x
538027;Minister of Security;尤金 拉库通德拉马里 ;36;PA;Silent Lawyer;Medium;M538027;x
538028;Head of Military Intelligence;马塞尔 德 科佩 ;43;SL;Logistics Specialist;Medium;M538014;x
538029;Head of Military Intelligence;乌尔蒙特 L. 詹姆斯 ;36;PA;Dismal Enigma;Medium;M538029;x
538030;Chief of Staff;保罗 列 让蒂约姆 ;40;SC;School of Mass Combat;Medium;L24108;x
538031;Chief of Staff;约瑟夫 拉库通德兰德里亚 ;36;PA;School of Fire Support;Medium;M538031;x
538032;Chief of Army;皮埃尔 德 圣-马尔特 ;42;SL;Decisive Battle Doctrine;Medium;M535007;x
538033;Chief of Army;拉弗诺 凡加瓦 ;36;PA;Armoured Spearhead Doctrine;Medium;M538033;x
538034;Chief of Navy;让-马里 凯维尔 ;42;SL;Open Seas Doctrine;Medium;M538034;x
538035;Chief of Navy;奥利维尔 兰德里亚南特奈纳 ;36;PA;Decisive Naval Battle Doctrine;Medium;M538035;x
538036;Chief of Air Force;马克斯 安德洛埃 ;44;SL;Carpet Bombing Doctrine;Medium;M538036;x
538037;Chief of Air Force;所罗门 拉贝马诺埃拉 ;36;PA;Vertical Envelopment Doctrine;Medium;M538037;x
